seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,1,10,0.005,1.893012,10,0.663434
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,2,20,0.01,1.238291,10,0.749744
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,3,30,0.015,1.675982,10,0.764778
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,4,40,0.02,1.369904,10,0.778025
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,5,50,0.025,0.891689,10,0.790818
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,6,60,0.03,1.642988,10,0.803931
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,7,70,0.035,1.945039,10,0.818037
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,8,80,0.04,2.707138,10,0.832957
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,9,90,0.045,1.234295,10,0.847767
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,10,100,0.05,1.872176,10,0.861712
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,11,110,0.055,2.493609,10,0.876364
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,12,120,0.06,2.232307,10,0.890023
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,13,130,0.065,1.440265,10,0.904099
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,14,140,0.07,1.921806,10,0.919132
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,15,150,0.075,0.871655,10,0.933794
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,16,160,0.08,1.523978,10,0.947496
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,17,170,0.085,2.547591,10,0.962535
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,18,180,0.09,2.662322,10,0.97657
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,19,190,0.095,1.328578,10,0.988907
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,20,200,0.1,0.637509,10,1.002719
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,21,210,0.105,2.216683,10,1.016088
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,22,220,0.11,3.031805,10,1.030926
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,23,230,0.115,1.994704,10,1.046436
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,24,240,0.12,2.065752,10,1.060776
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,25,250,0.125,1.734571,10,1.074733
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,26,260,0.13,2.01964,10,1.088853
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,27,270,0.135,1.930181,10,1.103405
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,28,280,0.14,2.017763,10,1.11805
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,29,290,0.145,1.620124,10,1.132144
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,30,300,0.15,1.602071,10,1.14617
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,31,310,0.155,1.562994,10,1.15871
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,32,320,0.16,1.386031,10,1.172054
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,33,330,0.165,1.430289,10,1.185414
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,34,340,0.17,2.204154,10,1.200162
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,35,350,0.175,2.99567,10,1.213802
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,36,360,0.18,3.219265,10,1.227612
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,37,370,0.185,1.993161,10,1.241386
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,38,380,0.19,1.781666,10,1.255768
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,39,390,0.195,1.446041,10,1.269862
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,40,400,0.2,1.866677,10,1.284052
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,41,410,0.205,1.395858,10,1.297861
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,42,420,0.21,1.37928,10,1.310871
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,43,430,0.215,2.895337,10,1.32619
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,44,440,0.22,2.282146,10,1.340665
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,45,450,0.225,1.706899,10,1.355477
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,46,460,0.23,2.683091,10,1.370554
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,47,470,0.235,2.519664,10,1.384783
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,48,480,0.24,2.022121,10,1.399498
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,49,490,0.245,1.159756,10,1.41363
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,50,500,0.25,1.739432,10,1.428188
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,51,510,0.255,2.575862,10,1.441951
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,52,520,0.26,2.489948,10,1.458233
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,53,530,0.265,0.65142,10,1.471603
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,54,540,0.27,0.677274,10,1.484278
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,55,550,0.275,2.506445,10,1.498292
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,56,560,0.28,2.351493,10,1.511767
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,57,570,0.285,1.806578,10,1.525777
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,58,580,0.29,1.446888,10,1.539264
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,59,590,0.295,0.517812,10,1.553175
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,60,600,0.3,2.753507,10,1.567146
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,61,610,0.305,1.871298,10,1.584283
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,62,620,0.31,1.520911,10,1.597338
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,63,630,0.315,2.645378,10,1.612416
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,64,640,0.32,1.491863,10,1.626245
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,65,650,0.325,1.682873,10,1.640599
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,66,660,0.33,1.255564,10,1.653045
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,67,670,0.335,2.454741,10,1.667315
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,68,680,0.34,1.514103,10,1.682305
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,69,690,0.345,1.955217,10,1.696565
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,70,700,0.35,1.450908,10,1.710145
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,71,710,0.355,1.776997,10,1.724184
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,72,720,0.36,0.735666,10,1.736624
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,73,730,0.365,1.90343,10,1.751661
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,74,740,0.37,1.865352,10,1.766253
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,75,750,0.375,1.040207,10,1.780358
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,76,760,0.38,0.89034,10,1.793948
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,77,770,0.385,1.349206,10,1.808213
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,78,780,0.39,1.099962,10,1.822856
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,79,790,0.395,2.320683,10,1.836192
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,80,800,0.4,1.072248,10,1.84977
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,81,810,0.405,2.184775,10,1.864685
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,82,820,0.41,2.177228,10,1.879088
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,83,830,0.415,1.358829,10,1.893292
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,84,840,0.42,3.368232,10,1.908521
