phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,order_level_ret_mean_mean,order_level_ret_mean_std,order_level_ret_mean_ci95_low,order_level_ret_mean_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
cross_eval_current,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,216.03342429405382,0.0,216.03342429405382,216.03342429405382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999056010069226,0.0,0.999056010069226,0.999056010069226,0.0009439899307740474,0.0,0.0009439899307740474,0.0009439899307740474,255.43528556278912,0.0,255.43528556278912,255.43528556278912,0.6716907218552121,0.0,0.6716907218552121,0.6716907218552121,72.69230769230768,0.0,72.69230769230768,72.69230769230768,20.576923076923077,0.0,20.576923076923077,20.576923076923077,6.730769230769231,0.0,6.730769230769231,6.730769230769231
cross_eval_current,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,216.30368120512068,0.0,216.30368120512068,216.30368120512068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,254.321597269917,0.0,254.321597269917,254.321597269917,0.6743588138534501,0.0,0.6743588138534501,0.6743588138534501,71.92307692307692,0.0,71.92307692307692,71.92307692307692,0.0,0.0,0.0,0.0,28.076923076923077,0.0,28.076923076923077,28.076923076923077
cross_eval_current,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,208.11028734541915,0.0,208.11028734541915,208.11028734541915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,255.17283416232124,0.0,255.17283416232124,255.17283416232124,0.6094643420942709,0.0,0.6094643420942709,0.6094643420942709,71.92307692307692,0.0,71.92307692307692,71.92307692307692,4.8076923076923075,0.0,4.8076923076923075,4.8076923076923075,23.269230769230766,0.0,23.269230769230766,23.269230769230766
cross_eval_current,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,210.1551707161186,0.0,210.1551707161186,210.1551707161186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,255.57194461481598,0.0,255.57194461481598,255.57194461481598,0.6623874197886888,0.0,0.6623874197886888,0.6623874197886888,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_current,random,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,196.9259243821315,0.0,196.9259243821315,196.9259243821315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817495280050346,0.0,0.9817495280050346,0.9817495280050346,0.018250471994965378,0.0,0.018250471994965378,0.018250471994965378,254.4839336854318,0.0,254.4839336854318,254.4839336854318,0.5627866013428832,0.0,0.5627866013428832,0.5627866013428832,34.03846153846153,0.0,34.03846153846153,34.03846153846153,32.30769230769231,0.0,32.30769230769231,32.30769230769231,33.65384615384615,0.0,33.65384615384615,33.65384615384615
cross_eval_current,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,149.80612117731167,0.0,149.80612117731167,149.80612117731167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370044052863436,0.0,0.8370044052863436,0.8370044052863436,0.16299559471365643,0.0,0.16299559471365643,0.16299559471365643,254.46857192573952,0.0,254.46857192573952,254.46857192573952,0.35512128516997454,0.0,0.35512128516997454,0.35512128516997454,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,210.6252372770318,0.0,210.6252372770318,210.6252372770318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952800503461297,0.0,0.9952800503461297,0.9952800503461297,0.004719949653870348,0.0,0.004719949653870348,0.004719949653870348,254.76624016611538,0.0,254.76624016611538,254.76624016611538,0.6491804151072678,0.0,0.6491804151072678,0.6491804151072678,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
cross_eval_current,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,196.8846950681154,0.0,196.8846950681154,196.8846950681154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974826935179357,0.0,0.9974826935179357,0.9974826935179357,0.002517306482064219,0.0,0.002517306482064219,0.002517306482064219,254.8108681260556,0.0,254.8108681260556,254.8108681260556,0.5647397143760118,0.0,0.5647397143760118,0.5647397143760118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
cross_eval_severe,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,87.10045399230874,0.0,87.10045399230874,87.10045399230874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49748269351793584,0.0,0.49748269351793584,0.49748269351793584,0.5025173064820642,0.0,0.5025173064820642,0.5025173064820642,229.31691435497447,0.0,229.31691435497447,229.31691435497447,0.168832135774946,0.0,0.168832135774946,0.168832135774946,0.0,0.0,0.0,0.0,59.42307692307692,0.0,59.42307692307692,59.42307692307692,40.57692307692308,0.0,40.57692307692308,40.57692307692308
cross_eval_severe,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,4.0,0.02,0.0,1,85.465831358026,0.0,85.465831358026,85.465831358026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47388294524858404,0.0,0.47388294524858404,0.47388294524858404,0.526117054751416,0.0,0.526117054751416,0.526117054751416,228.22832487383738,0.0,228.22832487383738,228.22832487383738,0.16368864594344362,0.0,0.16368864594344362,0.16368864594344362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
