phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
static_screen,static_s1,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,10.998500073950673,0.0,0.0,0.0,0.5104895104895104,0.4895104895104896,9.216075030362308,0.11925573952356332,177240.0,117073.0,137816.0,0.22243285939968405,0.777567140600316,0.5174825174825175,0.4825174825174825,100.0,0.0,0.0
static_screen,static_s2,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.58899121019711,0.0,0.0,0.0,0.5664335664335665,0.43356643356643354,9.371690212972721,0.11885532974579682,169234.0,130176.0,115081.0,0.31998889112116946,0.6800111088788305,0.5664335664335665,0.43356643356643354,0.0,100.0,0.0
static_screen,static_s3,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.77461713976024,0.0,0.0,0.0,0.5524475524475525,0.4475524475524475,9.223988978687967,0.1418951046937433,169675.0,124434.0,118362.0,0.30241933107411223,0.6975806689258878,0.5594405594405594,0.4405594405594406,0.0,0.0,100.0
random_eval,random,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.427992756588814,0.0,0.0,0.0,0.6293706293706294,0.3706293706293706,9.463656371524793,0.15702424622735817,169976.0,152736.0,85908.0,0.49458747117240076,0.5054125288275992,0.6293706293706294,0.3706293706293706,50.0,40.0,10.0
heuristic_eval,heuristic_hysteresis,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.77461713976024,0.0,0.0,0.0,0.5524475524475525,0.4475524475524475,9.223988978687967,0.1418951046937433,169675.0,124434.0,118362.0,0.30241933107411223,0.6975806689258878,0.5594405594405594,0.4405594405594406,0.0,0.0,100.0
heuristic_eval,heuristic_disruption,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.639099093007099,0.0,0.0,0.0,0.6223776223776224,0.3776223776223776,9.413251874198057,0.1527558542130621,175199.0,156893.0,108012.0,0.38348963179013584,0.6165103682098642,0.6293706293706294,0.3706293706293706,0.0,60.0,40.0
heuristic_eval,heuristic_tuned,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.02,0.0,10,11.77461713976024,0.0,0.0,0.0,0.5524475524475525,0.4475524475524475,9.223988978687967,0.1418951046937433,169675.0,124434.0,118362.0,0.30241933107411223,0.6975806689258878,0.5594405594405594,0.4405594405594406,0.0,0.0,100.0
static_screen,static_s1,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.06,0.0,10,10.998500073950673,0.0,0.0,0.0,0.5104895104895104,0.4895104895104896,9.216075030362308,0.11925573952356332,177240.0,117073.0,137816.0,0.22243285939968405,0.777567140600316,0.5174825174825175,0.4825174825174825,100.0,0.0,0.0
static_screen,static_s2,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.06,0.0,10,11.58899121019711,0.0,0.0,0.0,0.5664335664335665,0.43356643356643354,9.371690212972721,0.11885532974579682,169234.0,130176.0,115081.0,0.31998889112116946,0.6800111088788305,0.5664335664335665,0.43356643356643354,0.0,100.0,0.0
static_screen,static_s3,ppo,ReT_garrido2024_train,other,1,v1,1,1,80001,1.0,0.06,0.0,10,11.77461713976024,0.0,0.0,0.0,0.5524475524475525,0.4475524475524475,9.223988978687967,0.1418951046937433,169675.0,124434.0,118362.0,0.30241933107411223,0.6975806689258878,0.5594405594405594,0.4405594405594406,0.0,0.0,100.0
