phase,policy,algo,reward_mode,reward_family,frame_stack,observation_version,seed,episode,eval_seed,w_bo,w_cost,w_disr,steps,reward_total,service_loss_total,shift_cost_total,mean_disruption_fraction,fill_rate,backorder_rate,ret_thesis_corrected_total,order_level_ret_mean,demanded_total,delivered_total,backorder_qty_total,flow_fill_rate,flow_backorder_rate,fill_rate_state_terminal,backorder_rate_state_terminal,pct_steps_S1,pct_steps_S2,pct_steps_S3
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,95.90491826134014,0.0,0.0,0.0,0.6117054751415985,0.38829452485840155,242.5547331342972,0.14590763465296586,4511031.0,3020000.0,3340629.0,0.25945332674503896,0.740546673254961,0.6123348017621145,0.3876651982378855,100.0,0.0,0.0
static_screen,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,92.73673086671764,0.0,0.0,0.0,0.6142227816236627,0.38577721837633727,241.92218220515502,0.1427056292581985,4534921.0,3047421.0,3406651.0,0.2487959547696641,0.7512040452303359,0.6148521082441787,0.38514789175582126,100.0,0.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,138.4860962913708,0.0,0.0,0.0,0.8105726872246696,0.18942731277533043,241.75061962328877,0.2065384292543572,4541552.0,3852587.0,2570834.0,0.43393051538328753,0.5660694846167125,0.8105726872246696,0.1894273127753304,0.0,100.0,0.0
static_screen,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,130.35360175680157,0.0,0.0,0.0,0.7809943360604154,0.21900566393958465,240.45543435860262,0.1816427137678822,4540527.0,3729971.0,2695556.0,0.4063341105558892,0.5936658894441108,0.7816236626809314,0.2183763373190686,0.0,100.0,0.0
static_screen,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,130.68245795694895,0.0,0.0,0.0,0.803650094398993,0.19634990560100696,243.90981116682343,0.19898257351712506,4559864.0,3842485.0,2699469.0,0.40799352787714727,0.5920064721228527,0.803650094398993,0.19634990560100693,0.0,0.0,100.0
static_screen,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,136.73691338690523,0.0,0.0,0.0,0.8049087476400252,0.19509125235997482,242.05183421373826,0.21459245399045646,4505731.0,3791017.0,2521786.0,0.44031589990614173,0.5596841000938583,0.8049087476400252,0.19509125235997482,0.0,0.0,100.0
random_eval,random,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,131.3275667050766,0.0,0.0,0.0,0.790434235368156,0.20956576463184395,242.20563473855898,0.19578751105813094,4556698.0,3784368.0,2750843.0,0.3963078088563253,0.6036921911436747,0.790434235368156,0.20956576463184393,32.30769230769231,33.84615384615385,33.84615384615385
random_eval,random,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,120.87816533337262,0.0,0.0,0.0,0.764002517306482,0.23599748269351795,241.5167577977819,0.19016646431019862,4507207.0,3625960.0,2883462.0,0.3602552534196899,0.6397447465803101,0.7646318439269981,0.23536815607300188,35.76923076923077,30.76923076923077,33.46153846153846
heuristic_eval,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,130.68245795694895,0.0,0.0,0.0,0.803650094398993,0.19634990560100696,243.90981116682343,0.19898257351712506,4559864.0,3842485.0,2699469.0,0.40799352787714727,0.5920064721228527,0.803650094398993,0.19634990560100693,0.0,0.0,100.0
heuristic_eval,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,136.73691338690523,0.0,0.0,0.0,0.8049087476400252,0.19509125235997482,242.05183421373826,0.21459245399045646,4505731.0,3791017.0,2521786.0,0.44031589990614173,0.5596841000938583,0.8049087476400252,0.19509125235997482,0.0,0.0,100.0
heuristic_eval,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,130.1637610077853,0.0,0.0,0.0,0.789175582127124,0.21082441787287598,241.90673990430358,0.19242570114541407,4556852.0,3780823.0,2701730.0,0.40710604601597766,0.5928939539840223,0.78980490874764,0.21019509125235997,0.0,71.15384615384616,28.846153846153847
heuristic_eval,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,125.79336856714283,0.0,0.0,0.0,0.7847702957835117,0.21522970421648835,241.8121642725821,0.17971135450932257,4537932.0,3741461.0,2801201.0,0.38271419668694906,0.6172858033130509,0.7853996224040277,0.2146003775959723,0.0,79.61538461538461,20.384615384615383
heuristic_eval,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,130.68245795694895,0.0,0.0,0.0,0.803650094398993,0.19634990560100696,243.90981116682343,0.19898257351712506,4559864.0,3842485.0,2699469.0,0.40799352787714727,0.5920064721228527,0.803650094398993,0.19634990560100693,0.0,0.0,100.0
heuristic_eval,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,136.73691338690523,0.0,0.0,0.0,0.8049087476400252,0.19509125235997482,242.05183421373826,0.21459245399045646,4505731.0,3791017.0,2521786.0,0.44031589990614173,0.5596841000938583,0.8049087476400252,0.19509125235997482,0.0,0.0,100.0
ppo_eval,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,116.66952020170797,0.0,0.0,0.0,0.7595972309628698,0.2404027690371302,242.30177499288402,0.18272719066975457,4580317.0,3685260.0,2988558.0,0.3475215798382514,0.6524784201617486,0.7595972309628698,0.24040276903713026,0.0,100.0,0.0
ppo_eval,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,122.88224297328298,0.0,0.0,0.0,0.750157331655129,0.249842668344871,241.4758888989156,0.18858100349790416,4543877.0,3607137.0,2827696.0,0.37769090140424133,0.6223090985957587,0.7507866582756451,0.24921334172435494,0.0,100.0,0.0
cross_eval_current,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,154.8620673175837,0.0,0.0,0.0,0.8533668974197608,0.1466331025802392,255.4103121951653,0.36946240902999106,4239823.0,3715000.0,2174833.0,0.48704627528083133,0.5129537247191687,0.8539962240402769,0.1460037759597231,100.0,0.0,0.0
cross_eval_current,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,144.75017503703964,0.0,0.0,0.0,0.8206419131529263,0.17935808684707366,253.5268316563138,0.34078016130995803,4226502.0,3567451.0,2329814.0,0.4487607009295157,0.5512392990704843,0.8206419131529263,0.17935808684707363,100.0,0.0,0.0
cross_eval_current,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,228.86527125668445,0.0,0.0,0.0,1.0,0.0,255.52586173227562,0.7911879778613076,4223952.0,4412458.0,536981.0,0.8728723716557385,0.1271276283442615,1.0,0.0,0.0,100.0,0.0
cross_eval_current,static_s2,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,192.38520329737915,0.0,0.0,0.0,0.9905601006922593,0.009439899307740696,254.00661859995512,0.5071728523532281,4223723.0,4277588.0,1328798.0,0.6853965091934295,0.3146034908065704,0.9905601006922593,0.009439899307740718,0.0,100.0,0.0
cross_eval_current,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,201.6068102007241,0.0,0.0,0.0,0.9949653870358716,0.005034612964128438,255.40610395258298,0.602578849019024,4225053.0,4281135.0,1085157.0,0.7431613283904368,0.25683867160956325,0.9955947136563876,0.004405286343612335,0.0,0.0,100.0
cross_eval_current,static_s3,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,192.1625799355067,0.0,0.0,0.0,1.0,0.0,254.21563229952824,0.5269005797329996,4221083.0,4318643.0,1281682.0,0.6963618104642813,0.3036381895357187,1.0,0.0,0.0,0.0,100.0
cross_eval_current,random,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,216.12002613903576,0.0,0.0,0.0,1.0,0.0,255.4095929898817,0.6841980428624405,4220257.0,4336639.0,815642.0,0.806731675345838,0.19326832465416205,1.0,0.0,32.30769230769231,33.84615384615385,33.84615384615385
cross_eval_current,random,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,177.73182262522724,0.0,0.0,0.0,0.9634990560100692,0.036500943989930756,253.5582743809819,0.4413751598233258,4240347.0,4165903.0,1621757.0,0.6175414417735152,0.3824585582264848,0.9641283826305853,0.03587161736941473,35.76923076923077,30.76923076923077,33.46153846153846
cross_eval_current,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,225.11222882800067,0.0,0.0,0.0,1.0,0.0,255.336877043398,0.7364374406386132,4240936.0,4389488.0,686065.0,0.8382279289288969,0.16177207107110317,1.0,0.0,80.0,0.0,20.0
cross_eval_current,heuristic_hysteresis,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,207.4951335822407,0.0,0.0,0.0,1.0,0.0,253.306317496436,0.612280187068287,4226503.0,4341846.0,1048770.0,0.7518586879034511,0.24814131209654886,1.0,0.0,63.84615384615385,0.0,36.15384615384615
cross_eval_current,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,222.63101360519963,0.0,0.0,0.0,1.0,0.0,256.2735477882315,0.7134966463777174,4210841.0,4383078.0,724125.0,0.8280331648713404,0.17196683512865957,1.0,0.0,76.53846153846153,18.46153846153846,5.0
cross_eval_current,heuristic_disruption,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,209.43583498290803,0.0,0.0,0.0,0.9981120201384519,0.0018879798615480947,254.59702333734674,0.6298847973327067,4214253.0,4354618.0,990701.0,0.7649165818948221,0.23508341810517783,0.9981120201384519,0.0018879798615481435,68.84615384615384,22.692307692307693,8.461538461538462
cross_eval_current,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,218.16372991897325,0.0,0.0,0.0,1.0,0.0,255.82959209269748,0.6772055676580323,4237108.0,4370266.0,854529.0,0.7983225822896183,0.2016774177103817,1.0,0.0,78.84615384615384,5.0,16.153846153846153
cross_eval_current,heuristic_tuned,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,198.05684477186506,0.0,0.0,0.0,1.0,0.0,254.516076231945,0.5417231165305095,4211883.0,4317721.0,1245222.0,0.704355035503123,0.29564496449687705,1.0,0.0,65.0,4.615384615384615,30.384615384615383
cross_eval_current,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,212.94582656118232,0.0,0.0,0.0,1.0,0.0,255.66638922284076,0.6491770731349297,4218269.0,4388802.0,911523.0,0.7839106515018364,0.21608934849816358,1.0,0.0,0.0,100.0,0.0
cross_eval_current,ppo,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,183.88679966707994,0.0,0.0,0.0,0.986784140969163,0.013215859030836996,254.05283265627077,0.48147835840806397,4225488.0,4248344.0,1506207.0,0.6435424736740467,0.35645752632595334,0.986784140969163,0.013215859030837005,0.0,100.0,0.0
cross_eval_severe,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,1,80011,4.0,0.02,0.0,260,59.47855046393041,0.0,0.0,0.0,0.28823159219634986,0.7117684078036501,228.81878293271382,0.12895746135244232,5234086.0,2310439.0,4543479.0,0.1319441445937266,0.8680558554062734,0.28886091881686593,0.7111390811831341,100.0,0.0,0.0
cross_eval_severe,static_s1,ppo,ReT_seq_v1,resilience_index,1,v1,11,2,80012,4.0,0.02,0.0,260,56.8506585893599,0.0,0.0,0.0,0.2838263058527376,0.7161736941472624,227.4402720872852,0.1343715564026498,5248567.0,2257488.0,4612862.0,0.12111972658441816,0.8788802734155818,0.2844556324732537,0.7155443675267463,100.0,0.0,0.0
