seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,1,910,0.0091,448.284796,910,2.227798
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,2,1820,0.0182,464.286997,910,4.050004
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,3,2730,0.0273,460.694461,910,5.907056
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,4,3640,0.0364,430.960288,910,7.807899
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,5,4550,0.0455,446.468648,910,9.686236
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,6,5460,0.0546,466.865598,910,11.469564
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,7,6370,0.0637,475.850337,910,13.329637
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,8,7280,0.0728,452.668625,910,15.173811
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,9,8190,0.0819,447.601656,910,16.761304
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,10,9100,0.091,455.42335,910,18.627248
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,11,10010,0.1001,456.430216,910,20.494846
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,12,10920,0.1092,468.926897,910,22.347873
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,13,11830,0.1183,464.489025,910,24.188439
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,14,12740,0.1274,467.49153,910,26.08448
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,15,13650,0.1365,461.502077,910,27.906948
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,16,14560,0.1456,457.04014,910,29.686207
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,17,15470,0.1547,451.507381,910,31.494925
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,18,16380,0.1638,464.910348,910,33.150984
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,19,17290,0.1729,443.589601,910,35.013134
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,20,18200,0.182,457.710967,910,36.833707
11,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,21,19110,0.1911,491.161759,910,38.642543
