policy,metric,mean,p05,p50,p95,p99,rows
ppo,ReTj,0.005892649965017932,0.00293583746451178,0.0067191786126575,0.0069444444444444,0.0069444444444444,38519
s3_d2.00,ReTj,0.005422801101364532,0.0005523221574362,0.00653600607597945,0.0069444444444444,0.0069444444444444,38520
ppo,APj,0.0,0.0,0.0,0.0,0.0,38519
s3_d2.00,APj,0.0,0.0,0.0,0.0,0.0,38520
ppo,RPj,94.10708368678357,72.0,74.32438734379866,162.03635957533825,336.0,38519
s3_d2.00,RPj,173.2467144655022,72.0,75.69404468691482,626.7849699120343,2130.387817649639,38520
ppo,DPj,89.66072053470268,54.0,54.0,140.9569900584479,1222.0552226714688,38519
s3_d2.00,DPj,424.57856019912765,54.0,54.0,2395.671953338504,8303.119645485725,38520
ppo,CTj,89.98309825893573,54.0,54.0,142.6286863726623,1222.4891261889436,38519
s3_d2.00,CTj,429.755259062182,54.0,54.0,2444.996208557782,8327.439581045446,38520
