policy,kind,order_ret_excel,order_level_ret_mean,flow_fill_rate,terminal_rolling_fill_rate_4w,ret_garrido2024_sigmoid_mean,assembly_cost_index,order_service_loss_auc_per_order,order_ctj_p99,order_rpj_p99,order_dpj_p99,pareto_nondominated_ret_cost_tail_flow
S2_op10_2.00_op12_1.50,dense_static,0.0054662556612321,0.0052511162529476,0.6686670295085668,0.908663505812486,0.7535006468982062,0.6666666666666666,1125478.4263331408,8112.91909792277,2047.646782617485,8112.91909792277,True
S2_op10_1.25_op12_2.50,dense_static,0.005466042264997,0.0052509849286165,0.6685309194764952,0.9172131617863972,0.7605939408432212,0.6666666666666666,1049533.1369792735,7602.881498603716,1992.5325028045968,7602.881498603716,True
S3_op10_2.50_op12_2.50,dense_static,0.0054651245787527,0.0052500635470807,0.657288142641229,0.8973892932136854,0.8177373654637824,1.0,1113527.7510762387,7920.502889974016,2076.931560441974,7920.502889974016,False
S3_op10_1.25_op12_2.00,dense_static,0.0054499344146228,0.0052364650578607,0.6634908774298223,0.9092400471369424,0.8194773647076972,1.0,1087395.513337023,7765.400597229959,2003.1069771066627,7765.400597229959,False
S2_op10_1.00_op12_2.00,dense_static,0.0054451703592611,0.0052294793786634,0.6733697556902719,0.8799407102167607,0.753271467014785,0.6666666666666666,1117636.6894851043,8049.470554199152,2110.0050473470387,8049.470554199152,True
S3_op10_2.00_op12_2.50,dense_static,0.0054417766504292,0.0052291135363954,0.6193670676811734,0.884318936864535,0.8153894851467041,1.0,1159241.8102156017,8855.003263260127,2309.288695563871,8855.003263260127,False
S3_op10_1.00_op12_2.50,dense_static,0.0054410319872738,0.0052280912066924,0.6563032017688044,0.9126202563444772,0.8169611271537308,1.0,1092934.6322868555,8364.938389158433,2325.507894335175,8364.938389158433,False
S3_op10_1.25_op12_1.50,dense_static,0.0054424483770339,0.005226746782784,0.6838138785586494,0.8625541801253954,0.818079167503484,1.0,1099907.9778421028,8136.947323491802,2213.746799597628,8136.947323491802,False
S2_op10_2.50_op12_1.25,dense_static,0.0054383492180568,0.0052235957633332,0.6720129079088956,0.8511130132401983,0.7544143403788469,0.6666666666666666,1133519.74861958,7981.391376123424,2084.6233594683617,7981.391376123424,True
S3_op10_2.50_op12_2.00,dense_static,0.0054376582650112,0.005223403079678,0.6431094919221267,0.901002881055077,0.8189763455242837,1.0,1104502.431208352,8108.351809426349,2194.978020529596,8108.351809426349,False
S2_op10_2.50_op12_2.00,dense_static,0.005432893223395,0.0052196914445049,0.6371537973996673,0.8850724626953402,0.7525171594780733,0.6666666666666666,1154809.9043223988,8475.269378949113,2200.556495468144,8475.269378949113,False
S2_op10_1.50_op12_1.50,dense_static,0.0054280103546664,0.0052143599929789,0.6706769519241792,0.8734751125176748,0.751706967480594,0.6666666666666666,1143868.5318401014,8173.819113573069,2216.5183627747374,8173.819113573069,False
S3_op10_2.00_op12_2.00,dense_static,0.005420962682289,0.0052089172483231,0.6459664384952,0.8487245660275221,0.8216908512188519,1.0,1071485.680947959,7992.9836137649345,2139.778786821464,7992.9836137649345,False
S3_op10_1.00_op12_1.50,dense_static,0.0054228302845082,0.0052070210945968,0.6920420887538354,0.8694026013215383,0.8225090815801483,1.0,1022688.992420688,7442.009843031384,2019.984563164909,7442.009843031384,False
S2_op10_2.50_op12_1.50,dense_static,0.0054199889132428,0.0052065329556928,0.647431710567254,0.87584821395576,0.7505217179513136,0.6666666666666666,1195797.3631824995,8416.397531656463,2255.5716237851298,8416.397531656463,False
S3_op10_2.00_op12_1.50,dense_static,0.005420418221589,0.0052063143502356,0.6740977059342935,0.9008204425374668,0.8162595160494105,1.0,1151448.8896823416,7938.855931485411,2034.198746509357,7938.855931485411,False
S3_op10_1.50_op12_2.00,dense_static,0.0054155527093022,0.00520337553111,0.6447576017041966,0.8957307721177736,0.8165182276778781,1.0,1122545.5609328724,8161.097206245497,2204.835303052879,8161.097206245497,False
S2_op10_1.50_op12_2.50,dense_static,0.0054149479715245,0.0052016818299948,0.642029820404184,0.90251235862573,0.74949009465702,0.6666666666666666,1162565.6111460032,8090.382755374607,2166.835116443349,8090.382755374607,False
S2_op10_1.50_op12_1.25,dense_static,0.0054147544142466,0.0052012928445771,0.6859600655776302,0.8847640263537565,0.7504893192244523,0.6666666666666666,1187071.70076254,8211.99050035309,2218.3514431318376,8211.99050035309,True
S3_op10_1.00_op12_1.25,dense_static,0.0054148418477321,0.0052000321977697,0.6904536518632296,0.8852421777943771,0.8175383428827017,1.0,1142784.205310287,7433.63735682071,1995.9242827468488,7433.63735682071,False
S2_op10_2.00_op12_1.25,dense_static,0.0054092401103752,0.005197183440727,0.6827520089381032,0.9066850910584132,0.7448108762700498,0.6666666666666666,1209771.5018811417,8394.782328850151,2258.255180264258,8394.782328850151,False
S2_op10_1.25_op12_1.25,dense_static,0.0054016057696087,0.0051913919422217,0.6780878573789947,0.8939780816435814,0.7443957141582752,0.6666666666666666,1222874.143328155,9240.890308398702,2387.3690182833266,9240.890308398702,False
S3_op10_1.50_op12_2.50,dense_static,0.0053992589653098,0.0051884821258711,0.643487149630767,0.8963666275143624,0.8114170684267605,1.0,1181748.714104802,8841.42289798261,2332.54588943603,8841.42289798261,False
S2_op10_1.00_op12_2.50,dense_static,0.0054008985444184,0.005187973796678,0.6549202002914747,0.8872894614934921,0.7501083532046657,0.6666666666666666,1164922.7815377426,8181.832119242024,2070.4292223708776,8181.832119242024,False
S2_op10_1.00_op12_1.25,dense_static,0.0053968494262904,0.0051856666351752,0.7013566950929174,0.898031515131394,0.7439275878494896,0.6666666666666666,1212884.5580751922,8468.242658529296,2376.1980258326257,8468.242658529296,True
