rank,static_policy,static_order_ret_excel_mean,n_pairs,ppo_delta_mean,delta_ci95_low,delta_ci95_high,all_pairs_positive
1,S2_op10_2.00_op12_1.50,0.0054662556612321,60,0.00042639652820165836,0.0003878730607886798,0.00046314721205614783,True
2,S2_op10_1.25_op12_2.50,0.005466042264997,60,0.0004266099244367866,0.0003795666562574594,0.0004750456388659543,True
3,S3_op10_2.50_op12_2.50,0.0054651245787527,60,0.0004275276106810901,0.00038911302922819084,0.00046655840609261424,True
4,S3_op10_1.25_op12_2.00,0.0054499344146228,60,0.00044271777481096677,0.00039596020658087296,0.0004938572259182403,True
5,S2_op10_1.00_op12_2.00,0.0054451703592611,60,0.000447481830172715,0.0004035135820124877,0.0004893116310572486,True
6,S3_op10_1.25_op12_1.50,0.0054424483770339,60,0.0004502038123998582,0.00040387885110180414,0.0004973810328880946,True
7,S3_op10_2.00_op12_2.50,0.0054417766504292,60,0.00045087553900460017,0.0004105357059408591,0.000491461888113004,True
8,S3_op10_1.00_op12_2.50,0.0054410319872738,60,0.0004516202021599718,0.00040961098062818394,0.0004931630485953185,True
9,S2_op10_2.50_op12_1.25,0.0054383492180568,60,0.00045430297137697014,0.00042231497163667067,0.00048823590856265014,True
10,S3_op10_2.50_op12_2.00,0.0054376582650112,60,0.0004549939244225683,0.00042405485446012244,0.0004873118362919274,True
11,S2_op10_2.50_op12_2.00,0.005432893223395,60,0.0004597589660388018,0.0004190028049095027,0.000503595571688125,True
12,S2_op10_1.50_op12_1.50,0.0054280103546664,60,0.0004646418347673799,0.00042197727839898315,0.0005067841859375458,True
