policy,order_level_ret_mean,fill_rate_mean,assembly_cost_index_mean,n
ppo,0.005605042372208395,0.0033736427966616933,0.645940170940171,60
heur_hysteresis,0.0052447421391888715,0.0033736427966616933,0.6686965811965812,60
s2_d1.50,0.005214359992978943,0.0032751691383652868,0.6666666666666666,60
s3_d2.00,0.005210023703003549,0.0033736427966616933,1.0,60
heur_forecast_threshold,0.00520005269485548,0.0033736427966616933,0.5944444444444444,60
heur_disruption_aware,0.005188082218984538,0.0033736427966616933,0.46212606837606834,60
heur_tuned,0.005183458508483497,0.0033736427966616933,0.5983974358974359,60
s3_d1.50,0.005175895720245821,0.0033736427966616933,1.0,60
s2_d2.00,0.005162320624870204,0.003299787552939388,0.6666666666666666,60
s2_d1.00,0.0051116059853417535,0.0033736427966616933,0.6666666666666666,60
s3_d1.00,0.005013100794703063,0.0033736427966616933,1.0,60
heur_s1_max_downstream,0.004397823656402165,0.0031520770654947785,0.3333333333333333,60
s1_d1.00,0.004384984373228059,0.0031272765620554933,0.3333333333333333,60
s1_d1.50,0.004324252652839876,0.003078076150680313,0.3333333333333333,60
heur_downstream_reactive,0.004314012713461771,0.00317669548006888,0.3333333333333333,60
s1_d2.00,0.004296425772486523,0.003250368634926002,0.3333333333333333,60
