metric,label,direction,learned_policy,static_policy,n_pairs,ppo_mean,static_mean,raw_delta_ppo_minus_static,raw_delta_ci95_low,raw_delta_ci95_high,directional_gain,directional_gain_ci95_low,directional_gain_ci95_high,paired_cohens_d,oriented_paired_cohens_d,unpaired_cohens_d,win,ci95_directional_win
order_ret_excel,Excel ReT,higher,ppo,S2_op10_2.00_op12_1.50,60,0.005892652189433801,0.005466255661232143,0.00042639652820165836,0.00038864857959113784,0.0004630431845628497,0.00042639652820165836,0.00038864857959113784,0.0004630431845628497,2.8705474060737086,2.8705474060737086,3.1175919987398815,True,True
order_level_ret_mean,Order-level ReT,higher,ppo,S2_op10_2.00_op12_1.50,60,0.0056660208639698895,0.00525111625294762,0.00041490461102227,0.0003779563507094945,0.00045042522526385055,0.00041490461102227,0.0003779563507094945,0.00045042522526385055,2.893636870548798,2.893636870548798,3.2942596394631596,True,True
flow_fill_rate,Flow fill rate,higher,ppo,S2_op10_2.00_op12_1.50,60,0.9613204626333758,0.6686670295085668,0.2926534331248089,0.28059404343086597,0.304346285268127,0.2926534331248089,0.28059404343086597,0.304346285268127,6.171591863242498,6.171591863242498,8.516479454349144,True,True
terminal_rolling_fill_rate_4w,Rolling fill 4w,higher,ppo,S2_op10_2.00_op12_1.50,60,0.9960367242495219,0.908663505812486,0.08737321843703588,0.03400194697082044,0.15378776381413142,0.08737321843703588,0.03400194697082044,0.15378776381413142,0.36554446508165517,0.36554446508165517,0.5149352173603637,True,True
ret_garrido2024_sigmoid_mean,Balanced CD sigmoid,higher,ppo,S2_op10_2.00_op12_1.50,60,0.9385255968544495,0.7535006468982062,0.18502494995624336,0.17576942623426922,0.19539011811348841,0.18502494995624336,0.17576942623426922,0.19539011811348841,4.8711548245084,4.8711548245084,5.8415151833508,True,True
assembly_cost_index,Cost index,lower,ppo,S2_op10_2.00_op12_1.50,60,0.682051282051282,0.6666666666666664,0.015384615384615418,-0.014743589743589703,0.0478659188034188,-0.015384615384615418,-0.04786591880341883,0.014743589743589703,0.12669587019613213,-0.12669587019613213,0.1791750179280328,False,False
order_service_loss_auc_per_order,Service-loss AUC/order,lower,ppo,S2_op10_2.00_op12_1.50,60,113169.94034865825,1125478.4263331408,-1012308.4859844825,-1100337.9845234265,-932979.5304699258,1012308.4859844825,932979.5304699258,1100337.9845234265,-3.03322180903417,3.03322180903417,-4.167856654471305,True,True
order_backorder_qty_final,Final backlog qty,lower,ppo,S2_op10_2.00_op12_1.50,60,309.3631666666667,10929.238833333337,-10619.875666666669,-15747.28575416667,-6204.433304166668,10619.875666666669,6204.433304166667,15747.28575416667,-0.5497388963928066,0.5497388963928066,-0.7765202181719041,True,True
order_lost_rate,Lost rate,lower,ppo,S2_op10_2.00_op12_1.50,60,0.0,0.00015576323987538668,-0.00015576323987538668,-0.00038940809968846673,0.0,0.00015576323987538668,0.0,0.00038940809968846673,-0.18414137497317512,0.18414137497317512,-0.2604152298810939,True,False
order_ctj_p99,CTj p99,lower,ppo,S2_op10_2.00_op12_1.50,60,1206.9374607759098,8112.9190979227715,-6905.981637146861,-7276.344244567448,-6537.598351988485,6905.981637146861,6537.598351988484,7276.344244567448,-4.722638215120096,4.722638215120096,-6.216708707824764,True,True
order_rpj_p99,RPj p99,lower,ppo,S2_op10_2.00_op12_1.50,60,328.17381327424687,2047.6467826174853,-1719.4729693432384,-1846.6160752669768,-1600.9693366946844,1719.4729693432384,1600.9693366946844,1846.6160752669766,-3.4334584879984247,3.4334584879984247,-4.656872584979444,True,True
order_dpj_p99,DPj p99,lower,ppo,S2_op10_2.00_op12_1.50,60,1206.9374607759098,8112.9190979227715,-6905.981637146861,-7276.344244567448,-6537.598351988485,6905.981637146861,6537.598351988484,7276.344244567448,-4.722638215120096,4.722638215120096,-6.216708707824764,True,True
