policy,seed,episodes,shift,op10_mult,op12_mult,reward_total_mean,reward_total_std,order_level_ret_mean_mean,order_level_ret_mean_std,flow_fill_rate_mean,flow_fill_rate_std,flow_backorder_rate_mean,flow_backorder_rate_std,terminal_rolling_fill_rate_4w_mean,terminal_rolling_fill_rate_4w_std,terminal_rolling_backorder_rate_4w_mean,terminal_rolling_backorder_rate_4w_std,assembly_cost_index_mean,assembly_cost_index_std,assembly_hours_total_mean,assembly_hours_total_std,ret_garrido2024_raw_total_mean,ret_garrido2024_raw_total_std,ret_garrido2024_train_total_mean,ret_garrido2024_train_total_std,ret_garrido2024_sigmoid_total_mean,ret_garrido2024_sigmoid_total_std,ret_garrido2024_sigmoid_mean_mean,ret_garrido2024_sigmoid_mean_std,terminal_kappa_dot_mean,terminal_kappa_dot_std,terminal_epsilon_avg_mean,terminal_epsilon_avg_std,order_ret_excel_mean,order_ret_excel_std,order_lost_rate_mean,order_lost_rate_std,order_service_loss_auc_per_order_mean,order_service_loss_auc_per_order_std,order_ctj_p99_mean,order_ctj_p99_std,order_rpj_p99_mean,order_rpj_p99_std,order_dpj_p99_mean,order_dpj_p99_std,order_delivered_rations_mean,order_delivered_rations_std,order_demanded_rations_mean,order_demanded_rations_std,op3_mult,op9_mult
S2_op3_0.75_op9_0.75_op10_2.00_op12_1.50,1,12,2,2.0,1.5,-269.4512260431188,11.898646894138311,0.0037536260439974723,0.00019537807995238275,0.3514053252940705,0.027337493899310453,0.6485946747059296,0.027337493899310453,0.5257966568072637,0.2270733964457891,0.4131944452722867,0.23866892680343527,0.6666666666666666,0.0,11648.0,0.0,173.97827359599157,13.107484446523147,161.05738628938482,12.132060089010087,64.84850643906923,2.0702541168935897,0.6235433311448964,0.019906289585515283,0.5936037898308729,0.008056362033987656,155182.29684294874,2040.3832682391521,0.0039054851956677457,0.00020197866999140118,0.15472481827622012,0.0144499775386213,6481103.532568209,318969.79007766425,8542.59060148348,2953.475972924072,2213.038516823224,775.7066638793054,8542.59060148348,2953.475972924072,1323309.3283333338,23203.378884864756,1754937.6633333338,16578.81202919951,0.75,0.75
S2_op3_0.75_op9_0.75_op10_2.00_op12_1.50,2,12,2,2.0,1.5,-268.3505833000741,10.389199397046069,0.003772275896722381,0.00017278523000276665,0.35378939933696724,0.024000447946803137,0.6462106006630327,0.024000447946803137,0.5114599814017614,0.21470975968348327,0.4270833345750968,0.2276118027619495,0.6666666666666666,0.0,11648.0,0.0,175.8880187522427,13.310604486933707,162.70134032196896,12.37109714983724,65.0994111163574,2.1069953963741352,0.6259558761188212,0.02025957111898207,0.5926925391222894,0.007314233318364714,154729.8062019231,2078.8937835813526,0.003917833644984774,0.00018908221672412416,0.1535565939771547,0.014512805203815558,6449113.936135449,307903.5770191877,8690.739491742692,3126.9757838836167,2282.357925059671,849.6673675832861,8690.739491742692,3126.9757838836167,1324238.3800000006,23041.776360304713,1753959.030833334,16869.94591430637,0.75,0.75
S2_op3_0.75_op9_0.75_op10_2.00_op12_1.50,3,12,2,2.0,1.5,-268.8929248456131,10.086081505460543,0.0037479427639109993,0.00017043743032495073,0.3525444359385526,0.0233474919862226,0.6474555640614473,0.0233474919862226,0.5263995826244354,0.21749676410658744,0.4097222226361434,0.2294821043468671,0.6666666666666666,0.0,11648.0,0.0,173.3994338899021,14.222920551956964,160.3090509751483,13.367820118231162,64.7017946596667,2.2856592242538145,0.6221326409583336,0.021977492540902067,0.5890951511799276,0.013189950801882792,154813.25306891024,2076.593418669785,0.00389233281340466,0.00018697165019314113,0.15498442367601245,0.014754592033059923,6516991.559196058,333973.2325609788,8791.34244419535,3079.259828991789,2383.26369126011,840.5777378328821,8791.34244419535,3079.259828991789,1323241.2900000007,22956.408767426416,1755532.2250000006,17365.51633578247,0.75,0.75
S2_op3_0.75_op9_0.75_op10_2.00_op12_1.50,4,12,2,2.0,1.5,-271.90450252704926,11.868861261912452,0.003695408624062964,0.00019130187850936812,0.34526007049309365,0.027238514010925287,0.6547399295069064,0.027238514010925287,0.5328556845585505,0.22220039157267835,0.4097222226361434,0.2294821043468671,0.6666666666666666,0.0,11648.0,0.0,168.5928953074697,19.365948214542403,155.864107294584,18.06620797985991,63.86246736329108,3.28889586925772,0.6140621861854911,0.03162399874286271,0.5905371682628364,0.013610092134880309,155127.87658653848,1809.5436176931244,0.0038370802877926145,0.00020804485866671353,0.1597871235721703,0.017515364715817886,6696672.1392156305,527376.8949843484,8164.987166698301,3109.603510691909,2357.3637141404556,846.6693573384443,8164.987166698301,3109.603510691909,1318328.5883333338,25010.95527611575,1758743.7850000004,16362.6244171874,0.75,0.75
S2_op3_0.75_op9_0.75_op10_2.00_op12_1.50,5,12,2,2.0,1.5,-270.98957853511473,10.676074549401106,0.003733894259399873,0.0001687105161402414,0.3470824930224794,0.024978331449974057,0.6529175069775206,0.024978331449974057,0.5614155828952789,0.21451064866535305,0.3749999987582366,0.21832118442860957,0.6666666666666666,0.0,11648.0,0.0,169.32457543635647,19.74920422273442,156.53150671931382,18.42211142915471,63.95666372318863,3.34072453697283,0.6149679204152754,0.03212235131704645,0.5903940834713768,0.013538003061002517,155073.93123397438,1810.5230997239262,0.0038799805975267376,0.00018441628552596191,0.15809968847352024,0.017274978981946135,6626881.881796472,556759.3792564275,7924.726420042111,3306.06718508936,2279.111090856101,924.6592294952941,7924.726420042111,3306.06718508936,1321764.736666667,25583.528287103258,1757234.9633333336,15824.799564924086,0.75,0.75
S2_op3_0.75_op9_1.00_op10_2.00_op12_1.50,1,12,2,2.0,1.5,-138.38373707567663,16.39467313860949,0.005235817989829544,0.0001581139340210962,0.6664592507900121,0.040337073685882,0.33354074920998794,0.04033707368588199,0.89465556666255,0.23221649908533923,0.08333333550641935,0.22473329311789542,0.6666666666666666,0.0,11648.0,0.0,385.7216230480922,75.53791077431053,320.61850230853054,59.01381152239946,80.22794949533782,3.2145643862333797,0.7714225913013252,0.030909272944551706,0.16407785590899182,0.022163964482236717,54272.02056891026,11725.193087805115,0.0054551940386653175,0.00015106255845257432,0.0,0.0,1139115.763491173,266909.93786254205,8482.523132516324,1229.8208950248593,2119.26605774447,363.81677560212233,8482.523132516324,1229.8208950248593,1740062.463333333,19152.971633063047,1755101.583333333,11774.683979932526,0.75,1.0
S2_op3_0.75_op9_1.00_op10_2.00_op12_1.50,2,12,2,2.0,1.5,-134.71708774705607,15.119773148981565,0.005269876665489223,0.0001177306837117701,0.6756690688104406,0.03688018616852826,0.3243309311895593,0.036880186168528256,0.89465556666255,0.23221649908533923,0.08333333550641935,0.22473329311789542,0.6666666666666666,0.0,11648.0,0.0,402.1450504289107,70.24488874758178,333.50629897293857,54.999265714817795,80.98651033000668,2.7610012945891986,0.7787164454808336,0.02654808937104997,0.16006011035595244,0.02004941962146862,51652.20466346154,10690.410820710285,0.005481718514239297,0.00012446253631436926,0.0,0.0,1078053.346400503,234707.23221209532,8281.979452054546,1402.5380259236654,2108.9618388291233,363.9245889978047,8281.979452054546,1402.5380259236654,1739601.3433333328,19436.818698607025,1752957.8358333327,13630.618233044019,0.75,1.0
S2_op3_0.75_op9_1.00_op10_2.00_op12_1.50,3,12,2,2.0,1.5,-135.87717004949005,14.384323405994701,0.005256684129188821,0.00010982987471772952,0.6727597566730363,0.03513291708894403,0.32724024332696366,0.035132917088944025,0.89465556666255,0.23221649908533923,0.08333333550641935,0.22473329311789542,0.6666666666666666,0.0,11648.0,0.0,397.53325294622636,66.05893452762805,329.7920798298236,51.56285150935392,80.88201062839026,2.6629565252234855,0.7777116406575987,0.02560535120407196,0.1605570023499153,0.01983204285488471,52198.50918269231,10250.716991897687,0.005468028005141542,0.00011650192281266956,0.0,0.0,1104183.2382249534,209531.97669870852,8367.70788878244,1298.7754056419187,2116.592964395164,355.55272770940786,8367.70788878244,1298.7754056419187,1740537.8966666663,19751.705914701386,1753862.368333333,13630.716898451366,0.75,1.0
S2_op3_0.75_op9_1.00_op10_2.00_op12_1.50,4,12,2,2.0,1.5,-136.37202471725547,14.67744876839799,0.005240133489916842,0.00013789993477887784,0.6715071417550266,0.03588675884221891,0.3284928582449734,0.035886758842218903,0.9008151553571224,0.2329089257684205,0.07638889085501432,0.22601716034210184,0.6666666666666666,0.0,11648.0,0.0,382.1169054301109,94.53353074049907,317.0909804018052,75.10852460553527,79.48364334856745,5.932087234636514,0.7642658014285333,0.0570393003330434,0.16594944228569844,0.03318102208612948,56163.5987099359,19798.92398750849,0.005451392224000218,0.00014464055255761937,0.0,0.0,1170318.6822877717,375495.10399066814,8475.635675037676,1524.9108903907638,2143.8045164935734,422.0680649731978,8475.635675037676,1524.9108903907638,1737409.1416666664,23686.926586618163,1753659.2999999996,13683.663093399307,0.75,1.0
S2_op3_0.75_op9_1.00_op10_2.00_op12_1.50,5,12,2,2.0,1.5,-134.3126159104153,17.625807450902116,0.005234299230011526,0.00013036932354555615,0.6765919235835041,0.0430912075827085,0.3234080764164959,0.043091207582708506,0.9152290932834148,0.23327956204788036,0.07291666852931182,0.22691734145946363,0.6666666666666666,0.0,11648.0,0.0,384.19085239840115,94.42748471994791,318.7623045684581,75.03627830356258,79.58318933302799,5.9445376992653784,0.7652229743560385,0.05715901633909017,0.16509350507187917,0.033509100799066556,55891.89205128205,19870.807004656133,0.00544744966089883,0.00013941529232777347,0.0,0.0,1151866.4448519475,388441.1480670559,8409.990047817912,1539.94699509522,2139.997695898917,427.1809157546665,8409.990047817912,1539.94699509522,1736092.4999999998,23186.467534955664,1751703.440833333,13556.128730410037,0.75,1.0
