metric,label,direction,learned_policy,static_policy,n_pairs,ppo_mean,static_mean,raw_delta_ppo_minus_static,raw_delta_ci95_low,raw_delta_ci95_high,directional_gain,directional_gain_ci95_low,directional_gain_ci95_high,paired_cohens_d,oriented_paired_cohens_d,unpaired_cohens_d,win,ci95_directional_win
order_ret_excel,Excel ReT,higher,ppo,S2_op10_2.00_op12_1.50,120,0.005897732763352344,0.0054595683440537965,0.00043816441929854836,0.0004093613132409914,0.00046762852932749074,0.00043816441929854836,0.0004093613132409914,0.00046762852932749074,2.697860353925976,2.697860353925976,3.2804504727361072,True,True
order_level_ret_mean,Order-level ReT,higher,ppo,S2_op10_2.00_op12_1.50,120,0.0056726691834089425,0.005246501173589538,0.0004261680098194025,0.0003984837453198566,0.00045462591823515296,0.0004261680098194025,0.0003984837453198566,0.00045462591823515296,2.725473293835304,2.725473293835304,3.4006476461773416,True,True
flow_fill_rate,Flow fill rate,higher,ppo,S2_op10_2.00_op12_1.50,120,0.9604531369727525,0.6654182245667368,0.2950349124060157,0.28660201473093966,0.303451631363947,0.2950349124060157,0.28660201473093966,0.303451631363947,6.270799131832567,6.270799131832567,8.914859691149783,True,True
terminal_rolling_fill_rate_4w,Rolling fill 4w,higher,ppo,S2_op10_2.00_op12_1.50,120,0.9980183621247609,0.9372307074566683,0.06078765466809273,0.03371920812875033,0.0945690427099665,0.06078765466809273,0.03371920812875033,0.0945690427099665,0.3511271741002853,0.3511271741002853,0.4937992277125114,True,True
ret_garrido2024_sigmoid_mean,Balanced CD sigmoid,higher,ppo,S2_op10_2.00_op12_1.50,120,0.937975171211558,0.7462407008622767,0.1917344703492813,0.18378943474813245,0.20064056323099602,0.1917344703492813,0.18378943474813245,0.20064056323099602,4.092493120618487,4.092493120618487,5.118680141190823,True,True
assembly_cost_index,Cost index,lower,ppo,S2_op10_2.00_op12_1.50,120,0.6646901709401709,0.6666666666666665,-0.001976495726495689,-0.02126068376068372,0.017282318376068397,0.001976495726495689,-0.017282318376068414,0.02126068376068372,-0.01776532075734572,0.01776532075734572,-0.025123957554945557,True,False
order_service_loss_auc_per_order,Service-loss AUC/order,lower,ppo,S2_op10_2.00_op12_1.50,120,116130.90799538468,1190306.9661641142,-1074176.0581687295,-1147737.4435749955,-1008612.2295557628,1074176.0581687295,1008612.2295557628,1147737.4435749955,-2.7753179217926025,2.7753179217926025,-3.848203128104864,True,True
order_backorder_qty_final,Final backlog qty,lower,ppo,S2_op10_2.00_op12_1.50,120,154.68158333333335,10811.68166666667,-10657.000083333336,-14071.902489583335,-7491.3507375000045,10657.000083333336,7491.350737500001,14071.902489583334,-0.5666939676125358,0.5666939676125358,-0.8008839090977071,True,True
order_lost_rate,Lost rate,lower,ppo,S2_op10_2.00_op12_1.50,120,0.0,0.0002725856697819267,-0.0002725856697819267,-0.00046728971962616006,-7.788161993769334e-05,0.0002725856697819267,7.788161993769334e-05,0.00046728971962616006,-0.24785213024316882,0.24785213024316882,-0.3505158440529521,True,True
order_ctj_p99,CTj p99,lower,ppo,S2_op10_2.00_op12_1.50,120,1201.6535364364245,8396.170351687477,-7194.516815251054,-7462.392912054511,-6930.950780021219,7194.516815251054,6930.950780021219,7462.392912054511,-4.899340068200678,4.899340068200678,-6.337531973924744,True,True
order_rpj_p99,RPj p99,lower,ppo,S2_op10_2.00_op12_1.50,120,335.43285317205664,2140.2582131971144,-1804.8253600250578,-1907.8292979208777,-1710.1723188297776,1804.8253600250578,1710.1723188297776,1907.8292979208777,-3.288363521799204,3.288363521799204,-4.3883845887764386,True,True
order_dpj_p99,DPj p99,lower,ppo,S2_op10_2.00_op12_1.50,120,1201.6535364364245,8396.170351687477,-7194.516815251054,-7462.392912054511,-6930.950780021219,7194.516815251054,6930.950780021219,7462.392912054511,-4.899340068200678,4.899340068200678,-6.337531973924744,True,True
