seed,episode_count,mean_delta,min_delta,positive_pairs
1,12,0.0004341126205516667,0.00020046042785989981,12
2,12,0.00040756949753942507,0.00020551041962640036,12
3,12,0.0004466267625730749,0.00014215523534160009,12
4,12,0.00042949653796999166,7.785364860860011e-05,12
5,12,0.0004141772223741334,0.0001663113504948993,12
6,12,0.00040756285245186673,8.395075329670036e-05,12
7,12,0.0004235536127148081,0.0002553924974792003,12
8,12,0.0004293654118863248,0.00011985424045179993,12
9,12,0.0004952071458410081,0.00011834654572360007,12
10,12,0.0004939725290831833,0.00021674814076850027,12
