cf,hypothesis,family,pattern,horizon_years,buffer_hours,shifts,ret_excel,ret_excel_0_100,Re_APj_share,Re_APj_mean,Re_APj_contribution,Re_RPj_share,Re_RPj_mean,Re_RPj_contribution,Re_DPj_RPj_share,Re_DPj_RPj_mean,Re_DPj_RPj_contribution,Re_FRt_share,Re_FRt_mean,Re_FRt_contribution,not_in_his_ReT_unfulfilled_share,not_in_his_ReT_unfulfilled_mean,not_in_his_ReT_unfulfilled_contribution
1,H1a,R1r,--++,10,0,1,0.007837224876421918,0.7837224876421918,0.0,0.0,0.0,1.0,0.007837224876422026,0.007837224876422026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,H1a,R1r,-+--,10,0,1,0.00815567858877727,0.815567858877727,0.0,0.0,0.0,1.0,0.00815567858877739,0.00815567858877739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,H1a,R1r,+-++,10,0,1,0.0076824806230822345,0.7682480623082234,0.0,0.0,0.0,1.0,0.007682480623082347,0.007682480623082347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,H1a,R1r,+++-,10,0,1,0.007879941588911322,0.7879941588911322,0.0,0.0,0.0,1.0,0.007879941588911438,0.007879941588911438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,H1a,R1r,--+-,10,0,1,0.008157041652080536,0.8157041652080536,0.0,0.0,0.0,1.0,0.008157041652080652,0.008157041652080652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,H1a,R1r,++-+,10,0,1,0.007684079974369492,0.7684079974369492,0.0,0.0,0.0,1.0,0.007684079974369602,0.007684079974369602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,H1a,R1r,+--+,10,0,1,0.007678228463485877,0.7678228463485877,0.0,0.0,0.0,1.0,0.00767822846348599,0.00767822846348599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,H1a,R1r,+---,10,0,1,0.007858655428796721,0.7858655428796721,0.0,0.0,0.0,1.0,0.007858655428796829,0.007858655428796829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,H1a,R1r,-+++,10,0,1,0.007783056843740595,0.7783056843740594,0.0,0.0,0.0,1.0,0.007783056843740713,0.007783056843740713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,H1a,R1r,-+-+,10,0,1,0.00783549250059995,0.783549250059995,0.0,0.0,0.0,1.0,0.007835492500600073,0.007835492500600073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,H1b,R2r,+-++,10,0,1,0.3686356048084504,36.863560480845045,0.0,0.0,0.0,0.5480966025378633,0.007702817360128811,0.004221888025056275,0.0,0.0,0.0,0.4519033974621367,0.8063973823386157,0.36441371678339407,0.0,0.0,0.0
12,H1b,R2r,+---,10,0,1,0.5979440934971862,59.79440934971863,0.0,0.0,0.0,0.3192307692307692,0.008969987390543284,0.002863495974673433,0.0,0.0,0.0,0.6807692307692308,0.8741296912760093,0.595080597522514,0.0,0.0,0.0
13,H1b,R2r,++-+,10,0,1,0.4206170159231875,42.06170159231875,0.0,0.0,0.0,0.4977449774497745,0.008698607575876035,0.0043296882316988545,0.0,0.0,0.0,0.5022550225502255,0.8288365650935037,0.41628732769148913,0.0,0.0,0.0
14,H1b,R2r,+++-,10,0,1,0.46369747694763613,46.36974769476361,0.0,0.0,0.0,0.4681017612524462,0.010807731375131373,0.005059118091842318,0.0,0.0,0.0,0.5318982387475538,0.8622671132277796,0.4586383588557935,0.0,0.0,0.0
15,H1b,R2r,--++,10,0,1,0.4592127002046539,45.921270020465386,0.0,0.0,0.0,0.4760617760617761,0.008813984021609472,0.004196000887507521,0.0003861003861003861,0.0,0.0,0.5235521235521235,0.8690953180172635,0.45501669931714644,0.0,0.0,0.0
16,H1b,R2r,-+--,10,0,1,0.6430988930087044,64.30988930087044,0.0,0.0,0.0,0.2903703703703704,0.010006282244094581,0.0029055278812482044,0.0,0.0,0.0,0.7096296296296296,0.9021514017975639,0.6401933651274565,0.0,0.0,0.0
17,H1b,R2r,-++-,10,0,1,0.577459888079791,57.745988807979096,0.0,0.0,0.0,0.37220566318926973,0.011110265966582803,0.004135303912301125,0.0,0.0,0.0,0.6277943368107303,0.9132363109231721,0.5733245841674908,0.0,0.0,0.0
18,H1b,R2r,--+-,10,0,1,0.5833384237287211,58.33384237287211,0.0,0.0,0.0,0.3648293963254593,0.011767487439419386,0.004293125338790799,0.0,0.0,0.0,0.6351706036745407,0.9116374325891069,0.5790452983899315,0.0,0.0,0.0
19,H1b,R2r,-+-+,10,0,1,0.49921194537857494,49.921194537857495,0.0,0.0,0.0,0.42846094354215003,0.009412101717185347,0.004032717982459924,0.0,0.0,0.0,0.57153905645785,0.8663961312898201,0.49517922739611525,0.0,0.0,0.0
20,H1b,R2r,++++,10,0,1,0.3890264531774338,38.90264531774338,0.0,0.0,0.0,0.5402020202020202,0.009155871022185716,0.00494602002289386,0.00040404040404040404,0.0,0.0,0.4593939393939394,0.836058990375977,0.3840804331545397,0.0,0.0,0.0
21,H1c,R3,-,20,0,1,0.9704924164728963,97.04924164728963,0.0,0.0,0.0,0.006114605171208945,0.0160225706866851,9.797169357686558e-05,0.0,0.0,0.0,0.993885394828791,0.9763645283734982,0.9703944447793206,0.0,0.0,0.0
22,H1c,R3,+,20,0,1,0.964524583297817,96.45245832978169,0.0,0.0,0.0,0.012753319357092943,0.006168720841183667,7.867166691237032e-05,0.0,0.0,0.0,0.9872466806429071,0.9769046891125981,0.9644459116309035,0.0,0.0,0.0
23,H1c,R3,+,20,0,1,0.9593842330501057,95.93842330501057,0.0,0.0,0.0,0.012928022361984625,0.003999746575823032,5.170881317451159e-05,0.0,0.0,0.0,0.9870719776380154,0.9718972334039314,0.9593325242369344,0.0,0.0,0.0
24,H1c,R3,+,20,0,1,0.9721032181459914,97.21032181459914,0.0,0.0,0.0,0.007512229210342418,0.016812148433396276,0.00012629671254997201,0.0,0.0,0.0,0.9924877707896576,0.9793339021800768,0.9719769214334409,0.0,0.0,0.0
25,H1c,R3,+,20,0,1,0.9615166944634976,96.15166944634976,0.0,0.0,0.0,0.011913104414856343,0.0020097757101095863,2.3942667884977553e-05,0.0,0.0,0.0,0.9880868955851436,0.9730852175974033,0.9614927517956122,0.0,0.0,0.0
26,H1c,R3,-,20,0,1,0.9733885823849497,97.33885823849498,0.0,0.0,0.0,0.004542278127183787,0.010844710844710836,4.925969286556285e-05,0.0,0.0,0.0,0.9954577218728162,0.9777806744628799,0.9733393226920841,0.0,0.0,0.0
27,H1c,R3,-,20,0,1,0.9732703347672821,97.3270334767282,0.0,0.0,0.0,0.004542278127183787,0.014041514041514028,6.378046210331319e-05,0.0,0.0,0.0,0.9954577218728162,0.9776473002532197,0.9732065543051792,0.0,0.0,0.0
28,H1c,R3,-,20,0,1,0.9678228285268158,96.78228285268158,0.0,0.0,0.0,0.007686932215234102,0.0014044594607362628,1.0795984673723893e-05,0.0,0.0,0.0,0.9923130677847659,0.9753091680054965,0.9678120325421419,0.0,0.0,0.0
29,H1c,R3,+,20,0,1,0.9710166820553835,97.10166820553835,0.0,0.0,0.0,0.009084556254367574,0.008606685594696486,7.818791944867527e-05,0.0,0.0,0.0,0.9909154437456325,0.9798399048720184,0.9709384941359345,0.0,0.0,0.0
30,H1c,R3,-,20,0,1,0.9755338452354263,97.55338452354263,0.0,0.0,0.0,0.0047169811320754715,0.027867640883513938,0.00013145113624299026,0.0,0.0,0.0,0.9952830188679245,0.9800251542607891,0.9754023940991815,0.0,0.0,0.0
31,H2a,R1r,--++,10,504,1,0.00924313818522578,0.9243138185225781,0.0,0.0,0.0,1.0,0.009243138185225992,0.009243138185225992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,H2a,R1r,-+--,10,336,1,0.009246685171653201,0.9246685171653202,0.0,0.0,0.0,1.0,0.009246685171653413,0.009246685171653413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,H2a,R1r,+-++,10,168,1,0.009242428111341154,0.9242428111341153,0.0,0.0,0.0,1.0,0.009242428111341367,0.009242428111341367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,H2a,R1r,+++-,10,1344,1,0.009244704150038505,0.9244704150038505,0.0,0.0,0.0,1.0,0.009244704150038719,0.009244704150038719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,H2a,R1r,--+-,10,336,1,0.009231395449298262,0.9231395449298262,0.0,0.0,0.0,1.0,0.009231395449298473,0.009231395449298473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,H2a,R1r,++-+,10,1344,1,0.009245177869281605,0.9245177869281606,0.0,0.0,0.0,1.0,0.009245177869281819,0.009245177869281819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,H2a,R1r,+--+,10,672,1,0.009243079015329655,0.9243079015329656,0.0,0.0,0.0,1.0,0.009243079015329867,0.009243079015329867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,H2a,R1r,+---,10,672,1,0.00924937051676182,0.9249370516761821,0.0,0.0,0.0,1.0,0.009249370516762032,0.009249370516762032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,H2a,R1r,-+++,10,168,1,0.009245752818035427,0.9245752818035426,0.0,0.0,0.0,1.0,0.009245752818035639,0.009245752818035639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,H2a,R1r,-+-+,10,504,1,0.009229360997623698,0.9229360997623698,0.0,0.0,0.0,1.0,0.009229360997623908,0.009229360997623908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,H2b,R2r,+-++,10,1344,1,0.48803073649155176,48.80307364915517,0.0,0.0,0.0,0.4969435454872348,0.009336318696957446,0.0046396233150647935,0.0,0.0,0.0,0.5030564545127651,0.9609082814466127,0.48339111317648725,0.0,0.0,0.0
42,H2b,R2r,+---,10,336,1,0.774438828538467,77.4438828538467,0.0,0.0,0.0,0.22357440890125174,0.015135884700442226,0.00338399647509887,0.0,0.0,0.0,0.7764255910987483,0.9930827125007817,0.7710548320633678,0.0,0.0,0.0
43,H2b,R2r,++-+,10,504,1,0.6296465766155521,62.964657661555215,0.0,0.0,0.0,0.37100139082058414,0.013623735108065865,0.005054424673263657,0.0,0.0,0.0,0.6289986091794159,0.9929944881072547,0.6245921519422892,0.0,0.0,0.0
44,H2b,R2r,+++-,10,168,1,0.5657818624360577,56.578186243605764,0.0,0.0,0.0,0.4270251396648045,0.012302786719023817,0.005253599216957447,0.0,0.0,0.0,0.5729748603351955,0.9782772369649644,0.5605282632191014,0.0,0.0,0.0
45,H2b,R2r,--++,10,504,1,0.5203666254211804,52.03666254211804,0.0,0.0,0.0,0.45739579490962745,0.009401365153668855,0.004300144887698038,0.0,0.0,0.0,0.5426042050903725,0.9510919297935216,0.5160664805334823,0.0,0.0,0.0
46,H2b,R2r,-+--,10,1344,1,0.7911542706850435,79.11542706850435,0.0,0.0,0.0,0.20792767732962447,0.016161137209025976,0.003360347722878141,0.0,0.0,0.0,0.7920723226703755,0.9945984734149198,0.7877939229621653,0.0,0.0,0.0
