cfi,family,seed,horizon_hours,excel_visible_orders,excel_max_j,excel_ret,sim_orders,sim_ret,sim_ret_text,ret_gap,sim_backorders,sim_unattended,sim_demanded,sim_delivered,sim_risk_events,elapsed_seconds
1,risk_r1,375,161280.0,4241,5714,0.006090274242531689,5759,0.0037866495515038586,0.0037866495515038586,-0.0023036246910278302,2309,393,14396751.0,13310000.0,"{""R11"": 960, ""R12"": 29, ""R13"": 958, ""R14"": 5723}",11.573942499999248
2,risk_r1,91,161280.0,4420,5714,0.005842575706633233,5759,0.005367759628861871,0.005367759628861871,-0.0004748160777713617,1777,116,14398384.0,14029857.0,"{""R11"": 960, ""R12"": 39, ""R13"": 694, ""R14"": 5725}",10.80662145899987
3,risk_r1,22,80640.0,2151,2841,0.006653498232898665,2879,0.003434189399032546,0.003434189399032546,-0.0032193088338661187,1380,295,7191806.0,6309607.0,"{""R11"": 1920, ""R12"": 16, ""R13"": 477, ""R14"": 2841}",3.3671131250011967
4,risk_r1,4,80640.0,2186,2832,0.005326412400507935,2879,0.0035219766428150135,0.0035219766428150135,-0.0018044357576929215,1198,170,7197968.0,6640000.0,"{""R11"": 1920, ""R12"": 19, ""R13"": 479, ""R14"": 2843}",3.327548957997351
5,risk_r1,77,80640.0,2279,2533,0.008692569857637918,2879,0.003990711705338716,0.003990711705338716,-0.004701858152299202,956,71,7200887.0,6960000.0,"{""R11"": 480, ""R12"": 14, ""R13"": 477, ""R14"": 2841}",2.836296624998795
6,risk_r1,206,80640.0,2061,2834,0.0057746549558575335,2879,0.004535831511028408,0.004535831511028408,-0.0012388234448291258,1343,304,7196059.0,6294734.0,"{""R11"": 1920, ""R12"": 18, ""R13"": 323, ""R14"": 2841}",3.1106425000034506
7,risk_r1,82,80640.0,2115,2834,0.0060087182415351,2879,0.004757833325324225,0.004757833325324225,-0.0012508849162108744,1358,298,7198040.0,6307340.0,"{""R11"": 1920, ""R12"": 13, ""R13"": 356, ""R14"": 2839}",3.281085875001736
8,risk_r1,33,80640.0,2278,2818,0.0074856220622906275,2879,0.005066150446524484,0.005066150446524484,-0.0024194716157661432,1164,169,7199727.0,6640000.0,"{""R11"": 1920, ""R12"": 13, ""R13"": 337, ""R14"": 2844}",3.389647625001089
9,risk_r1,827,80640.0,2061,2834,0.0051636155099175265,2879,0.0034790386608641037,0.0034790386608641037,-0.0016845768490534228,1191,171,7200088.0,6630000.0,"{""R11"": 480, ""R12"": 19, ""R13"": 478, ""R14"": 2848}",2.9217410830024164
10,risk_r1,27,80640.0,2061,2834,0.005785080081399504,2879,0.004922436550063259,0.004922436550063259,-0.0008626435313362447,1158,180,7198219.0,6619821.0,"{""R11"": 480, ""R12"": 19, ""R13"": 338, ""R14"": 2845}",2.7864656249948894
11,risk_r2,21,80640.0,2165,2844,0.17977978797734556,2879,0.33453820293672126,0.03162537225584985,0.1547584149593757,1640,352,7802942.0,6792696.0,"{""R21"": 20, ""R22"": 20, ""R23"": 60, ""R24"": 240}",2.017335208998702
12,risk_r2,47,80640.0,2186,2848,0.39514151834316324,2879,0.5417104987464596,0.019796000721845695,0.14656898040329636,1290,188,7494426.0,6899943.0,"{""R21"": 20, ""R22"": 20, ""R23"": 10, ""R24"": 120}",1.917964166001184
13,risk_r2,101,80640.0,1956,2850,0.14184084326010662,2879,0.37843855172548563,0.03628617616075062,0.236597708465379,1588,349,7796453.0,6792453.0,"{""R21"": 20, ""R22"": 60, ""R23"": 10, ""R24"": 240}",2.015404875004606
14,risk_r2,28,80640.0,2173,2849,0.17264705043593367,2879,0.41949925616154937,0.022202112858941303,0.2468522057256157,1389,231,7497952.0,6797409.0,"{""R21"": 20, ""R22"": 60, ""R23"": 60, ""R24"": 120}",1.987970457994379
15,risk_r2,10,80640.0,2203,2848,0.19050256107632924,2879,0.4309693267630227,0.033016463638233566,0.24046676568669345,1367,201,7799077.0,7187460.0,"{""R21"": 5, ""R22"": 20, ""R23"": 60, ""R24"": 240}",2.062008416003664
16,risk_r2,11,80640.0,2218,2849,0.2349312541069298,2879,0.6155656166405705,0.027239593742242944,0.3806343625336407,1172,90,7497271.0,7162439.0,"{""R21"": 5, ""R22"": 60, ""R23"": 10, ""R24"": 120}",2.2308764580011484
17,risk_r2,96,80640.0,2227,2844,0.17857549461992253,2879,0.5483263659977311,0.02454201632580777,0.3697508713778086,1150,95,7496407.0,7175065.0,"{""R21"": 5, ""R22"": 60, ""R23"": 60, ""R24"": 120}",2.0463837919960497
18,risk_r2,498,80640.0,2277,2849,0.26044310964142176,2879,0.5427269782052135,0.02144247256740514,0.2822838685637918,1209,123,7497479.0,7097231.0,"{""R21"": 5, ""R22"": 20, ""R23"": 60, ""R24"": 120}",2.3495150420058053
19,risk_r2,95,80640.0,2120,2848,0.1378224994763155,2879,0.4820147466724439,0.03963313205479546,0.3441922471961284,1347,205,7800759.0,7160000.0,"{""R21"": 5, ""R22"": 60, ""R23"": 10, ""R24"": 240}",2.289235832999111
20,risk_r2,85,80640.0,2168,2849,0.11573261410060781,2879,0.35556973377649315,0.03449215833456424,0.23983711967588534,1576,317,7792526.0,6880000.0,"{""R21"": 20, ""R22"": 60, ""R23"": 60, ""R24"": 240}",2.410058041001321
