Cfi,status,failed_fields,family,expected_family,source_cfi,expected_source_cfi,enabled_risks,expected_enabled_risks,risk_overrides,expected_risk_overrides,shifts,expected_shifts,inventory_replenishment_period,expected_inventory_replenishment_period,initial_buffers,expected_initial_buffers,horizon_hours,expected_horizon_hours
1,MATCH,,risk_r1,risk_r1,1,1,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,,,{},{},161280.0,161280.0
2,MATCH,,risk_r1,risk_r1,2,2,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""current""}",1,1,,,{},{},161280.0,161280.0
3,MATCH,,risk_r1,risk_r1,3,3,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
4,MATCH,,risk_r1,risk_r1,4,4,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""current""}",1,1,,,{},{},80640.0,80640.0
5,MATCH,,risk_r1,risk_r1,5,5,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}","{""R11"": ""current"", ""R12"": ""current"", ""R13"": ""increased"", ""R14"": ""current""}",1,1,,,{},{},80640.0,80640.0
6,MATCH,,risk_r1,risk_r1,6,6,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
7,MATCH,,risk_r1,risk_r1,7,7,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
8,MATCH,,risk_r1,risk_r1,8,8,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}","{""R11"": ""increased"", ""R12"": ""current"", ""R13"": ""current"", ""R14"": ""current""}",1,1,,,{},{},80640.0,80640.0
9,MATCH,,risk_r1,risk_r1,9,9,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""increased"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
10,MATCH,,risk_r1,risk_r1,10,10,"R11,R12,R13,R14","R11,R12,R13,R14","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}","{""R11"": ""current"", ""R12"": ""increased"", ""R13"": ""current"", ""R14"": ""increased""}",1,1,,,{},{},80640.0,80640.0
11,MATCH,,risk_r2,risk_r2,11,11,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
12,MATCH,,risk_r2,risk_r2,12,12,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""current"", ""R23"": ""current"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
13,MATCH,,risk_r2,risk_r2,13,13,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
14,MATCH,,risk_r2,risk_r2,14,14,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
15,MATCH,,risk_r2,risk_r2,15,15,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
16,MATCH,,risk_r2,risk_r2,16,16,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
17,MATCH,,risk_r2,risk_r2,17,17,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
18,MATCH,,risk_r2,risk_r2,18,18,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}","{""R21"": ""current"", ""R22"": ""current"", ""R23"": ""increased"", ""R24"": ""current""}",1,1,,,{},{},80640.0,80640.0
19,MATCH,,risk_r2,risk_r2,19,19,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}","{""R21"": ""current"", ""R22"": ""increased"", ""R23"": ""current"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
20,MATCH,,risk_r2,risk_r2,20,20,"R21,R22,R23,R24","R21,R22,R23,R24","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}","{""R21"": ""increased"", ""R22"": ""increased"", ""R23"": ""increased"", ""R24"": ""increased""}",1,1,,,{},{},80640.0,80640.0
21,MATCH,,risk_r3,risk_r3,21,21,R3,R3,"{""R3"": ""current""}","{""R3"": ""current""}",1,1,,,{},{},161280.0,161280.0
