profile,group,best_candidate,best_ret_excel,best_ration_ret_excel,best_ret_excel_cvar10,best_lost_orders,best_backorder_qty_final,best_backlog_age_max,best_service_loss_auc_ration_hours,best_resource,best_risk_events
R1_current,R1_frequency,f0_S2,0.006230602858482932,0.006224720256010518,0.0036185282816213605,0.0,0.0,31.80000000000291,235916537.0,0.25,4037.0
R2_current,R2_frequency,f0.125_S1,0.8186286909162243,0.7356315809792257,0.004815923480102461,0.0,0.0,31.80000000000291,545577807.0,0.0625,169.33333333333334
Cf1,R1_frequency,f0_S2,0.004792554223832078,0.004786190460311116,0.0028467451378497845,0.0,0.0,48.80000000000291,272557369.6666667,0.25,4186.0
Cf2,R1_frequency,f0_S2,0.0059252398165003115,0.005919501482250652,0.0033034962551263918,0.0,0.0,31.80000000000291,235916537.0,0.25,4044.1666666666665
Cf3,R1_frequency,f0_S2,0.004694080611543518,0.004687865157420828,0.00279005764360307,0.0,0.0,49.466666666669575,270755139.3333334,0.25,5764.166666666667
Cf4,R1_frequency,f0.125_S1,0.004463015451463294,0.0044579888430734006,0.002381058941951826,0.0,0.0,37.966666666669575,264014304.4,0.0625,5763.666666666667
Cf5,R1_frequency,f0_S2,0.004708539495299559,0.004703830030737414,0.0028462426712368553,0.0,0.0,31.80000000000291,262636832.0,0.25,4184.666666666667
Cf6,R1_frequency,f0.125_S1,0.0058221364863353985,0.005814573918226581,0.0032112462461338213,0.0,0.0,49.80000000000291,248604303.60000002,0.0625,5615.166666666667
Cf7,R1_frequency,f0.125_S1,0.006073185801403276,0.006065430015221356,0.003510028129862859,0.0,0.0,49.80000000000291,248604303.60000002,0.0625,5608.0
Cf8,R1_frequency,f0.125_S1,0.006067877115547573,0.006061144249724035,0.0035161135105576664,0.0,0.0,41.133333333336246,241168400.26666665,0.0625,5607.5
Cf9,R1_frequency,f0_S2,0.004626229001303733,0.004619986575480613,0.0024021799633270513,0.0,0.0,48.80000000000291,272557369.6666667,0.25,4193.166666666667
Cf10,R1_frequency,f0_S2,0.005973910762331336,0.005966168124679733,0.0032932581662507786,0.0,0.0,48.80000000000291,250542195.60000002,0.25,4045.1666666666665
Cf11,R2_frequency,f0.125_S3,0.5048111721206272,0.4314414043217982,1.2068499194278032e-05,86.5,136001.66666666666,86582.8,20684629397.266674,0.5625,372.5
Cf12,R2_frequency,f0.25_S1,0.7717614048162238,0.693466623034566,0.0031044169723876015,0.0,0.0,34.80000000000291,589335476.6999999,0.125,186.0
Cf13,R2_frequency,f0.25_S1,0.6408928676244204,0.5618736018775576,0.0004039444633821142,0.0,0.0,34.80000000000291,1660472624.7,0.125,361.3333333333333
Cf14,R2_frequency,f0.125_S1,0.5863625833176461,0.5338597087558067,0.00045081516554624303,9.166666666666666,47528.333333333336,41454.799999999996,7822293547.4333315,0.0625,284.5
Cf15,R2_frequency,f0.125_S1,0.5356135207567069,0.4583433135795436,2.8434364156254832e-06,83.83333333333333,140771.5,86655.8,20352308497.10001,0.0625,355.6666666666667
Cf16,R2_frequency,f0.125_S1,0.7883843682916997,0.7097524488060053,0.004925709514992076,0.0,0.0,31.80000000000291,663402241.0,0.0625,213.16666666666666
Cf17,R2_frequency,f0.125_S1,0.6185785005624292,0.5635998995807733,0.00042559623165262317,11.5,63105.333333333336,60235.799999999996,8976500578.699999,0.0625,268.0
Cf18,R2_frequency,f0_S2,0.6511624360623889,0.5955171846920463,0.00033356210766666457,3.5,47151.833333333336,50463.799999999996,7137289282.399999,0.25,224.16666666666666
Cf19,R2_frequency,f0_S2,0.6893942443386615,0.6033297931953764,0.0008539769209697989,0.0,0.0,31.80000000000291,1178908144.0,0.25,344.6666666666667
Cf20,R2_frequency,f0.125_S1,0.48379722792996566,0.41250861584227755,3.925860982502007e-05,92.83333333333333,137287.33333333334,86814.8,21899253465.93334,0.0625,416.1666666666667
R1_OAT_R11_increased,R1_one_at_a_time,f0.125_S1,0.006067877115547573,0.006061144249724035,0.0035161135105576664,0.0,0.0,41.133333333336246,241168400.26666665,0.0625,5607.5
R1_OAT_R12_increased,R1_one_at_a_time,f0_S2,0.0059252398165003115,0.005919501482250652,0.0033034962551263918,0.0,0.0,31.80000000000291,235916537.0,0.25,4044.1666666666665
R1_OAT_R13_increased,R1_one_at_a_time,f0_S2,0.004708539495299559,0.004703830030737414,0.0028462426712368553,0.0,0.0,31.80000000000291,262636832.0,0.25,4184.666666666667
R1_OAT_R14_increased,R1_one_at_a_time,f0_S2,0.006239676387837317,0.006231733168423623,0.003603270134602031,0.0,0.0,48.80000000000291,250542195.60000002,0.25,4038.0
R2_OAT_R21_increased,R2_one_at_a_time,f0.25_S1,0.7717614048162238,0.693466623034566,0.0031044169723876015,0.0,0.0,34.80000000000291,589335476.6999999,0.125,186.0
R2_OAT_R22_increased,R2_one_at_a_time,f0.125_S1,0.7883843682916997,0.7097524488060053,0.004925709514992076,0.0,0.0,31.80000000000291,663402241.0,0.0625,213.16666666666666
R2_OAT_R23_increased,R2_one_at_a_time,f0_S2,0.6511624360623889,0.5955171846920463,0.00033356210766666457,3.5,47151.833333333336,50463.799999999996,7137289282.399999,0.25,224.16666666666666
R2_OAT_R24_increased,R2_one_at_a_time,f0_S2,0.7134174686012082,0.62418522871854,0.0005948610576805646,0.0,0.0,31.80000000000291,1142511457.0,0.25,300.8333333333333
impact_R11_psi1,impact_R11,f0_S2,0.006230602858482932,0.006224720256010518,0.0036185282816213605,0.0,0.0,31.80000000000291,235916537.0,0.25,4037.0
impact_R11_psi1.5,impact_R11,f0_S3,0.006207878486709179,0.0062020044120704,0.0036044329508799038,0.0,0.0,31.80000000000291,235672399.0,0.5,4036.0
impact_R11_psi2,impact_R11,f0_S3,0.006185014566123242,0.006179145610890079,0.003590378807154838,0.0,0.0,31.80000000000291,235672399.0,0.5,4035.6666666666665
impact_R21_psi1,impact_R21,f0.125_S1,0.8186286909162243,0.7356315809792257,0.004815923480102461,0.0,0.0,31.80000000000291,545577807.0,0.0625,169.33333333333334
impact_R21_psi1.5,impact_R21,f0_S2,0.8075191707739479,0.7275607596244953,0.004271234770211841,0.0,0.0,35.133333333336246,673731335.8000001,0.25,169.5
impact_R21_psi2,impact_R21,f0_S2,0.7948022971300017,0.7182421935707307,0.0037583565461643234,0.5,0.0,14567.800000000003,978386366.8000001,0.25,169.66666666666666
impact_R22_psi1,impact_R22,f0.125_S1,0.8186286909162243,0.7356315809792257,0.004815923480102461,0.0,0.0,31.80000000000291,545577807.0,0.0625,169.33333333333334
impact_R22_psi1.5,impact_R22,f0.125_S1,0.8170175984132212,0.73427414139127,0.004739044014931785,0.0,0.0,31.80000000000291,550009622.0,0.0625,169.33333333333334
impact_R22_psi2,impact_R22,f0.125_S1,0.8141409160571086,0.7316280570123347,0.004676799867054539,0.0,0.0,31.80000000000291,549769277.0,0.0625,169.33333333333334
impact_R23_psi1,impact_R23,f0.125_S1,0.8186286909162243,0.7356315809792257,0.004815923480102461,0.0,0.0,31.80000000000291,545577807.0,0.0625,169.33333333333334
impact_R23_psi1.5,impact_R23,f0.125_S1,0.8097638344781721,0.7283847885046253,0.004533270929032427,0.0,0.0,31.80000000000291,621623628.0,0.0625,169.33333333333334
impact_R23_psi2,impact_R23,f0.125_S1,0.8005904177902473,0.7208464328989543,0.004254529501703336,0.0,0.0,31.80000000000291,706969316.0,0.0625,169.33333333333334
impact_R24_psi1,impact_R24,f0.125_S1,0.8186286909162243,0.7356315809792257,0.004815923480102461,0.0,0.0,31.80000000000291,545577807.0,0.0625,169.33333333333334
impact_R24_psi1.5,impact_R24,f0_S2,0.8321048985499675,0.7438152083093613,0.010581136324796653,0.0,0.0,31.80000000000291,770599552.0,0.25,169.33333333333334
impact_R24_psi2,impact_R24,f0_S2,0.8239968003909182,0.7280024378136146,0.009045670261424249,0.0,0.0,31.80000000000291,1124195344.0,0.25,169.33333333333334
