policy,buffer_level,initial_shift,n_tapes,ret_excel_mean,service_loss_auc_mean,extra_shift_hours_mean,switches_mean
heuristic_I0,0,1,60,0.04811466103288184,3507711920.4633327,34123.6,1.1666666666666667
heuristic_I1344,1344,1,60,0.16230091793905335,30843259.686666664,18018.0,3.316666666666667
heuristic_I168,168,1,60,0.16229349873262322,31760899.426666662,10813.6,45.81666666666667
heuristic_I336,336,1,60,0.16228809346308515,33167932.740000002,13123.6,62.15
heuristic_I504,504,1,60,0.16230501638829048,29716493.976666667,16640.4,18.783333333333335
heuristic_I672,672,1,60,0.16230375872575487,31089084.69333333,18015.2,3.8
static_I0_S1,0,1,60,0.04829287293267207,3890159289.0633326,0.0,0.0
static_I0_S2,0,2,60,0.10803477081386136,42410351.57,17472.0,0.0
static_I0_S3,0,3,60,0.11068573919176256,35207635.59,34944.0,0.0
static_I1344_S1,1344,1,60,0.16230626238047752,30426158.456666667,0.0,0.0
static_I1344_S2,1344,2,60,0.12923869386484904,29967114.39666666,17472.0,0.0
static_I1344_S3,1344,3,60,0.12779707793155445,34273592.339999996,34944.0,0.0
static_I168_S1,168,1,60,0.16219227201083555,31535384.223333336,0.0,0.0
static_I168_S2,168,2,60,0.12924247374666928,28916420.993333332,17472.0,0.0
static_I168_S3,168,3,60,0.12780623481170073,33328652.64333333,34944.0,0.0
static_I336_S1,336,1,60,0.16228143603528142,30539616.790000003,0.0,0.0
static_I336_S2,336,2,60,0.12923014492977475,30805119.886666667,17472.0,0.0
static_I336_S3,336,3,60,0.12779302201241347,35045979.62333333,34944.0,0.0
static_I504_S1,504,1,60,0.16230512331899946,30540803.65666667,0.0,0.0
static_I504_S2,504,2,60,0.12922728740591066,30763816.256666664,17472.0,0.0
static_I504_S3,504,3,60,0.1277755887426831,35199799.983333334,34944.0,0.0
static_I672_S1,672,1,60,0.16230626238047752,30426158.456666667,0.0,0.0
static_I672_S2,672,2,60,0.12923869386484904,29967114.39666666,17472.0,0.0
static_I672_S3,672,3,60,0.12780309275207039,32790802.623333335,34944.0,0.0
