policy,buffer_level,initial_shift,n_tapes,ret_excel_mean,service_loss_auc_mean,extra_shift_hours_mean,switches_mean
heuristic_I0,0,1,60,0.046644379910475785,3480613975.663333,33888.4,1.4333333333333333
heuristic_I1344,1344,1,60,0.10989864935447471,66878371.61,19723.2,4.233333333333333
heuristic_I168,168,1,60,0.10989864935447471,66878371.61,13165.6,42.21666666666667
heuristic_I336,336,1,60,0.10989864935447471,66878371.61,14798.0,59.25
heuristic_I504,504,1,60,0.10989864935447471,66878371.61,18264.4,20.4
heuristic_I672,672,1,60,0.10989864935447471,66878371.61,19605.6,5.15
static_I0_S1,0,1,60,0.04656643517580774,3856780646.8166666,0.0,0.0
static_I0_S2,0,2,60,0.10494327156114962,82007964.92666666,17472.0,0.0
static_I0_S3,0,3,60,0.10860306437210496,72110350.20666666,34944.0,0.0
static_I1344_S1,1344,1,60,0.10989864935447471,66878371.61,0.0,0.0
static_I1344_S2,1344,2,60,0.11000556981279216,66890946.93666666,17472.0,0.0
static_I1344_S3,1344,3,60,0.10885051676620482,70522658.5,34944.0,0.0
static_I168_S1,168,1,60,0.10989864935447471,66878371.61,0.0,0.0
static_I168_S2,168,2,60,0.11000556981279216,66890946.93666666,17472.0,0.0
static_I168_S3,168,3,60,0.10885051676620482,70522658.5,34944.0,0.0
static_I336_S1,336,1,60,0.10989864935447471,66878371.61,0.0,0.0
static_I336_S2,336,2,60,0.11000556981279216,66890946.93666666,17472.0,0.0
static_I336_S3,336,3,60,0.10885051676620482,70522658.5,34944.0,0.0
static_I504_S1,504,1,60,0.10989864935447471,66878371.61,0.0,0.0
static_I504_S2,504,2,60,0.11000556981279216,66890946.93666666,17472.0,0.0
static_I504_S3,504,3,60,0.10885051676620482,70522658.5,34944.0,0.0
static_I672_S1,672,1,60,0.10989864935447471,66878371.61,0.0,0.0
static_I672_S2,672,2,60,0.11000556981279216,66890946.93666666,17472.0,0.0
static_I672_S3,672,3,60,0.10885051676620482,70522658.5,34944.0,0.0
