policy,buffer_level,initial_shift,policy_shift,n_tapes,ret_excel_mean,service_loss_auc_mean,extra_shift_hours_mean,switches_mean
heuristic_I0,0,1,1,60,0.04651879477403372,3481311993.133333,33888.4,1.4333333333333333
heuristic_I1344,1344,1,1,60,0.10998808560220492,67285878.26666667,19857.6,4.05
heuristic_I168,168,1,1,60,0.10998808560220492,67285878.26666667,13221.6,48.833333333333336
heuristic_I336,336,1,1,60,0.10998808560220492,67285878.26666667,15041.6,36.75
heuristic_I504,504,1,1,60,0.10998808560220492,67285878.26666667,18410.0,19.6
heuristic_I672,672,1,1,60,0.10998808560220492,67285878.26666667,19717.6,5.283333333333333
static_I0_S1,0,1,1,60,0.04643027015673644,3866180663.633333,0.0,0.0
static_I0_S2,0,1,2,60,0.046879998341741606,3455630101.1666665,17304.0,1.0
static_I0_S3,0,1,3,60,0.0463268068286795,3493204273.2,34608.0,1.0
static_I1344_S1,1344,1,1,60,0.10998808560220492,67285878.26666667,0.0,0.0
static_I1344_S2,1344,1,2,60,0.10998808560220492,67285878.26666667,17304.0,1.0
static_I1344_S3,1344,1,3,60,0.10998808560220492,67285878.26666667,34608.0,1.0
static_I168_S1,168,1,1,60,0.10998808560220492,67285878.26666667,0.0,0.0
static_I168_S2,168,1,2,60,0.10998808560220492,67285878.26666667,17304.0,1.0
static_I168_S3,168,1,3,60,0.10998808560220492,67285878.26666667,34608.0,1.0
static_I336_S1,336,1,1,60,0.10998808560220492,67285878.26666667,0.0,0.0
static_I336_S2,336,1,2,60,0.10998808560220492,67285878.26666667,17304.0,1.0
static_I336_S3,336,1,3,60,0.10998808560220492,67285878.26666667,34608.0,1.0
static_I504_S1,504,1,1,60,0.10998808560220492,67285878.26666667,0.0,0.0
static_I504_S2,504,1,2,60,0.10998808560220492,67285878.26666667,17304.0,1.0
static_I504_S3,504,1,3,60,0.10998808560220492,67285878.26666667,34608.0,1.0
static_I672_S1,672,1,1,60,0.10998808560220492,67285878.26666667,0.0,0.0
static_I672_S2,672,1,2,60,0.10998808560220492,67285878.26666667,17304.0,1.0
static_I672_S3,672,1,3,60,0.10998808560220492,67285878.26666667,34608.0,1.0
