state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-000-700000:w1,l-cal-000-700000,0,1,0,0.0,0.0,0.5,0.5,1546464.0,0.0,0.0,17324.0,0.0,0.0,0.0,1000.0,5118.0,0.0,0.0,0.0,12676.0,20872.0,7558.0,1.0,0.6855078339576721,0.0,49.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w99,l-cal-000-700000,0,1,0,0.0,0.0,0.5,0.5,2280000.0,250872.0,0.0,843530.0,0.0,0.0,0.0,3114.5,10004.0,0.0,0.0,0.0,15030.0,19617.0,15105.0,1.0,0.637578010559082,0.0,27.626976013183594,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w1,l-cal-001-700001,0,1,0,0.0,0.0,0.5,0.5,1538784.0,0.0,0.0,15029.0,0.0,0.0,0.0,1000.0,5120.0,0.0,0.0,0.0,14971.0,20744.0,9851.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w99,l-cal-001-700001,0,1,0,0.0,0.0,0.5,0.5,1908000.0,172008.0,0.0,781784.0,0.0,0.0,0.0,966.5,10057.0,0.0,0.0,0.0,14973.0,25640.0,14856.0,1.0,0.8333333134651184,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w1,l-cal-002-700002,0,1,0,0.0,0.0,0.5,0.5,1546464.0,0.0,0.0,12537.0,0.0,0.0,0.0,1000.0,5108.0,0.0,0.0,0.0,17463.0,20872.0,12355.0,1.0,0.6783671379089355,0.0,24.0,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w99,l-cal-002-700002,0,1,2,0.0,0.0,0.5,0.5,2280000.0,236532.0,0.0,772180.0,0.0,0.0,0.0,2174.5,10009.0,0.0,0.0,0.0,15122.0,21278.0,14944.0,1.0,0.6915626525878906,0.0,25.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w1,l-cal-003-700003,0,1,0,0.0,0.0,0.5,0.5,1584690.0,0.0,0.0,17472.0,0.0,0.0,0.0,1000.0,5058.0,0.0,0.0,0.0,12528.0,21833.5,7470.0,1.0,0.7404700517654419,0.07692307978868484,93.30183410644531,0.1205366775393486,0.9927088618278503
I0:l-cal-003-700003:w99,l-cal-003-700003,0,1,0,0.0,0.0,0.5,0.5,1971756.0,191100.0,0.0,743882.0,0.0,0.0,0.0,1569.5,10049.0,0.0,0.0,0.0,15139.0,23366.0,15110.0,1.0,0.8011520504951477,0.07692307978868484,177.1005859375,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w1,l-cal-004-700004,0,1,0,0.0,0.0,0.5,0.5,1538784.0,0.0,0.0,7507.0,0.0,0.0,0.0,1000.0,7372.0,0.0,0.0,0.0,22493.0,20744.0,15121.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w99,l-cal-004-700004,0,1,0,0.0,0.0,0.5,0.5,2280000.0,2784.0,0.0,615519.0,0.0,0.0,0.0,827.0,9946.0,0.0,0.0,0.0,14909.0,30768.0,15082.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
