state_id,campaign_id,campaign_sha256,family,risk_level,buffer_level,reference_shift,decision_week,branch_action,branch_shift,late_backlog_hours_increment,total_backlog_hours_increment,shift_hours_increment,extra_shift_hours_increment,ret_excel_final,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-000-700000:w1,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,1,0,1,4250100.0,7119828.0,1176.0,504.0,0.00486180551301105,0.0,0.0,0.5,1911192.0,152040.0,0.0,2324.0,0.0,0.0,0.0,3064.0,5118.0,0.0,0.0,0.0,12676.0,10372.0,7558.0,1.0,0.6742069721221924,0.0,1.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w1,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,1,1,2,4250100.0,7119828.0,1344.0,672.0,0.00486180551301105,0.0,0.0,0.5,1911192.0,152040.0,0.0,2324.0,0.0,0.0,0.0,3064.0,5118.0,0.0,0.0,0.0,12676.0,10372.0,7558.0,1.0,0.6742069721221924,0.0,1.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w1,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,1,2,3,5278312.0,8148040.0,1512.0,840.0,0.00472617498082667,0.0,0.0,0.5,1911192.0,152040.0,0.0,2324.0,0.0,0.0,0.0,3064.0,5118.0,0.0,0.0,0.0,12676.0,10372.0,7558.0,1.0,0.6742069721221924,0.0,1.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w99,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,99,0,1,197673564.0,200559948.0,1176.0,504.0,0.004198741977528007,0.0,0.5,0.5,2280000.0,33888.0,0.0,5179.0,0.0,0.0,0.0,910.0,9910.0,151827.0,59.0,15768.0,15030.0,12676.0,12706.0,0.6581704020500183,0.4346230924129486,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I0:l-cal-000-700000:w99,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,99,1,2,197413828.0,200300212.0,1344.0,672.0,0.0041866930595854035,0.0,0.5,0.5,2280000.0,33888.0,0.0,5179.0,0.0,0.0,0.0,910.0,9910.0,151827.0,59.0,15768.0,15030.0,12676.0,12706.0,0.6581704020500183,0.4346230924129486,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I0:l-cal-000-700000:w99,l-cal-000-700000,cf647092bef975a5c447e7d1826913797433464e01336a782edd033085f71991,R1,current,0,2,99,2,3,197482046.0,200368430.0,1512.0,840.0,0.0041821532381914285,0.0,0.5,0.5,2280000.0,33888.0,0.0,5179.0,0.0,0.0,0.0,910.0,9910.0,151827.0,59.0,15768.0,15030.0,12676.0,12706.0,0.6581704020500183,0.4346230924129486,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w1,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,1,0,1,4753502.0,7760630.0,1176.0,504.0,0.0030268445859456218,0.0,0.0,0.5,1909392.0,153840.0,0.0,2453.0,0.0,0.0,0.0,3064.0,5120.0,0.0,0.0,0.0,12547.0,10372.0,7427.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w1,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,1,1,2,4753502.0,7760630.0,1344.0,672.0,0.0030268445859456218,0.0,0.0,0.5,1909392.0,153840.0,0.0,2453.0,0.0,0.0,0.0,3064.0,5120.0,0.0,0.0,0.0,12547.0,10372.0,7427.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w1,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,1,2,3,5243860.0,8250988.0,1512.0,840.0,0.0029043301720356987,0.0,0.0,0.5,1909392.0,153840.0,0.0,2453.0,0.0,0.0,0.0,3064.0,5120.0,0.0,0.0,0.0,12547.0,10372.0,7427.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w99,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,99,0,1,257500358.0,260488886.0,1176.0,504.0,0.21616903761350023,0.0,0.5,0.5,2280000.0,0.0,0.0,5044.0,0.0,0.0,0.0,2884.0,5015.0,151041.0,59.0,15432.0,14973.0,15500.0,9796.0,0.6311257481575012,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w99,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,99,1,2,257500358.0,260488886.0,1344.0,672.0,0.21616903761350023,0.0,0.5,0.5,2280000.0,0.0,0.0,5044.0,0.0,0.0,0.0,2884.0,5015.0,151041.0,59.0,15432.0,14973.0,15500.0,9796.0,0.6311257481575012,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w99,l-cal-001-700001,2a4c04564ea8e2a6d5414b5f550b44cdfae70cc40694837af67e32e8ad05377f,R2,current,0,2,99,2,3,258478564.0,261467092.0,1512.0,840.0,0.21382510561234877,0.0,0.5,0.5,2280000.0,0.0,0.0,5044.0,0.0,0.0,0.0,2884.0,5015.0,151041.0,59.0,15432.0,14973.0,15500.0,9796.0,0.6311257481575012,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w1,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,1,0,1,4843182.0,7723758.0,1176.0,504.0,0.004827998083851126,0.0,0.0,0.5,1911384.0,151848.0,0.0,76.0,0.0,0.0,0.0,3064.0,7562.0,0.0,0.0,0.0,14924.0,10372.0,7362.0,1.0,0.6742069721221924,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w1,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,1,1,2,4843182.0,7723758.0,1344.0,672.0,0.004827998083851126,0.0,0.0,0.5,1911384.0,151848.0,0.0,76.0,0.0,0.0,0.0,3064.0,7562.0,0.0,0.0,0.0,14924.0,10372.0,7362.0,1.0,0.6742069721221924,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w1,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,1,2,3,5995818.0,8876394.0,1512.0,840.0,0.0046809232978817054,0.0,0.0,0.5,1911384.0,151848.0,0.0,76.0,0.0,0.0,0.0,3064.0,7562.0,0.0,0.0,0.0,14924.0,10372.0,7362.0,1.0,0.6742069721221924,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w99,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,99,0,1,249093472.0,252214240.0,1176.0,504.0,0.0037025068940024853,0.0,0.5,0.5,1908000.0,0.0,0.0,9772.0,0.0,0.0,0.0,3218.0,5009.0,150878.0,59.0,15480.0,15122.0,15500.0,9759.0,0.6696525812149048,0.5037701725959778,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w99,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,99,1,2,249093472.0,252214240.0,1344.0,672.0,0.0037025068940024853,0.0,0.5,0.5,1908000.0,0.0,0.0,9772.0,0.0,0.0,0.0,3218.0,5009.0,150878.0,59.0,15480.0,15122.0,15500.0,9759.0,0.6696525812149048,0.5037701725959778,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w99,l-cal-002-700002,b2af85635f5946789647880b78d9cfa15d01fc55928b0a67ef95b47e782c82d2,mixed,current,0,2,99,2,3,249766970.0,252887738.0,1512.0,840.0,0.0036935237938842086,0.0,0.5,0.5,1908000.0,0.0,0.0,9772.0,0.0,0.0,0.0,3218.0,5009.0,150878.0,59.0,15480.0,15122.0,15500.0,9759.0,0.6696525812149048,0.5037701725959778,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
