state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-000-700000:w1,l-cal-000-700000,0,1,0,0.0,0.0,0.0,0.5,1911192.0,152040.0,0.0,2324.0,0.0,0.0,0.0,3064.0,5118.0,0.0,0.0,0.0,12676.0,10372.0,7558.0,1.0,0.6742069721221924,0.0,1.0,0.1205366775393486,0.9927088618278503
I0:l-cal-000-700000:w99,l-cal-000-700000,0,1,1,0.0,0.0,0.5,0.5,2280000.0,33888.0,0.0,5179.0,0.0,0.0,0.0,910.0,9910.0,151827.0,59.0,15768.0,15030.0,12676.0,12706.0,0.6581704020500183,0.4346230924129486,0.0,28.69186782836914,-0.5680647492408752,0.8229838609695435
I0:l-cal-001-700001:w1,l-cal-001-700001,0,1,0,0.0,0.0,0.0,0.5,1909392.0,153840.0,0.0,2453.0,0.0,0.0,0.0,3064.0,5120.0,0.0,0.0,0.0,12547.0,10372.0,7427.0,1.0,0.6742069721221924,0.0,0.0,0.1205366775393486,0.9927088618278503
I0:l-cal-001-700001:w99,l-cal-001-700001,0,1,0,0.0,0.0,0.5,0.5,2280000.0,0.0,0.0,5044.0,0.0,0.0,0.0,2884.0,5015.0,151041.0,59.0,15432.0,14973.0,15500.0,9796.0,0.6311257481575012,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-002-700002:w1,l-cal-002-700002,0,1,0,0.0,0.0,0.0,0.5,1911384.0,151848.0,0.0,76.0,0.0,0.0,0.0,3064.0,7562.0,0.0,0.0,0.0,14924.0,10372.0,7362.0,1.0,0.6742069721221924,0.0,3.021493673324585,0.1205366775393486,0.9927088618278503
I0:l-cal-002-700002:w99,l-cal-002-700002,0,1,0,0.0,0.0,0.5,0.5,1908000.0,0.0,0.0,9772.0,0.0,0.0,0.0,3218.0,5009.0,150878.0,59.0,15480.0,15122.0,15500.0,9759.0,0.6696525812149048,0.5037701725959778,0.0,98.735107421875,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w1,l-cal-003-700003,0,1,0,0.0,0.0,0.0,0.5,1921332.0,141972.0,0.0,2472.0,0.0,0.0,0.0,3058.0,5058.0,0.0,0.0,0.0,12528.0,10366.0,7470.0,1.0,0.703113317489624,0.0,4.883963108062744,0.1205366775393486,0.9927088618278503
I0:l-cal-003-700003:w99,l-cal-003-700003,0,1,1,0.0,0.0,0.5,0.5,2094000.0,40374.0,0.0,2799.0,0.0,0.0,0.0,4524.5,7496.0,151572.0,59.0,15048.0,15139.0,12135.5,12482.0,0.6582019329071045,0.4302758574485779,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w1,l-cal-004-700004,0,1,1,0.0,0.0,0.0,0.5,1909392.0,153840.0,0.0,2474.0,0.0,0.0,0.0,3064.0,7527.0,0.0,0.0,0.0,12526.0,10372.0,4999.0,1.0,0.6742069721221924,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w99,l-cal-004-700004,0,1,0,0.0,0.0,0.5,0.5,2094000.0,0.0,0.0,5831.0,0.0,0.0,0.0,3139.5,4804.0,149612.0,59.0,14088.0,17316.0,15500.0,12412.0,0.5690733790397644,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
