family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,B0,1,700001,0.005585472513257342,696,447,195,0.6480782886928655,18252308.0,153738.0,48.0,1128.0
R1,B0,2,700001,0.008427130538691756,696,677,0,0.9731749215553879,2807714.0,95486.0,96.0,1095.0
R1,B0,3,700001,0.008283465735097268,696,677,0,0.9731645203761997,3175354.0,95486.0,144.0,1101.0
R1,I168,1,700001,0.008702852500473196,696,677,0,0.9731657151432361,530689.0,57308.0,48.0,73.0
R1,I168,2,700001,0.008883296467660446,696,677,0,0.9731328743312042,503199.0,57407.0,96.0,52.0
R1,I168,3,700001,0.008678301681622055,696,667,0,0.9575695956166705,919463.0,82870.0,144.0,51.0
R1,I336,1,700001,0.008702852500473196,696,677,0,0.9731657151432361,530689.0,57308.0,48.0,73.0
R1,I336,2,700001,0.008642559509581075,696,677,0,0.9717479351969505,500270.0,57406.0,96.0,52.0
R1,I336,3,700001,0.008789456556948766,696,677,0,0.9731251948539251,523512.0,57381.0,144.0,51.0
R1,I504,1,700001,0.008702852500473196,696,677,0,0.9731657151432361,530689.0,57308.0,48.0,73.0
R1,I504,2,700001,0.00874826284878146,696,677,0,0.9731400161587863,498058.0,57441.0,96.0,52.0
R1,I504,3,700001,0.008773113291912145,696,677,0,0.9731697640760109,530442.0,57308.0,144.0,51.0
R1,I672,1,700001,0.008702852500473196,696,677,0,0.9731657151432361,530689.0,57308.0,48.0,73.0
R1,I672,2,700001,0.00874826284878146,696,677,0,0.9731400161587863,498058.0,57441.0,96.0,52.0
R1,I672,3,700001,0.00842885496122311,696,677,0,0.9731579246468736,556879.0,57368.0,144.0,51.0
R1,I1344,1,700001,0.008702852500473196,696,677,0,0.9731657151432361,530689.0,57308.0,48.0,73.0
R1,I1344,2,700001,0.00874826284878146,696,677,0,0.9731400161587863,498058.0,57441.0,96.0,52.0
R1,I1344,3,700001,0.008851493990427768,696,677,0,0.9731349935683727,498070.0,57441.0,144.0,51.0
R1,B0,1,700002,0.005625622725361061,696,456,181,0.6607968248280804,18098990.0,155235.0,48.0,986.0
R1,B0,2,700002,0.008597480951551441,696,694,0,0.9972725834554736,1826316.0,84885.0,96.0,938.0
R1,B0,3,700002,0.00892776616328719,696,694,0,0.9972720300936762,1578605.0,80047.0,144.0,935.0
R1,I168,1,700002,0.009206337917496303,696,694,0,0.9972713200182427,4963.0,4963.0,48.0,73.0
R1,I168,2,700002,0.009094873212654972,696,694,0,0.9972739583689147,20507.0,7650.0,96.0,51.0
R1,I168,3,700002,0.009218259996744605,696,694,0,0.9972726285565933,0.0,0.0,144.0,50.0
R1,I336,1,700002,0.009230624091977424,696,694,0,0.9972713200182427,0.0,0.0,48.0,73.0
R1,I336,2,700002,0.009196373041486967,696,694,0,0.9972760758757102,0.0,0.0,96.0,51.0
R1,I336,3,700002,0.008971838124350122,696,694,0,0.9972720541575537,17960.0,7650.0,144.0,50.0
R1,I504,1,700002,0.009230624091977424,696,694,0,0.9972713200182427,0.0,0.0,48.0,73.0
R1,I504,2,700002,0.00923709177438623,696,694,0,0.9972725353459685,0.0,0.0,96.0,51.0
R1,I504,3,700002,0.00914983029943605,696,694,0,0.9972767939697608,0.0,0.0,144.0,50.0
R1,I672,1,700002,0.009230624091977424,696,694,0,0.9972713200182427,0.0,0.0,48.0,73.0
R1,I672,2,700002,0.00923709177438623,696,694,0,0.9972722436457555,0.0,0.0,96.0,51.0
R1,I672,3,700002,0.00914400558328312,696,694,0,0.9972723188321908,2599.0,2599.0,144.0,50.0
R1,I1344,1,700002,0.009230624091977424,696,694,0,0.9972713200182427,0.0,0.0,48.0,73.0
R1,I1344,2,700002,0.00923709177438623,696,694,0,0.9972722436457555,0.0,0.0,96.0,51.0
R1,I1344,3,700002,0.008632135329346787,696,694,0,0.9972692297715767,366597.0,37638.0,144.0,50.0
R1,B0,1,700003,0.005490930109841192,696,441,195,0.6397902924635663,18195776.0,156349.0,48.0,1128.0
R1,B0,2,700003,0.008256325467185622,696,680,0,0.9772649931497768,3449064.0,102180.0,96.0,1107.0
R1,B0,3,700003,0.008030443723687828,696,687,0,0.9872369051110371,3314635.0,94678.0,144.0,1106.0
R1,I168,1,700003,0.008641163086390517,696,684,0,0.9832002032857159,835616.0,60191.0,48.0,74.0
R1,I168,2,700003,0.008592194103432156,696,683,0,0.9815363930535961,871290.0,60228.0,96.0,50.0
R1,I168,3,700003,0.008697632989056908,696,687,0,0.9872378002781187,825592.0,60183.0,144.0,54.0
R1,I336,1,700003,0.008645022194411144,696,684,0,0.9832002032857159,830434.0,60191.0,48.0,74.0
R1,I336,2,700003,0.008697566635746272,696,687,0,0.9872354598913172,851228.0,62857.0,96.0,50.0
R1,I336,3,700003,0.008391798499321333,696,679,0,0.975839307308035,1284903.0,79989.0,144.0,54.0
R1,I504,1,700003,0.008645022194411144,696,684,0,0.9832002032857159,830434.0,60191.0,48.0,74.0
R1,I504,2,700003,0.008659192399092274,696,687,0,0.9872435226062478,819871.0,60185.0,96.0,50.0
R1,I504,3,700003,0.008730092778322446,696,687,0,0.9858316886607097,818429.0,60216.0,144.0,54.0
R1,I672,1,700003,0.008645022194411144,696,684,0,0.9832002032857159,830434.0,60191.0,48.0,74.0
R1,I672,2,700003,0.008656741887180335,696,687,0,0.987244833143881,819871.0,60185.0,96.0,50.0
R1,I672,3,700003,0.008582233194761386,696,687,0,0.9872434113973587,820264.0,60344.0,144.0,54.0
R1,I1344,1,700003,0.008645022194411144,696,684,0,0.9832002032857159,830434.0,60191.0,48.0,74.0
R1,I1344,2,700003,0.008656741887180335,696,687,0,0.987244833143881,819871.0,60185.0,96.0,50.0
R1,I1344,3,700003,0.00840121333879564,696,687,0,0.9872438396964992,857825.0,62693.0,144.0,54.0
R1,B0,1,700004,0.005860788750413341,696,473,170,0.684160181644966,18198543.0,154977.0,48.0,962.0
R1,B0,2,700004,0.008901720130340907,696,694,0,0.9972959050858825,1971368.0,81960.0,96.0,938.0
R1,B0,3,700004,0.009051928772997412,696,694,0,0.9972950681749848,1726373.0,80539.0,144.0,935.0
R1,I168,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I168,2,700004,0.009000676848229007,696,694,0,0.9972953591385749,7739.0,5140.0,96.0,49.0
R1,I168,3,700004,0.00918435223555224,696,694,0,0.9972947502816704,7739.0,5140.0,144.0,46.0
R1,I336,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I336,2,700004,0.009233622619320501,696,694,0,0.9972953427269101,7739.0,5140.0,96.0,49.0
R1,I336,3,700004,0.009242767242649816,696,694,0,0.9959573884806808,0.0,0.0,144.0,46.0
R1,I504,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I504,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I504,3,700004,0.00920237030443773,696,694,0,0.997296121315531,23152.0,7786.0,144.0,46.0
R1,I672,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I672,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I672,3,700004,0.009253432535946248,696,694,0,0.9972953621224926,0.0,0.0,144.0,46.0
R1,I1344,1,700004,0.009127783835670537,696,694,0,0.9972958946463347,64174.0,15279.0,48.0,73.0
R1,I1344,2,700004,0.009215291616406844,696,694,0,0.9972987029586998,0.0,0.0,96.0,49.0
R1,I1344,3,700004,0.009243370302448112,696,694,0,0.99729580516119,2599.0,2599.0,144.0,46.0
