rule,seed,risk_level,ret_excel,unattended_orders,backorders,n_orders,cumulative_backorder_qty
spt_contingent,700001,current,0.5122898783893166,109,873,875,2183006.0
fifo_contingent,700001,current,0.5291697121869084,115,873,875,2183006.0
lpt_contingent,700001,current,0.49250262646219745,120,873,875,2183006.0
spt_flat,700001,current,0.5122898783893166,109,873,875,2183006.0
fifo_flat,700001,current,0.5291697121869084,115,873,875,2183006.0
age_threshold,700001,current,0.5418859185195797,110,873,875,2183006.0
spt_contingent,700002,current,0.5139434189744427,110,873,875,2184202.0
fifo_contingent,700002,current,0.5293584636163113,115,873,875,2184202.0
lpt_contingent,700002,current,0.4857490512496068,121,873,875,2184202.0
spt_flat,700002,current,0.5139434189744427,110,873,875,2184202.0
fifo_flat,700002,current,0.5293584636163113,115,873,875,2184202.0
age_threshold,700002,current,0.5411693958688732,110,873,875,2184202.0
spt_contingent,700003,current,0.5070700573143957,109,873,875,2181462.0
fifo_contingent,700003,current,0.5310665318983503,114,873,875,2181462.0
lpt_contingent,700003,current,0.4796946051845607,120,873,875,2181462.0
spt_flat,700003,current,0.5070700573143957,109,873,875,2181462.0
fifo_flat,700003,current,0.5310665318983503,114,873,875,2181462.0
age_threshold,700003,current,0.5457503217306433,109,873,875,2181462.0
spt_contingent,700004,increased,0.49954673812343786,110,873,875,2183934.0
fifo_contingent,700004,increased,0.5291697121869084,115,873,875,2183934.0
lpt_contingent,700004,increased,0.4909753431370366,121,873,875,2183934.0
spt_flat,700004,increased,0.49954673812343786,110,873,875,2183934.0
fifo_flat,700004,increased,0.5291697121869084,115,873,875,2183934.0
age_threshold,700004,increased,0.5451638655064542,110,873,875,2183934.0
spt_contingent,700005,increased,0.5032864264160919,110,873,875,2185043.0
fifo_contingent,700005,increased,0.5291178800620524,115,873,875,2185043.0
lpt_contingent,700005,increased,0.48988103927204607,121,873,875,2185043.0
spt_flat,700005,increased,0.5032864264160919,110,873,875,2185043.0
fifo_flat,700005,increased,0.5291178800620524,115,873,875,2185043.0
age_threshold,700005,increased,0.5420755804162284,111,873,875,2185043.0
spt_contingent,700006,increased,0.5050630720257301,109,873,875,2180841.0
fifo_contingent,700006,increased,0.5309818530409626,114,873,875,2180841.0
lpt_contingent,700006,increased,0.5041792759714593,119,873,875,2180841.0
spt_flat,700006,increased,0.5050630720257301,109,873,875,2180841.0
fifo_flat,700006,increased,0.5309818530409626,114,873,875,2180841.0
age_threshold,700006,increased,0.5455612959079897,109,873,875,2180841.0
spt_contingent,700007,current,0.5062155873088986,109,873,875,2181384.0
fifo_contingent,700007,current,0.5309818530409626,114,873,875,2181384.0
lpt_contingent,700007,current,0.4841378876359267,120,873,875,2181384.0
spt_flat,700007,current,0.5062155873088986,109,873,875,2181384.0
