split,tape_id,tape_sha256,seed,family,risk_level,rule,n_orders,n_served,n_lost,n_late,ret_excel,ret_thesis,ret_continuous,ret_excel_cvar05,ret_excel_cvar10,ret_excel_p05,ret_excel_p10,ret_excel_p25,ret_excel_p50,ret_excel_p75,ret_excel_p90,ret_excel_p95,ret_excel_rolling_4w_mean,ret_excel_rolling_4w_min,ret_excel_rolling_4w_final,ret_excel_risk_conditional,ret_excel_risk_conditional_n,ration_ret_excel,excel_case_pct_fill_rate,excel_case_pct_autotomy,excel_case_pct_recovery,excel_case_pct_risk_no_recovery,excel_case_pct_unfulfilled,fill_rate,fill_rate_on_time,lost_orders,lost_rate,backorder_qty_final,service_loss_auc_ration_hours,service_loss_auc_per_order,rpj_mean,rpj_p95,ttr_mean,ttr_p95,backlog_age_mean,backlog_age_max,apj_p50,apj_p90,apj_p99,apj_positive_p50,apj_positive_p90,apj_positive_p99,ctj_p50,ctj_p90,ctj_p99,rpj_p50,rpj_p90,rpj_p99,dpj_p99,delivered_rations,demanded_rations,flow_fill_rate,backlog_auc_ration_hours,raw_mass_residual,ration_mass_residual,mass_balance_residual,priority_rule_change_count,risk_sha256,demand_sha256
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,spt_contingent,623.0,491.0,72.0,491.0,0.004266505103837877,0.004266505103837877,0.200592156800918,0.0,0.0,0.0,0.0,0.0011013215859030838,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004320064306161376,0.0032271108013113754,0.0038370111098493093,0.0054135085126089414,491,0.004216999682726557,0.0,0.0,78.81219903691814,0.0,21.187800963081862,0.0032102728731941976,0.0,72.0,0.11556982343499198,151297.0,2931294644.0,4705127.839486356,160.37881873727088,454.0,160.37881873727088,454.0,8240.90909090909,17112.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,262.0,1798.0,70.0,262.0,1798.0,1798.0,1219178.0,1559287.0,0.7818817190164479,2056903800.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,fifo_contingent,623.0,487.0,76.0,487.0,0.00046853552684648664,0.00046853552684648664,0.026367751590584913,0.0,0.0,0.0,0.0,0.00022665457842248413,0.00023169601482854495,0.0003937007874015748,0.0009505703422053232,0.0017482517482517483,0.0005859971396653189,-4.907099032669393e-18,-4.907099032669393e-18,0.0005993791236660394,487,0.00046989867926841534,0.0,0.0,78.1701444622793,0.0,21.829855537720707,0.0,0.0,76.0,0.12199036918138041,147141.0,2932671868.0,4707338.471910113,1578.5667351129364,2206.0,1578.5667351129364,2206.0,3181.4117647058824,9744.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,2206.0,2230.0,1942.0,2206.0,2230.0,2230.0,1219426.0,1559287.0,0.7820407660680812,2020844784.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,lpt_contingent,623.0,483.0,80.0,483.0,0.0040226216598978045,0.0040226216598978045,0.19305335056823367,0.0,0.0,0.0,0.0,0.0005966587112171838,0.00423728813559322,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004085975769415746,0.0031103662952617615,0.003574452531057364,0.005188598952621791,483,0.004073945843083791,0.0,0.0,77.52808988764045,0.0,22.471910112359552,0.0032102728731941976,0.0,80.0,0.12841091492776885,144168.0,2932813226.0,4707565.370786517,172.40993788819875,574.0,172.40993788819875,574.0,8248.628571428571,16992.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,310.0,1390.0,94.0,310.0,1390.0,1390.0,1219319.0,1559287.0,0.7819721449611264,1978387488.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,spt_flat,623.0,491.0,72.0,491.0,0.004266505103837877,0.004266505103837877,0.200592156800918,0.0,0.0,0.0,0.0,0.0011013215859030838,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004320064306161376,0.0032271108013113754,0.0038370111098493093,0.0054135085126089414,491,0.004216999682726557,0.0,0.0,78.81219903691814,0.0,21.187800963081862,0.0032102728731941976,0.0,72.0,0.11556982343499198,151297.0,2931294644.0,4705127.839486356,160.37881873727088,454.0,160.37881873727088,454.0,8240.90909090909,17112.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,262.0,1798.0,70.0,262.0,1798.0,1798.0,1219178.0,1559287.0,0.7818817190164479,2056903800.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,fifo_flat,623.0,487.0,76.0,487.0,0.00046853552684648664,0.00046853552684648664,0.026367751590584913,0.0,0.0,0.0,0.0,0.00022665457842248413,0.00023169601482854495,0.0003937007874015748,0.0009505703422053232,0.0017482517482517483,0.0005859971396653189,-4.907099032669393e-18,-4.907099032669393e-18,0.0005993791236660394,487,0.00046989867926841534,0.0,0.0,78.1701444622793,0.0,21.829855537720707,0.0,0.0,76.0,0.12199036918138041,147141.0,2932671868.0,4707338.471910113,1578.5667351129364,2206.0,1578.5667351129364,2206.0,3181.4117647058824,9744.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,2206.0,2230.0,1942.0,2206.0,2230.0,2230.0,1219426.0,1559287.0,0.7820407660680812,2020844784.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810001,312b49d4c654fcf4a55362be1f696a286ac5233cdc5057f341f6f170c7977fa7,810001,R1,current,age_threshold,623.0,490.0,73.0,490.0,0.0010677905507679444,0.0010677905507679444,0.05910375199063928,0.0,0.0,0.0,0.0,0.0006142506142506142,0.0011627906976744186,0.0012315270935960591,0.0012315270935960591,0.0012315270935960591,0.0011870455320322627,0.00024630541871921164,0.00024630541871921164,0.0013576194145478273,490,0.0010592730051121795,0.0,0.0,78.65168539325843,0.0,21.348314606741575,0.0016051364365970988,0.0,73.0,0.11717495987158909,150907.0,2936136000.0,4712898.876404494,579.4367346938775,790.0,579.4367346938775,790.0,6697.804511278196,16032.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,574.0,7942.0,406.0,574.0,7942.0,7942.0,1218168.0,1559287.0,0.7812339870722965,2054301480.0,0.0,0.0,0.0,1,2e5964e1c7551ca23d3c6cac8aae9c9dcb3a35b70deb5fa16354de0f845eca7e,489659692284ac7dcdb64cb975554c28e71d055ba8c4ca27b36dcfbb5ac40010
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,spt_contingent,623.0,492.0,71.0,492.0,0.00415210938998884,0.00415210938998884,0.19556006842634566,0.0,0.0,0.0,0.0,0.00099601593625498,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.00422016769741708,0.0027622220645666185,0.003163366758514896,0.005257650711306993,492,0.004100892369544996,0.0,0.0,78.97271268057784,0.0,21.02728731942215,0.0032102728731941976,0.0,71.0,0.11396468699839486,151423.0,2896254178.0,4648883.110754414,192.4878048780488,502.0,192.4878048780488,502.0,8085.0687022900765,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,310.0,2614.0,94.0,310.0,2614.0,2614.0,1218571.0,1556318.0,0.7829832977579132,2046132984.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,fifo_contingent,623.0,488.0,75.0,488.0,0.0005010245326360039,0.0005010245326360039,0.027735138499693286,0.0,0.0,0.0,0.0,0.00022665457842248413,0.00023169601482854495,0.00041736227045075126,0.0009505703422053232,0.0017482517482517483,0.0006286892860598968,-1.4268100589909239e-18,-1.4268100589909239e-18,0.0006396276308037494,488,0.0005006611643075411,0.0,0.0,78.33065810593901,0.0,21.669341894060995,0.0016051364365970988,0.0,75.0,0.12038523274478331,147686.0,2891300886.0,4640932.401284109,1564.0409836065573,2206.0,1564.0409836065573,2206.0,3134.222222222222,9480.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,2206.0,2230.0,1918.0,2206.0,2230.0,2230.0,1218957.0,1556318.0,0.7832313190491917,2003577072.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,lpt_contingent,623.0,484.0,79.0,484.0,0.0040928435861413105,0.0040928435861413105,0.1955319594517909,0.0,0.0,0.0,0.0,0.0003937007874015748,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.004165337506483307,0.002968412404907882,0.003294082279065068,0.005268267673896756,484,0.004143146375774308,0.0,0.0,77.68860353130016,0.0,22.31139646869984,0.0032102728731941976,0.0,79.0,0.12680577849117175,143534.0,2896913556.0,4649941.5024077045,246.9214876033058,670.0,246.9214876033058,670.0,7959.36690647482,17184.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,286.0,5230.0,94.0,286.0,5230.0,5230.0,1219722.0,1556318.0,0.7837228638363111,1966070736.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
selection,d1v2-selection-R1-current-810002,fc93a6f2690bbda9ad7f6837780032b99f98128f18d0cc85808ec2bce776a4e8,810002,R1,current,spt_flat,623.0,492.0,71.0,492.0,0.00415210938998884,0.00415210938998884,0.19556006842634566,0.0,0.0,0.0,0.0,0.00099601593625498,0.005319148936170213,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.00422016769741708,0.0027622220645666185,0.003163366758514896,0.005257650711306993,492,0.004100892369544996,0.0,0.0,78.97271268057784,0.0,21.02728731942215,0.0032102728731941976,0.0,71.0,0.11396468699839486,151423.0,2896254178.0,4648883.110754414,192.4878048780488,502.0,192.4878048780488,502.0,8085.0687022900765,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,310.0,2614.0,94.0,310.0,2614.0,2614.0,1218571.0,1556318.0,0.7829832977579132,2046132984.0,0.0,0.0,0.0,1,527abf2e44ec62487a4ce9fd20d3cd98351425257a603f35c9d6e9aa77496026,cd6fe333d815b158e502c7cbaeec9786493d0f03a25f51bcda5631b7a92fa0eb
