state_id,family,category,allocation_a,service_rule,delta_ret,delta_clipped,short_delta_ret,lost_degradation,service_degradation,backlog_degradation
dra1-cal-nominal-830001,nominal,joint_scarcity,0.25,FIFO_PARTIAL,0.0004472765156717795,0.00044727651567189053,0.0,0.0,-0.055368806648325684,-0.00014648892676885378
dra1-cal-nominal-830002,nominal,joint_scarcity,0.25,FIFO_PARTIAL,0.0008931357178424415,0.0008931357178422195,0.0,-0.2,-0.04106479981611426,0.000285516984940639
dra1-cal-nominal-830003,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830004,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830005,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830006,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830007,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830008,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830009,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830010,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830011,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830012,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830013,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830014,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830015,nominal,joint_scarcity,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830016,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830017,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830018,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830019,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830020,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830021,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830022,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830023,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830024,r22_localized,post_hit_recovery,0.5,SPT_FULL,0.001857459681822049,0.001857459681822049,0.0,0.0,-0.19947784677099722,0.00020857776039629773
dra1-cal-r22_localized-830025,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830026,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830027,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830028,r22_localized,post_hit_recovery,0.25,FIFO_PARTIAL,0.00022166943062473798,0.00022166943062473798,0.0,-0.3333333333333333,-0.007100211206947411,0.00029948289287164164
dra1-cal-r22_localized-830029,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r22_localized-830030,r22_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830031,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830032,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830033,r23_localized,post_hit_recovery,0.75,SPT_FULL,0.0016925738651771827,0.0016925738651772937,0.0,0.0,-0.17940902700944436,0.00030639907813842575
dra1-cal-r23_localized-830034,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830035,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830036,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830037,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830038,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-r23_localized-830039,r23_localized,post_hit_recovery,0.25,SPT_FULL,0.0,0.0,0.0,0.0,0.0,0.0
