tape_id,family,relative_time,category,imbalance,prefix_hash,sb_inventory,allocation_a,service_rule_spt_full,service_rule_fifo_partial,service_rule_r24_age_partial,day_phase,cssu_A_inventory,cssu_A_inbound,cssu_A_outbound,cssu_A_backlog_qty,cssu_A_backlog_count,cssu_A_max_age,cssu_A_r24_share,cssu_A_demand_1d,cssu_A_demand_7d,cssu_A_delivered_7d,cssu_A_op10_up,cssu_A_op11_up,cssu_A_op12_up,cssu_B_inventory,cssu_B_inbound,cssu_B_outbound,cssu_B_backlog_qty,cssu_B_backlog_count,cssu_B_max_age,cssu_B_r24_share,cssu_B_demand_1d,cssu_B_demand_7d,cssu_B_delivered_7d,cssu_B_op10_up,cssu_B_op11_up,cssu_B_op12_up
dra1-cal-nominal-830001,nominal,14280.0,joint_scarcity,145093.0,1f3f17a5400d988c6c839b04bb490e79477705d62b5de2d44b74dff3a5bc85ae,88377.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,2516.0,147658.0,58.0,13920.0,0.0,2551.0,15110.0,4899.0,1.0,1.0,1.0,0.0,2559.0,0.0,2565.0,1.0,264.0,0.0,0.0,0.0,7544.0,1.0,1.0,1.0
dra1-cal-nominal-830002,nominal,15432.0,joint_scarcity,145508.0,e10a33a6367be458218c26ee773298925d95e9ced5900c65a9310109979f13e6,99531.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,147969.0,58.0,14640.0,0.0,0.0,7548.0,7538.0,1.0,1.0,1.0,0.0,2426.0,0.0,2461.0,1.0,48.0,0.0,2426.0,7446.0,2559.0,1.0,1.0,1.0
dra1-cal-nominal-830003,nominal,11232.0,joint_scarcity,109829.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,56527.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,130433.0,51.0,10872.0,0.0,2420.0,7489.0,4976.0,1.0,1.0,1.0,0.0,2530.0,0.0,20604.0,8.0,7968.0,0.0,0.0,7628.0,2530.0,1.0,1.0,1.0
dra1-cal-nominal-830004,nominal,16272.0,joint_scarcity,140102.0,4ae1963ada678c27fc4378c9d2f215e1ce19e9f3c5a660e6ebe1ec9344683077,67717.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,145237.0,57.0,15960.0,0.0,2516.0,10070.0,5019.0,1.0,1.0,1.0,0.0,2522.0,2496.0,5135.0,2.0,10152.0,0.0,0.0,5018.0,2400.0,1.0,1.0,1.0
dra1-cal-nominal-830005,nominal,9240.0,joint_scarcity,132662.0,756a09c134e63d9a428c46ba8871a300db2dab3586006bfa3f1f8ae7792497c2,70581.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,140364.0,55.0,8976.0,0.0,0.0,12492.0,9822.0,1.0,1.0,1.0,0.0,2556.0,2555.0,7702.0,3.0,2760.0,0.0,2558.0,2558.0,5020.0,1.0,1.0,1.0
dra1-cal-nominal-830006,nominal,16752.0,joint_scarcity,145164.0,d966952fa231bd0f6265a525411be2184dc4c44cd6a14e050369f2fa681abe78,87056.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,147698.0,58.0,15384.0,0.0,2417.0,7437.0,2450.0,1.0,1.0,1.0,0.0,2506.0,0.0,2534.0,1.0,144.0,0.0,0.0,7634.0,5084.0,1.0,1.0,1.0
dra1-cal-nominal-830007,nominal,16176.0,joint_scarcity,124827.0,f0981ca10cfe2bab753e45413a10f191a53813f77cd12c4620b87ea7ad155b38,97573.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,137704.0,54.0,14184.0,0.0,2471.0,15245.0,4986.0,1.0,1.0,1.0,0.0,2565.0,0.0,12877.0,5.0,8976.0,0.0,0.0,0.0,7679.0,1.0,1.0,1.0
dra1-cal-nominal-830008,nominal,15096.0,joint_scarcity,109419.0,65b544ec89d93fab60281707a92192182a769d31ba9cb39a41f1d219c64e5e6b,106660.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,129913.0,51.0,13944.0,0.0,2538.0,7473.0,4954.0,1.0,1.0,1.0,0.0,2555.0,2553.0,20494.0,8.0,7944.0,0.0,0.0,7398.0,7398.0,1.0,1.0,1.0
dra1-cal-nominal-830009,nominal,16608.0,joint_scarcity,78996.0,966ca4cd0c47b7189db1e40a537d4fae88f172e4120760ca1e23842bc808327e,141011.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,114922.0,45.0,14784.0,0.0,2565.0,5000.0,4923.0,1.0,1.0,1.0,0.0,2557.0,2402.0,35926.0,14.0,14568.0,0.0,0.0,9886.0,9990.0,1.0,1.0,1.0
dra1-cal-nominal-830010,nominal,10728.0,joint_scarcity,145189.0,8996593d7063710af099009d8cfe45f5a16d8624a6e9e7d02803e5ca0155859b,121069.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,147760.0,58.0,10080.0,0.0,2586.0,10273.0,4971.0,1.0,1.0,1.0,0.0,2570.0,2508.0,2571.0,1.0,9624.0,0.0,0.0,4950.0,7383.0,1.0,1.0,1.0
