state_id,tape_id,family,category,prefix_allocation_a,stressed_node,allocation_a,share_to_stressed,service_rule,n_tied_optimal_actions,informative_headroom,optimal_normalized_shares,delta_ret,delta_clipped,short_delta_ret,lost_degradation,service_degradation,backlog_degradation
dra1-cal-nominal-830001|prefix=0.25,dra1-cal-nominal-830001,nominal,joint_scarcity,0.25,A,0.25,0.25,FIFO_PARTIAL,6,True,"[0.25, 0.5, 0.75]",0.0004472765156717795,0.00044727651567189053,0.0,0.0,-0.055368806648325684,-0.00014648892676885378
dra1-cal-nominal-830001|prefix=0.50,dra1-cal-nominal-830001,nominal,joint_scarcity,0.5,balanced,0.25,,SPT_FULL,1,False,[],0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830001|prefix=0.75,dra1-cal-nominal-830001,nominal,joint_scarcity,0.75,B,0.25,0.75,SPT_FULL,3,False,"[0.25, 0.5, 0.75]",0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830002|prefix=0.25,dra1-cal-nominal-830002,nominal,joint_scarcity,0.25,A,0.25,0.25,FIFO_PARTIAL,6,True,"[0.25, 0.5, 0.75]",0.0008931357178424415,0.0008931357178422195,0.0,-0.2,-0.04106479981611426,0.000285516984940639
dra1-cal-nominal-830002|prefix=0.50,dra1-cal-nominal-830002,nominal,joint_scarcity,0.5,balanced,0.25,,FIFO_PARTIAL,9,False,[],0.0,0.0,0.0,0.0,0.012521582444673544,-0.038010879153190236
dra1-cal-nominal-830002|prefix=0.75,dra1-cal-nominal-830002,nominal,joint_scarcity,0.75,B,0.25,0.75,SPT_FULL,3,False,"[0.25, 0.5, 0.75]",0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830003|prefix=0.25,dra1-cal-nominal-830003,nominal,joint_scarcity,0.25,A,0.25,0.25,SPT_FULL,3,False,"[0.25, 0.5, 0.75]",0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830003|prefix=0.50,dra1-cal-nominal-830003,nominal,joint_scarcity,0.5,balanced,0.25,,SPT_FULL,3,False,[],0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830003|prefix=0.75,dra1-cal-nominal-830003,nominal,joint_scarcity,0.75,B,0.25,0.75,SPT_FULL,3,False,"[0.25, 0.5, 0.75]",0.0,0.0,0.0,0.0,0.0,0.0
dra1-cal-nominal-830004|prefix=0.25,dra1-cal-nominal-830004,nominal,joint_scarcity,0.25,A,0.25,0.25,SPT_FULL,3,False,"[0.25, 0.5, 0.75]",0.0,0.0,0.0,0.0,0.0,0.0
