tape_id,family,relative_time,category,imbalance,prefix_hash,sb_inventory,allocation_a,service_rule_spt_full,service_rule_fifo_partial,service_rule_r24_age_partial,day_phase,cssu_A_inventory,cssu_A_inbound,cssu_A_outbound,cssu_A_backlog_qty,cssu_A_backlog_count,cssu_A_max_age,cssu_A_r24_share,cssu_A_demand_1d,cssu_A_demand_7d,cssu_A_delivered_7d,cssu_A_op10_up,cssu_A_op11_up,cssu_A_op12_up,cssu_B_inventory,cssu_B_inbound,cssu_B_outbound,cssu_B_backlog_qty,cssu_B_backlog_count,cssu_B_max_age,cssu_B_r24_share,cssu_B_demand_1d,cssu_B_demand_7d,cssu_B_delivered_7d,cssu_B_op10_up,cssu_B_op11_up,cssu_B_op12_up,state_id,prefix_allocation_a,prefix_service_rule,stressed_node
dra1-cal-nominal-830001,nominal,14280.0,joint_scarcity,145093.0,1f3f17a5400d988c6c839b04bb490e79477705d62b5de2d44b74dff3a5bc85ae,88377.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,2516.0,147658.0,58.0,13920.0,0.0,2551.0,15110.0,4899.0,1.0,1.0,1.0,0.0,2559.0,0.0,2565.0,1.0,264.0,0.0,0.0,0.0,7544.0,1.0,1.0,1.0,dra1-cal-nominal-830001|prefix=0.25,0.25,SPT_FULL,A
dra1-cal-nominal-830001,nominal,1992.0,joint_scarcity,14.0,d0643908b4c5febfdca5348b5fa05fde47369a62a7b0bc389794d695657584ee,25940.0,0.5,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,28186.0,11.0,1488.0,0.0,2541.0,7599.0,7512.0,1.0,1.0,1.0,0.0,2530.0,2484.0,28200.0,11.0,1584.0,0.0,0.0,7543.0,2499.0,1.0,1.0,1.0,dra1-cal-nominal-830001|prefix=0.50,0.5,SPT_FULL,balanced
dra1-cal-nominal-830001,nominal,16152.0,joint_scarcity,119499.0,22b997c4f435015e042a46e4e8de57904432ab356d372a2671009a43433a4e51,77354.0,0.75,1.0,0.0,0.0,0.7619047619047619,0.0,2447.0,2551.0,15390.0,6.0,13608.0,0.0,2447.0,7466.0,4854.0,1.0,1.0,1.0,0.0,0.0,0.0,134889.0,53.0,15744.0,0.0,0.0,7373.0,2411.0,1.0,1.0,1.0,dra1-cal-nominal-830001|prefix=0.75,0.75,SPT_FULL,B
dra1-cal-nominal-830002,nominal,15432.0,joint_scarcity,145508.0,e10a33a6367be458218c26ee773298925d95e9ced5900c65a9310109979f13e6,99531.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,147969.0,58.0,14640.0,0.0,0.0,7548.0,7538.0,1.0,1.0,1.0,0.0,2426.0,0.0,2461.0,1.0,48.0,0.0,2426.0,7446.0,2559.0,1.0,1.0,1.0,dra1-cal-nominal-830002|prefix=0.25,0.25,SPT_FULL,A
dra1-cal-nominal-830002,nominal,4848.0,joint_scarcity,93.0,4a9677e188972ccced035c4ff7e1d47f595ed9f83bf7b60299059876ebdb97fe,38378.0,0.5,1.0,0.0,0.0,0.47619047619047616,0.0,2511.0,2440.0,59006.0,23.0,4512.0,0.0,0.0,4955.0,4973.0,1.0,1.0,1.0,0.0,0.0,0.0,59099.0,23.0,4536.0,0.0,2540.0,10115.0,4937.0,1.0,1.0,1.0,dra1-cal-nominal-830002|prefix=0.50,0.5,SPT_FULL,balanced
dra1-cal-nominal-830002,nominal,14712.0,joint_scarcity,86790.0,02ec634e04e8bd59ad30d8b4fddb38acaad1e494b77382bdfbbae93707c92ed1,79064.0,0.75,1.0,0.0,0.0,0.19047619047619047,0.0,2509.0,0.0,30795.0,12.0,13464.0,0.0,0.0,5066.0,5081.0,1.0,1.0,1.0,0.0,0.0,2523.0,117585.0,46.0,14544.0,0.0,2580.0,10112.0,9856.0,1.0,1.0,1.0,dra1-cal-nominal-830002|prefix=0.75,0.75,SPT_FULL,B
dra1-cal-nominal-830003,nominal,11232.0,joint_scarcity,109829.0,9c26cdd39846b60e690bb42c8fc75d929ef11efc8ebae76d827313213e44d7b3,56527.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,130433.0,51.0,10872.0,0.0,2420.0,7489.0,4976.0,1.0,1.0,1.0,0.0,2530.0,0.0,20604.0,8.0,7968.0,0.0,0.0,7628.0,2530.0,1.0,1.0,1.0,dra1-cal-nominal-830003|prefix=0.25,0.25,SPT_FULL,A
dra1-cal-nominal-830003,nominal,16344.0,joint_scarcity,2143.0,5de04ec409df96b966d4b85dd976feaf20367873aa4a07b4cec26a8399bd8ea7,65907.0,0.5,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,2425.0,74240.0,29.0,15600.0,0.0,0.0,4924.0,0.0,1.0,1.0,1.0,0.0,2419.0,0.0,76383.0,30.0,11808.0,0.0,2419.0,9799.0,7301.0,1.0,1.0,1.0,dra1-cal-nominal-830003|prefix=0.50,0.5,SPT_FULL,balanced
dra1-cal-nominal-830003,nominal,16776.0,joint_scarcity,114800.0,26e73a345baa2464263ab789a04ce0e270e3acf622748289feeec37124678fef,58290.0,0.75,1.0,0.0,0.0,0.47619047619047616,0.0,2423.0,2413.0,17921.0,7.0,14856.0,0.0,2504.0,7340.0,2514.0,1.0,1.0,1.0,0.0,0.0,0.0,132721.0,52.0,16608.0,0.0,0.0,7704.0,4991.0,1.0,1.0,1.0,dra1-cal-nominal-830003|prefix=0.75,0.75,SPT_FULL,B
dra1-cal-nominal-830004,nominal,16272.0,joint_scarcity,140102.0,4ae1963ada678c27fc4378c9d2f215e1ce19e9f3c5a660e6ebe1ec9344683077,67717.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,145237.0,57.0,15960.0,0.0,2516.0,10070.0,5019.0,1.0,1.0,1.0,0.0,2522.0,2496.0,5135.0,2.0,10152.0,0.0,0.0,5018.0,2400.0,1.0,1.0,1.0,dra1-cal-nominal-830004|prefix=0.25,0.25,SPT_FULL,A
