state_id,tape_id,family,policy_id,short_ret,short_service,long_ret,long_clipped,long_service,long_lost,long_backlog,mass_residual,risk_sha256,demand_sha256,realized_departure_pattern,t1_physical_signature,op8_convoy_departures,op8_convoy_dispatched_rations,op8_convoy_capacity_committed,op8_convoy_vehicle_hours,op8_convoy_unavailable_hours,op8_convoy_idle_hours,op8_convoy_route_wait_hours,op8_convoy_ration_hours_in_transit,op8_convoy_masked_dispatch_attempts,op8_convoy_load_factor,op8_convoy_resource_residual
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_1000__wait_24h,1.0,59731.0,0.37408490841839775,0.37408490841839775,10591257.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 0.0, ""departures"": 20.0, ""dispatch_feasible"": false, ""in_transit"": 2527.0, ""staged"": 0.0, ""unavailable_hours"": 937.0}",14.0,45218.0,70000.0,648.0,648.0,24.0,0.0,1085232.0,0.0,0.6459714285714285,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_1000__wait_48h,1.0,59731.0,0.37408490841839775,0.37408490841839775,10591257.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",14.0,45218.0,70000.0,648.0,648.0,24.0,0.0,1085232.0,0.0,0.6459714285714285,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_1000__wait_72h,1.0,59731.0,0.3741389957685028,0.37413899576850285,10590489.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",13.0,45218.0,65000.0,600.0,600.0,72.0,0.0,1085232.0,0.0,0.6956615384615384,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_2500__wait_24h,1.0,59731.0,0.37408490841839775,0.37408490841839775,10591257.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 0.0, ""departures"": 20.0, ""dispatch_feasible"": false, ""in_transit"": 2527.0, ""staged"": 0.0, ""unavailable_hours"": 937.0}",14.0,45218.0,70000.0,648.0,648.0,24.0,0.0,1085232.0,0.0,0.6459714285714285,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_2500__wait_48h,1.0,59731.0,0.37408490841839775,0.37408490841839775,10591257.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",14.0,45218.0,70000.0,648.0,648.0,24.0,0.0,1085232.0,0.0,0.6459714285714285,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_2500__wait_72h,1.0,59731.0,0.3741389957685028,0.37413899576850285,10590489.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",13.0,45218.0,65000.0,600.0,600.0,72.0,0.0,1085232.0,0.0,0.6956615384615384,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_5000__wait_24h,1.0,59731.0,0.35490822653773363,0.35490822653773363,10649001.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 0.0, ""departures"": 20.0, ""dispatch_feasible"": false, ""in_transit"": 2527.0, ""staged"": 0.0, ""unavailable_hours"": 937.0}",12.0,45218.0,60000.0,552.0,552.0,120.0,0.0,1085232.0,0.0,0.7536333333333334,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_5000__wait_48h,1.0,59731.0,0.35347144492853816,0.35347144492853816,10707729.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",11.0,43499.5,55000.0,528.0,528.0,144.0,0.0,1043988.0,0.0,0.7909,0.0
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,dra2-calibration-assembly_scarcity-850016,assembly_scarcity,threshold_5000__wait_72h,1.0,59731.0,0.35347144492853816,0.35347144492853816,10707729.0,0.0,46039.0,0.0,bff75033df8c3e92e194a6790a598af62a92569da5fb0843a731a865b41a7491,3852244fd6116bf4040e1bda057ab0c33fa8ed232e4b1c6e4090b2baff7271e2,[],"{""convoy_available"": 1.0, ""departures"": 19.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 116.0, ""unavailable_hours"": 913.0}",11.0,43499.5,55000.0,528.0,528.0,144.0,0.0,1043988.0,0.0,0.7909,0.0
dra2-calibration-assembly_scarcity-850017|prefix=threshold_2500__wait_48h,dra2-calibration-assembly_scarcity-850017,assembly_scarcity,threshold_1000__wait_24h,1.0,58420.0,0.64327601296677,0.64327601296677,9997492.0,0.0,64130.0,0.0,64439bff722475975e87b4bf250c8591764e197db30d1ec24d07849b58388995,54490b5ab01a08bb418a64d2328436dab02b4ffe411b045371cba7f12de27b49,[],"{""convoy_available"": 0.0, ""departures"": 34.0, ""dispatch_feasible"": false, ""in_transit"": 4966.0, ""staged"": 128.0, ""unavailable_hours"": 1609.0}",12.0,43820.0,60000.0,576.0,576.0,96.0,0.0,1051680.0,0.0,0.7303333333333333,0.0
