state_id,sequence_days,family,best_sequence,optimal_first_action,long_ret,long_service,delta_ret_vs_all_hold,realized_departure_pattern
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,7,assembly_scarcity,HOLD|HOLD|HOLD|HOLD|HOLD|HOLD|HOLD,HOLD,0.44219986346132806,11472849.0,0.0,"[false, false, false, false, false, false, false]"
dra2-calibration-assembly_scarcity-850016|prefix=threshold_1000__wait_24h,10,assembly_scarcity,HOLD|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD|DISPATCH_NOW,HOLD,0.44272904989628975,11065977.0,0.03517991454482183,"[false, false, false, true, false, true, false, false, false, true]"
dra2-calibration-op8_interruption-850031|prefix=threshold_1000__wait_24h,7,op8_interruption,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.9117936823144169,9368028.0,0.02635695766802315,"[false, false, true, false, true, false, true]"
dra2-calibration-op8_interruption-850031|prefix=threshold_1000__wait_24h,10,op8_interruption,HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9129841585048931,9307596.0,0.05080136240277422,"[false, false, true, false, false, true, false, false, true, false]"
dra2-calibration-r24_mixed-850046|prefix=threshold_1000__wait_24h,7,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.7657342913303016,7329134.0,0.03655500507758902,"[false, true, false, true, false, true, false]"
dra2-calibration-r24_mixed-850046|prefix=threshold_1000__wait_24h,10,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.7657342913303016,7329134.0,0.1568133866046264,"[false, true, false, true, false, true, false, true, false, true]"
dra2-calibration-routine-850001|prefix=threshold_1000__wait_24h,7,routine,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.9248548389399348,8156659.0,0.03728987751206281,"[false, false, true, false, true, false, true]"
dra2-calibration-routine-850001|prefix=threshold_1000__wait_24h,10,routine,HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.9248548389399348,8156659.0,0.06949155904268944,"[false, false, true, false, true, false, true, false, true, false]"
dra2-calibration-assembly_scarcity-850017|prefix=threshold_2500__wait_48h,7,assembly_scarcity,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.6436843428973539,9756916.0,0.16514812784664995,"[true, false, true, false, false, true, false]"
dra2-calibration-assembly_scarcity-850017|prefix=threshold_2500__wait_48h,10,assembly_scarcity,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|HOLD|HOLD|HOLD|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.6464957325838913,9760852.0,0.1777868786637618,"[true, false, true, false, false, false, false, false, false, true]"
dra2-calibration-op8_interruption-850032|prefix=threshold_2500__wait_48h,7,op8_interruption,HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|HOLD,HOLD,0.9728849214531079,4792297.0,0.033991754867171986,"[false, true, false, false, true, false, false]"
dra2-calibration-op8_interruption-850032|prefix=threshold_2500__wait_48h,10,op8_interruption,HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|HOLD|DISPATCH_NOW,HOLD,0.973690723225872,4670761.0,0.06229081984762619,"[false, true, false, false, true, false, true, false, false, true]"
dra2-calibration-r24_mixed-850047|prefix=threshold_2500__wait_48h,7,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,HOLD,0.4522456909662606,6933597.0,0.1452867066622341,"[false, true, false, true, false, true, false]"
dra2-calibration-r24_mixed-850047|prefix=threshold_2500__wait_48h,10,r24_mixed,HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,HOLD,0.4522456909662606,6933597.0,0.2438971161184641,"[false, true, false, true, false, true, false, true, false, true]"
dra2-calibration-routine-850002|prefix=threshold_2500__wait_48h,7,routine,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW,DISPATCH_NOW,0.9603261849487702,6579220.0,0.041727980687429445,"[true, false, true, false, true, false, true]"
dra2-calibration-routine-850002|prefix=threshold_2500__wait_48h,10,routine,DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD|DISPATCH_NOW|HOLD,DISPATCH_NOW,0.9603261849487702,6579220.0,0.07365880521660195,"[true, false, true, false, true, false, true, false, true, false]"
dra2-calibration-assembly_scarcity-850018|prefix=threshold_5000__wait_48h,7,assembly_scarcity,HOLD|HOLD|HOLD|HOLD|HOLD|HOLD|HOLD,HOLD,0.24999345054692673,8974961.0,0.0,"[false, false, false, false, false, false, false]"
