state_id,tape_id,family,prefix_policy_id,prefix_inventory_threshold,prefix_maximum_wait_hours,relative_time,prefix_hash,recent_route_recovery,op7_staged_inventory,pending_assembly_quantity,sb_inventory,downstream_backlog_qty,downstream_backlog_count,oldest_backlog_age,recent_7d_demand,recent_7d_production,recent_7d_delivery,convoy_available,convoy_return_eta,time_since_departure,staging_age,op8_route_up,previous_action_dispatch,day_phase
dra2-calibration-routine-850001|prefix=threshold_1000__wait_24h,dra2-calibration-routine-850001,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,d585133ad26d26285f0db6f53fef1bfbe110cccfc44be0b81fbba08167c1dc9d,False,116.0,0.0,814.0,18050.0,7.0,935.0,15064.0,12936.0,12531.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-calibration-routine-850001|prefix=threshold_2500__wait_48h,dra2-calibration-routine-850001,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,ccb4a4d1a6a65d33ee04a456d1a6e7cb1ec3049590cb57c2e548d20d09c34a10,False,5128.0,0.0,2242.0,33379.0,13.0,1463.0,15086.0,10372.0,12416.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-calibration-routine-850001|prefix=threshold_5000__wait_48h,dra2-calibration-routine-850001,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,907f8a94f879302deee9a6b86c3d50ed432b5b5757de93ef10a44df1b585564b,False,384.0,0.0,2634.0,18058.0,7.0,719.0,14976.0,12820.0,12367.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-calibration-routine-850001|prefix=threshold_5000__wait_72h,dra2-calibration-routine-850001,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,ca3927915c0ea6b2075f45fb56f60d56906714467af7ccb13c699895d64260e8,False,5384.0,0.0,3206.0,7694.0,3.0,191.0,15182.0,12820.0,9949.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-calibration-routine-850002|prefix=threshold_1000__wait_24h,dra2-calibration-routine-850002,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,f63b94ae18e6e1caffe2dae98478087aae800cf3fabc8cc8d6f29cf50ed61c24,False,116.0,0.0,1531.0,18140.0,7.0,1079.0,14997.0,12936.0,12367.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-calibration-routine-850002|prefix=threshold_2500__wait_48h,dra2-calibration-routine-850002,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,2da5f83015f8f441c97c3de7099c08ad5e6e9bb86223f57bd06ab2c17da4d847,False,5128.0,0.0,593.0,30848.0,12.0,1607.0,14870.0,10372.0,14806.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-calibration-routine-850002|prefix=threshold_5000__wait_48h,dra2-calibration-routine-850002,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,91a86181bec902ffa5fab86db971bc3a4a97b23d95ecb91b8f00269354296237,False,384.0,0.0,3172.0,18058.0,7.0,863.0,14836.0,12820.0,9928.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-calibration-routine-850002|prefix=threshold_5000__wait_72h,dra2-calibration-routine-850002,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,82556bc9778648ab35a7b63327a18ff3e042b37d78f646210d06f3ff5e795242,False,5384.0,0.0,3786.0,7672.0,3.0,167.0,15065.0,12820.0,9824.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-calibration-routine-850003|prefix=threshold_1000__wait_24h,dra2-calibration-routine-850003,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,2ea2f43c76531127f5ff14ae71364b4391a9103ba34cb8373e92e1c5faadc8ad,False,116.0,0.0,874.0,18056.0,7.0,1151.0,15030.0,12936.0,12451.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-calibration-routine-850003|prefix=threshold_2500__wait_48h,dra2-calibration-routine-850003,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,c7207bbce808b142e700bd2d1cc0b860729ddfb2486bb508682996dc7109ccff,False,5128.0,0.0,2434.0,33407.0,13.0,1679.0,14907.0,10372.0,12351.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-calibration-routine-850003|prefix=threshold_5000__wait_48h,dra2-calibration-routine-850003,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,b0198ac48fea809fd7eb248a7cf2456b5fea6f4ffc6809f8f4e2410b97e58578,False,384.0,0.0,2635.0,18040.0,7.0,935.0,14935.0,12820.0,12355.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-calibration-routine-850003|prefix=threshold_5000__wait_72h,dra2-calibration-routine-850003,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,5d506cca657c7a33b0cf022fcc4cc24381538859ea3a8c0c1579daeb5787be42,False,5384.0,0.0,3547.0,7598.0,3.0,239.0,14740.0,12820.0,10013.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-calibration-routine-850004|prefix=threshold_1000__wait_24h,dra2-calibration-routine-850004,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,48799e3a8df4814fc6f3e065040f450553336214a6f47ee8ee8278f2e0017b26,False,116.0,0.0,1389.0,18078.0,7.0,695.0,15228.0,12936.0,12551.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-calibration-routine-850004|prefix=threshold_2500__wait_48h,dra2-calibration-routine-850004,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,764c0817bd5c744ad1e0006d199cd0b41e8ccab1b0eaa388361cbd4edfe1f830,False,5128.0,0.0,2439.0,33424.0,13.0,1223.0,15007.0,10372.0,12572.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-calibration-routine-850004|prefix=threshold_5000__wait_48h,dra2-calibration-routine-850004,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,60927ea1fb0f7be23c8bd6c1559d962720a537c8e4a13ae679f2417386d96747,False,384.0,0.0,3281.0,17910.0,7.0,479.0,14857.0,12820.0,9879.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-calibration-routine-850004|prefix=threshold_5000__wait_72h,dra2-calibration-routine-850004,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,679ef9980d1723e1518bbb13ed4b1bc552967e62d660edcf737135eb967281ea,False,5384.0,0.0,3855.0,7667.0,3.0,239.0,14786.0,12820.0,9767.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-calibration-routine-850005|prefix=threshold_1000__wait_24h,dra2-calibration-routine-850005,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,2a000e49d1f16c9cdcb68fce54869e5e93cd6577362ca2c6b60d88f07a0d0b05,False,116.0,0.0,892.0,18103.0,7.0,983.0,15000.0,12936.0,14846.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-calibration-routine-850005|prefix=threshold_2500__wait_48h,dra2-calibration-routine-850005,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,db804cf130a0b441060b7b14a4c9087945e122e3cf0fd99b73c8ac760cec36f7,False,5128.0,0.0,2196.0,33477.0,13.0,1511.0,15002.0,10372.0,12518.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
