state_id,optimal_action,delta_ret_vs_hold,service_improvement_vs_hold
dra2-smoke-routine-840001|state=0,HOLD,0.0,0.0
dra2-smoke-routine-840001|state=1,HOLD,0.0,0.0
dra2-smoke-routine-840001|state=2,DISPATCH_NOW,0.004699928368228301,0.051687187814466184
dra2-smoke-routine-840001|state=3,HOLD,0.0,0.0
dra2-smoke-assembly_scarcity-840002|state=0,HOLD,0.0,0.0
dra2-smoke-assembly_scarcity-840002|state=1,HOLD,0.0,0.0
dra2-smoke-assembly_scarcity-840002|state=2,DISPATCH_NOW,0.0019866109424933054,0.027837563340104277
dra2-smoke-assembly_scarcity-840002|state=3,HOLD,0.0,0.0
dra2-smoke-op8_interruption-840003|state=0,HOLD,0.0,0.0
dra2-smoke-op8_interruption-840003|state=1,HOLD,0.0,0.0
dra2-smoke-op8_interruption-840003|state=2,HOLD,0.0,0.0
dra2-smoke-op8_interruption-840003|state=3,HOLD,0.0,0.0
dra2-smoke-r24_mixed-840004|state=0,DISPATCH_NOW,0.001226434102101548,-0.006958286070824523
dra2-smoke-r24_mixed-840004|state=1,DISPATCH_NOW,6.12688784731863e-05,0.028388895298851045
dra2-smoke-r24_mixed-840004|state=2,DISPATCH_NOW,0.028175350073221528,-0.007691592802413091
dra2-smoke-r24_mixed-840004|state=3,DISPATCH_NOW,6.12688784731863e-05,0.024850998876166316
