state_id,optimal_action,diversity_supported_action,ret_gap_vs_other,service_improvement_vs_other,strong_live,delta_ret_vs_hold,service_improvement_vs_hold
dra2-smoke-routine-840001|prefix=threshold_1000__wait_24h,HOLD,HOLD,0.00109749534091641,7.019346275518913e-05,True,0.0,0.0
dra2-smoke-routine-840001|prefix=threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.004699928368228301,0.051687187814466184,True,0.004699928368228301,0.051687187814466184
dra2-smoke-routine-840001|prefix=threshold_5000__wait_48h,HOLD,HOLD,0.0028518037554779996,0.017931072446114003,True,0.0,0.0
dra2-smoke-routine-840001|prefix=threshold_5000__wait_72h,HOLD,HOLD,0.045003676953991434,0.2173407983180118,True,0.0,0.0
dra2-smoke-assembly_scarcity-840002|prefix=threshold_1000__wait_24h,HOLD,HOLD,0.0019994218415179676,-0.015899845851257064,True,0.0,0.0
dra2-smoke-assembly_scarcity-840002|prefix=threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.0019866109424933054,0.027837563340104277,True,0.0019866109424933054,0.027837563340104277
dra2-smoke-assembly_scarcity-840002|prefix=threshold_5000__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.04886912840877039,-0.03124281447279538,True,0.04886912840877039,-0.03124281447279538
dra2-smoke-assembly_scarcity-840002|prefix=threshold_5000__wait_72h,DISPATCH_NOW,DISPATCH_NOW,0.03399481015072303,-0.0005180674166590408,True,0.03399481015072303,-0.0005180674166590408
dra2-smoke-op8_interruption-840003|prefix=threshold_1000__wait_24h,HOLD,HOLD,0.001036689185478168,-0.0007192968033447302,True,0.0,0.0
dra2-smoke-op8_interruption-840003|prefix=threshold_2500__wait_48h,HOLD,HOLD,0.003422954859693239,0.03260589529025957,True,0.0,0.0
dra2-smoke-op8_interruption-840003|prefix=threshold_5000__wait_48h,HOLD,HOLD,0.0026074595198581907,0.018824185176153245,True,0.0,0.0
dra2-smoke-op8_interruption-840003|prefix=threshold_5000__wait_72h,HOLD,HOLD,0.006571598336304274,0.017893132978761873,True,0.0,0.0
dra2-smoke-r24_mixed-840004|prefix=threshold_1000__wait_24h,DISPATCH_NOW,DISPATCH_NOW,0.001226434102101548,-0.006958286070824523,True,0.001226434102101548,-0.006958286070824523
dra2-smoke-r24_mixed-840004|prefix=threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.028175350073221528,-0.007691592802413091,True,0.028175350073221528,-0.007691592802413091
dra2-smoke-r24_mixed-840004|prefix=threshold_5000__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.06673797821678887,0.01947682654639163,True,0.06673797821678887,0.01947682654639163
dra2-smoke-r24_mixed-840004|prefix=threshold_5000__wait_72h,HOLD,HOLD,0.0117364117364116,0.033280089395745144,True,0.0,0.0
