state_id,tape_id,family,action,short_ret,short_service,long_ret,long_clipped,long_service,long_lost,long_backlog,mass_residual,risk_sha256,demand_sha256,realized_departure_pattern,t1_physical_signature,op8_convoy_departures,op8_convoy_dispatched_rations,op8_convoy_capacity_committed,op8_convoy_vehicle_hours,op8_convoy_unavailable_hours,op8_convoy_idle_hours,op8_convoy_route_wait_hours,op8_convoy_ration_hours_in_transit,op8_convoy_masked_dispatch_attempts,op8_convoy_load_factor,op8_convoy_resource_residual
dra2-smoke-routine-840001|prefix=threshold_1000__wait_24h,dra2-smoke-routine-840001,routine,HOLD,1.0,57431.0,0.9319957265479435,0.9319957265479436,7521540.0,0.0,33387.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b7a4da436b0f8596b184d465a388366321552318c2a8c30b1d653d2fbd22a45d,[false],"{""convoy_available"": 1.0, ""departures"": 30.0, ""dispatch_feasible"": true, ""in_transit"": 2527.0, ""staged"": 2680.0, ""unavailable_hours"": 1441.0}",13.0,46384.0,65000.0,624.0,624.0,48.0,0.0,1113216.0,0.0,0.7136,0.0
dra2-smoke-routine-840001|prefix=threshold_1000__wait_24h,dra2-smoke-routine-840001,routine,DISPATCH_NOW,1.0,57431.0,0.9308982312070271,0.9308982312070273,7522068.0,0.0,33387.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b7a4da436b0f8596b184d465a388366321552318c2a8c30b1d653d2fbd22a45d,[true],"{""convoy_available"": 0.0, ""departures"": 31.0, ""dispatch_feasible"": false, ""in_transit"": 2527.0, ""staged"": 2564.0, ""unavailable_hours"": 1465.0}",14.0,46384.0,70000.0,672.0,672.0,0.0,0.0,1113216.0,0.0,0.6626285714285715,0.0
dra2-smoke-routine-840001|prefix=threshold_2500__wait_48h,dra2-smoke-routine-840001,routine,HOLD,1.0,57063.0,0.9525749482179874,0.9525749482179875,7125170.0,0.0,46205.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b010cdd8b8dad450e0460a04989c61c0553d31fb1ceec253a99d5b297679cf37,[false],"{""convoy_available"": 1.0, ""departures"": 40.0, ""dispatch_feasible"": true, ""in_transit"": 2405.0, ""staged"": 7692.0, ""unavailable_hours"": 1921.0}",14.0,51268.0,70000.0,648.0,648.0,24.0,0.0,1230432.0,0.0,0.7324,0.0
dra2-smoke-routine-840001|prefix=threshold_2500__wait_48h,dra2-smoke-routine-840001,routine,DISPATCH_NOW,1.0,57063.0,0.9572748765862157,0.9572748765862157,6756890.0,0.0,46205.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,b010cdd8b8dad450e0460a04989c61c0553d31fb1ceec253a99d5b297679cf37,[true],"{""convoy_available"": 0.0, ""departures"": 41.0, ""dispatch_feasible"": false, ""in_transit"": 2405.0, ""staged"": 2692.0, ""unavailable_hours"": 1945.0}",14.0,51268.0,70000.0,648.0,648.0,24.0,0.0,1230432.0,0.0,0.7324,0.0
dra2-smoke-routine-840001|prefix=threshold_5000__wait_48h,dra2-smoke-routine-840001,routine,HOLD,1.0,0.0,0.9358346390913131,0.9358346390913131,6636702.0,0.0,30824.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cea1c024c9a0ab51653ed14ba23faf2b6aaac1981dd6522fb3324f11ec3bfca8,[false],"{""convoy_available"": 1.0, ""departures"": 23.0, ""dispatch_feasible"": true, ""in_transit"": 4933.0, ""staged"": 2948.0, ""unavailable_hours"": 1105.0}",13.0,46768.0,65000.0,624.0,624.0,48.0,0.0,1122432.0,0.0,0.7195076923076923,0.0
dra2-smoke-routine-840001|prefix=threshold_5000__wait_48h,dra2-smoke-routine-840001,routine,DISPATCH_NOW,1.0,0.0,0.9329828353358351,0.9329828353358353,6757878.0,0.0,30824.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,cea1c024c9a0ab51653ed14ba23faf2b6aaac1981dd6522fb3324f11ec3bfca8,[true],"{""convoy_available"": 0.0, ""departures"": 24.0, ""dispatch_feasible"": false, ""in_transit"": 4933.0, ""staged"": 2564.0, ""unavailable_hours"": 1129.0}",13.0,46768.0,65000.0,624.0,624.0,48.0,0.0,1122432.0,0.0,0.7195076923076923,0.0
dra2-smoke-routine-840001|prefix=threshold_5000__wait_72h,dra2-smoke-routine-840001,routine,HOLD,1.0,59754.0,0.9091563724389562,0.9091563724389562,5522765.0,0.0,20452.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,e345b79702306f89e1049a5b55e3152347bfc2d11038b2846c75b7bcbba60ed7,[false],"{""convoy_available"": 1.0, ""departures"": 10.0, ""dispatch_feasible"": true, ""in_transit"": 5059.0, ""staged"": 5384.0, ""unavailable_hours"": 481.0}",12.0,51384.0,60000.0,552.0,552.0,120.0,0.0,1233216.0,0.0,0.8564,0.0
dra2-smoke-routine-840001|prefix=threshold_5000__wait_72h,dra2-smoke-routine-840001,routine,DISPATCH_NOW,1.0,59754.0,0.8641526954849648,0.8641526954849648,7056411.0,0.0,20446.0,0.0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,e345b79702306f89e1049a5b55e3152347bfc2d11038b2846c75b7bcbba60ed7,[true],"{""convoy_available"": 0.0, ""departures"": 11.0, ""dispatch_feasible"": false, ""in_transit"": 5059.0, ""staged"": 384.0, ""unavailable_hours"": 505.0}",13.0,51384.0,65000.0,600.0,600.0,72.0,0.0,1233216.0,0.0,0.7905230769230769,0.0
dra2-smoke-assembly_scarcity-840002|prefix=threshold_1000__wait_24h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,HOLD,1.0,56580.0,0.42318501154993793,0.42318501154993793,7428025.0,0.0,33543.0,0.0,ecf84ca08fcb78ca79f53c5b7a07fafd27ca2142f8183625d75f00ddfe00d2da,8f894e19b6e6c7284bf89c6c9bc3d2dd9f93c29f24e25cf7d8d76f1ac317f3bc,[false],"{""convoy_available"": 1.0, ""departures"": 30.0, ""dispatch_feasible"": true, ""in_transit"": 2522.0, ""staged"": 2680.0, ""unavailable_hours"": 1441.0}",13.0,46384.0,65000.0,624.0,624.0,48.0,0.0,1113216.0,0.0,0.7136,0.0
dra2-smoke-assembly_scarcity-840002|prefix=threshold_1000__wait_24h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,DISPATCH_NOW,1.0,56580.0,0.42118558970841996,0.42118558970842,7311769.0,0.0,33543.0,0.0,ecf84ca08fcb78ca79f53c5b7a07fafd27ca2142f8183625d75f00ddfe00d2da,8f894e19b6e6c7284bf89c6c9bc3d2dd9f93c29f24e25cf7d8d76f1ac317f3bc,[true],"{""convoy_available"": 0.0, ""departures"": 31.0, ""dispatch_feasible"": false, ""in_transit"": 2522.0, ""staged"": 2564.0, ""unavailable_hours"": 1465.0}",14.0,46384.0,70000.0,672.0,672.0,0.0,0.0,1113216.0,0.0,0.6626285714285715,0.0
