state_id,tape_id,family,prefix_policy_id,prefix_inventory_threshold,prefix_maximum_wait_hours,relative_time,prefix_hash,recent_route_recovery,op7_staged_inventory,pending_assembly_quantity,sb_inventory,downstream_backlog_qty,downstream_backlog_count,oldest_backlog_age,recent_7d_demand,recent_7d_production,recent_7d_delivery,convoy_available,convoy_return_eta,time_since_departure,staging_age,op8_route_up,previous_action_dispatch,day_phase
dra2-smoke-routine-840001|prefix=threshold_1000__wait_24h,dra2-smoke-routine-840001,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,801aa289d60dd3ea78fb7bc958c10eedc9b15bf040a2515d5eb7ef9c5942a39e,False,116.0,0.0,868.0,18020.0,7.0,1103.0,15025.0,12936.0,14836.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-routine-840001|prefix=threshold_2500__wait_48h,dra2-smoke-routine-840001,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,bd52a943c090ec1aceb8b7cd636e5d32a380de12e5d1b19da901694e0d17d99f,False,5128.0,0.0,2201.0,33252.0,13.0,1631.0,14874.0,10372.0,12470.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-routine-840001|prefix=threshold_5000__wait_48h,dra2-smoke-routine-840001,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,2a4138ec64702a854898914a32b906cf5405d6ca9a07894dc3876ba19d07e66f,False,384.0,0.0,4982.0,20446.0,8.0,887.0,14821.0,12820.0,9809.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-smoke-routine-840001|prefix=threshold_5000__wait_72h,dra2-smoke-routine-840001,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,7c71ffba2d6c9d88b9b767731b545512a3a64d931f6d02238e129120d09a796f,False,5384.0,0.0,3296.0,7766.0,3.0,191.0,15190.0,12820.0,10044.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-smoke-assembly_scarcity-840002|prefix=threshold_1000__wait_24h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,threshold_1000__wait_24h,1000.0,24.0,1440.0,5de7c1eb0d006555b40b3f21bea1e30df91a5c01146ac5215c9083b63e6d0ede,False,116.0,0.0,2368.0,20636.0,8.0,935.0,15052.0,12936.0,12336.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-assembly_scarcity-840002|prefix=threshold_2500__wait_48h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,threshold_2500__wait_48h,2500.0,48.0,1968.0,9e357a9a2e9062a5caf387bde22dfa49f5b46cd18c4b59523e5bda007c4429cb,False,5128.0,0.0,1374.0,33301.0,13.0,1463.0,14705.0,10372.0,12349.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-assembly_scarcity-840002|prefix=threshold_5000__wait_48h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,threshold_5000__wait_48h,5000.0,48.0,576.0,72bb49596fa309d7105dad8beeef30a24d0ee5b2256f9d4570b59b2b8341f71c,False,500.0,0.0,3656.0,5143.0,2.0,143.0,15067.0,15384.0,9980.0,1.0,0.0,48.0,176.0,1.0,0.0,0.047619047619047616
dra2-smoke-assembly_scarcity-840002|prefix=threshold_5000__wait_72h,dra2-smoke-assembly_scarcity-840002,assembly_scarcity,threshold_5000__wait_72h,5000.0,72.0,528.0,e13ec9919f51e368fd9df82b3f0876d5d06ad4e97bab0ecec436ccd279aa6aca,False,5384.0,0.0,3588.0,7667.0,3.0,95.0,15151.0,12820.0,9928.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-smoke-op8_interruption-840003|prefix=threshold_1000__wait_24h,dra2-smoke-op8_interruption-840003,op8_interruption,threshold_1000__wait_24h,1000.0,24.0,1440.0,b30d555c6c7be901076d443d307e7dc764ac59aba653827a51dd6c024b01b805,False,116.0,0.0,1242.0,17982.0,7.0,1007.0,15025.0,12936.0,12443.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-op8_interruption-840003|prefix=threshold_2500__wait_48h,dra2-smoke-op8_interruption-840003,op8_interruption,threshold_2500__wait_48h,2500.0,48.0,1848.0,15264c1cde3385d689941f89ef2a2f6d071c86be871253ca9f629286db77bfc7,False,2808.0,0.0,4798.0,30762.0,12.0,1415.0,15003.0,15384.0,12352.0,1.0,0.0,48.0,80.0,1.0,0.0,0.6190476190476191
dra2-smoke-op8_interruption-840003|prefix=threshold_5000__wait_48h,dra2-smoke-op8_interruption-840003,op8_interruption,threshold_5000__wait_48h,5000.0,48.0,1224.0,1f7ab1efd7e999f346f609233a6d90a739090d51c9488b23a9d8408e739bf5d9,False,384.0,0.0,2948.0,17974.0,7.0,791.0,14887.0,12820.0,12330.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-smoke-op8_interruption-840003|prefix=threshold_5000__wait_72h,dra2-smoke-op8_interruption-840003,op8_interruption,threshold_5000__wait_72h,5000.0,72.0,528.0,911edc5ce7ee05cb1f6f8687fe49026b98e6b3fade281164c68f41ee4454852c,False,5384.0,0.0,3643.0,7742.0,3.0,119.0,15197.0,12820.0,9946.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2-smoke-r24_mixed-840004|prefix=threshold_1000__wait_24h,dra2-smoke-r24_mixed-840004,r24_mixed,threshold_1000__wait_24h,1000.0,24.0,1440.0,d9c9335af739ac165e498dd65fb976ed2fe814746f08acc86b0a54697bfdb168,False,116.0,0.0,527.0,23204.0,9.0,1127.0,17696.0,12936.0,15217.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2-smoke-r24_mixed-840004|prefix=threshold_2500__wait_48h,dra2-smoke-r24_mixed-840004,r24_mixed,threshold_2500__wait_48h,2500.0,48.0,1968.0,51985906844f4ae62a62a029b1ee5edd857ce869987f5c05bb553eea51ab76de,False,5128.0,0.0,1796.0,41034.0,16.0,1655.0,14750.0,10372.0,12473.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2-smoke-r24_mixed-840004|prefix=threshold_5000__wait_48h,dra2-smoke-r24_mixed-840004,r24_mixed,threshold_5000__wait_48h,5000.0,48.0,1224.0,7980cb438917258459b4cdf59a9ae03a541139fca505ec84c14eaa146d6f076e,False,384.0,0.0,4930.0,23227.0,9.0,911.0,15121.0,12820.0,9889.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2-smoke-r24_mixed-840004|prefix=threshold_5000__wait_72h,dra2-smoke-r24_mixed-840004,r24_mixed,threshold_5000__wait_72h,5000.0,72.0,528.0,adada1832a6032b923f1a2434261cd39d5f47a4f9a9321ec524d0c11681419b8,False,5384.0,0.0,3372.0,10293.0,4.0,215.0,15232.0,12820.0,9910.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
