state_id,tape_id,family,prefix_policy_id,optimal_first_action_14d,supported_first_action_14d,headroom_14d,normalized_headroom_14d,ret_28d,service_28d,ret_56d,service_56d,lost_56d,departures_56d,unavailable_hours_56d,strong_live,n_patterns_14d,sensitivity_state,optimal_first_action_10d,headroom_10d,normalized_headroom_10d,first_action_agrees_10d_14d,normalized_headroom_relative_change,normalized_headroom_absolute_change,positive_to_negative_reversal,service_direction_28d_ok,service_direction_56d_ok
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_1000__wait_24h,HOLD,NONE_TIE_OR_ZERO,0.09584025246333344,0.006845732318809532,0.33682461939064023,7935178.0,0.3942166807204937,23022797.0,0.0,24.0,1152.0,True,987,True,HOLD,0.056488500732232716,0.005648850073223272,True,0.2118806890024807,0.0011968822455862603,False,True,True
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_5000__wait_48h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_5000__wait_48h,HOLD,HOLD,0.13347136196459108,0.009533668711756507,0.43201224627804563,8544442.0,0.40693070579290985,28373730.0,0.0,23.0,1104.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860017|prefix=threshold_2500__wait_48h,dra2b-calibration-assembly_scarcity-860017,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.2406891007966181,0.017192078628329863,0.7029283829963714,7029561.0,0.7534387997334745,26543236.0,0.0,25.0,1200.0,True,987,True,DISPATCH_NOW,0.14990835613736264,0.014990835613736264,True,0.14683924707816665,0.002201243014593599,False,True,True
dra2b-calibration-assembly_scarcity-860017|prefix=threshold_5000__wait_72h,dra2b-calibration-assembly_scarcity-860017,assembly_scarcity,threshold_5000__wait_72h,DISPATCH_NOW,NONE_TIE_OR_ZERO,0.14027591739597567,0.010019708385426833,0.566066074315881,9617495.0,0.534199825574478,28915975.0,0.0,23.0,1080.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860018|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860018,assembly_scarcity,threshold_1000__wait_24h,HOLD,HOLD,0.12392668547424751,0.008851906105303394,0.3311639767824037,7126556.0,0.3828467632880651,22225434.0,0.0,26.0,1224.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860018|prefix=threshold_5000__wait_48h,dra2b-calibration-assembly_scarcity-860018,assembly_scarcity,threshold_5000__wait_48h,HOLD,HOLD,0.14009366327104159,0.010006690233645827,0.4585001484683171,5289296.0,0.37944082799965123,20851265.0,0.0,24.0,1152.0,True,982,True,HOLD,0.08813492122696437,0.008813492122696437,True,0.13538312559180432,0.0011931981109493898,False,True,True
dra2b-calibration-assembly_scarcity-860019|prefix=threshold_2500__wait_48h,dra2b-calibration-assembly_scarcity-860019,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.22488107388816586,0.016062933849154703,0.5443405069257969,4910591.0,0.7139445839594754,17762593.0,0.0,26.0,1248.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860019|prefix=threshold_5000__wait_72h,dra2b-calibration-assembly_scarcity-860019,assembly_scarcity,threshold_5000__wait_72h,DISPATCH_NOW,DISPATCH_NOW,0.2068741202426721,0.014776722874476579,0.5952240522412249,8159150.0,0.6378969334374004,24031782.0,0.0,24.0,1152.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860020|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860020,assembly_scarcity,threshold_1000__wait_24h,HOLD,NONE_TIE_OR_ZERO,0.09176987086935057,0.0065549907763821835,0.3245655103461677,9122623.0,0.3565213143484529,26205057.0,0.0,23.0,1104.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860020|prefix=threshold_5000__wait_48h,dra2b-calibration-assembly_scarcity-860020,assembly_scarcity,threshold_5000__wait_48h,HOLD,HOLD,0.09436937944845553,0.0067406699606039665,0.3605632017843118,6735460.0,0.35212356648710513,21053282.0,0.0,23.0,1104.0,True,982,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860021|prefix=threshold_2500__wait_48h,dra2b-calibration-assembly_scarcity-860021,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.2181178505394188,0.015579846467101342,0.598900916912406,6874707.0,0.7176624458972403,26934378.0,0.0,25.0,1200.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860021|prefix=threshold_5000__wait_72h,dra2b-calibration-assembly_scarcity-860021,assembly_scarcity,threshold_5000__wait_72h,HOLD,HOLD,0.08809554291958024,0.006292538779970018,0.24714583635334383,9935482.0,0.32605291503591,28074801.0,0.0,22.0,1056.0,True,984,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860022|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860022,assembly_scarcity,threshold_1000__wait_24h,HOLD,HOLD,0.20443460864364615,0.014602472045974726,0.5826760562790728,7616897.0,0.5264986045849253,25360759.0,0.0,26.0,1248.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860022|prefix=threshold_5000__wait_48h,dra2b-calibration-assembly_scarcity-860022,assembly_scarcity,threshold_5000__wait_48h,HOLD,HOLD,0.10406475990063152,0.007433197135759394,0.5014408994093518,7225330.0,0.5075389181619865,25651409.0,0.0,23.0,1104.0,True,987,False,,,,,,,,,
dra2b-calibration-assembly_scarcity-860023|prefix=threshold_2500__wait_48h,dra2b-calibration-assembly_scarcity-860023,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.12747440053014503,0.009105314323581788,0.37350762018332634,5891589.0,0.6373428569867217,21410133.0,0.0,27.0,1296.0,True,987,False,,,,,,,,,
