state_id,tape_id,family,policy_id,short_ret,short_service,long_ret,long_clipped,long_service,long_lost,long_backlog,mass_residual,risk_sha256,demand_sha256,realized_departure_pattern,t1_physical_signature,op8_convoy_departures,op8_convoy_dispatched_rations,op8_convoy_capacity_committed,op8_convoy_vehicle_hours,op8_convoy_unavailable_hours,op8_convoy_idle_hours,op8_convoy_route_wait_hours,op8_convoy_ration_hours_in_transit,op8_convoy_masked_dispatch_attempts,op8_convoy_load_factor,op8_convoy_resource_residual
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_1000__wait_24h,0.2917821515483743,6103402.0,0.34299961275039287,0.34299961275039287,22475213.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",28.0,92255.0,140000.0,1344.0,1344.0,0.0,0.0,2214120.0,0.0,0.6589642857142857,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_1000__wait_48h,0.25220734136684775,6167312.0,0.35145704678360007,0.3514570467836,22720011.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",27.0,94819.0,135000.0,1272.0,1272.0,72.0,0.0,2275656.0,0.0,0.702362962962963,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_1000__wait_72h,0.25220734136684775,6167312.0,0.34213554782617756,0.34213554782617756,22593749.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",26.0,94819.0,130000.0,1224.0,1224.0,120.0,0.0,2275656.0,0.0,0.729376923076923,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_2500__wait_24h,0.25197442211218934,6112304.0,0.34202907045261943,0.34202907045261943,22538741.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",27.0,92255.0,135000.0,1296.0,1296.0,48.0,0.0,2214120.0,0.0,0.6833703703703704,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_2500__wait_48h,0.25197442211218934,6112304.0,0.3513474377225844,0.3513474377225843,22665003.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",27.0,94819.0,135000.0,1272.0,1272.0,72.0,0.0,2275656.0,0.0,0.702362962962963,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_2500__wait_72h,0.25197442211218934,6112304.0,0.34202907045261943,0.34202907045261943,22538741.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",26.0,94819.0,130000.0,1224.0,1224.0,120.0,0.0,2275656.0,0.0,0.729376923076923,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_5000__wait_24h,0.2905886306617588,6166042.0,0.3520762600141151,0.3520762600141151,22666803.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",25.0,92255.0,125000.0,1200.0,1200.0,144.0,0.0,2214120.0,0.0,0.73804,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_5000__wait_48h,0.23630888087704882,6586498.0,0.32443788063521983,0.32443788063521983,23145963.0,0.0,41295.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",25.0,92255.0,125000.0,1200.0,1200.0,144.0,0.0,2214120.0,0.0,0.73804,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_1000__wait_24h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_5000__wait_72h,0.23630888087704882,6586498.0,0.2981611856686439,0.2981611856686439,23325339.0,0.0,43778.0,0.0,b79bfc425db5df5c67d16645c17f0470da6d8500ef7a801cf96464e59b076040,e9c070bd33535a0165d14e6b364ec40a15055c967f07e7c215da16e5b7e8550b,[],"{""convoy_available"": 0.0, ""departures"": 22.0, ""dispatch_feasible"": false, ""in_transit"": 4952.0, ""staged"": 2564.0, ""unavailable_hours"": 1033.0}",24.0,94575.0,120000.0,1128.0,1128.0,216.0,0.0,2269800.0,0.0,0.788125,0.0
dra2b-calibration-assembly_scarcity-860016|prefix=threshold_5000__wait_48h,dra2b-calibration-assembly_scarcity-860016,assembly_scarcity,threshold_1000__wait_24h,0.39697013051736113,8478568.0,0.3483979701336291,0.34839797013362905,28663458.0,0.0,46452.0,0.0,66584a52d176d3546706b5505f80182eaf75d984750cdf80d0e8e456e581db4b,418ffded8d38895d38a9909550b65c4eff6859e8b8f8b97ae0b5744a354f9eb8,[],"{""convoy_available"": 0.0, ""departures"": 23.0, ""dispatch_feasible"": false, ""in_transit"": 5060.0, ""staged"": 2243.5, ""unavailable_hours"": 1081.0}",28.0,94959.0,140000.0,1320.0,1320.0,24.0,0.0,2279016.0,0.0,0.6782785714285714,0.0
