state_id,tape_id,family,prefix_policy_id,prefix_inventory_threshold,prefix_maximum_wait_hours,relative_time,prefix_hash,recent_route_recovery,op7_staged_inventory,pending_assembly_quantity,sb_inventory,downstream_backlog_qty,downstream_backlog_count,oldest_backlog_age,recent_7d_demand,recent_7d_production,recent_7d_delivery,convoy_available,convoy_return_eta,time_since_departure,staging_age,op8_route_up,previous_action_dispatch,day_phase
dra2b-calibration-routine-860001|prefix=threshold_1000__wait_24h,dra2b-calibration-routine-860001,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,705fab69c83e9a8cae057d3666536397cf3bc0f3103ff85fbb8722c0ee34ac81,False,116.0,0.0,661.0,18149.0,7.0,1031.0,15122.0,12936.0,12593.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2b-calibration-routine-860001|prefix=threshold_5000__wait_48h,dra2b-calibration-routine-860001,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,c2fdb2af03d421027c0441a6ed3e773a9b4807a45bc9d673f6df51474ea4924b,False,384.0,0.0,2546.0,18141.0,7.0,815.0,15174.0,12820.0,12557.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2b-calibration-routine-860002|prefix=threshold_2500__wait_48h,dra2b-calibration-routine-860002,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,f9d7c937dd8488ad781ed528241b3f5c5eaf34f6d88ea666808576861d3dfbe3,False,5128.0,0.0,1883.0,33568.0,13.0,1679.0,15273.0,10372.0,12529.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2b-calibration-routine-860002|prefix=threshold_5000__wait_72h,dra2b-calibration-routine-860002,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,11535173d06bb1335135b06ffadbb16fe13325c66ce2c5bae290254d4a8d81f4,False,5384.0,0.0,3369.0,7750.0,3.0,239.0,15072.0,12820.0,9906.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2b-calibration-routine-860003|prefix=threshold_5000__wait_48h,dra2b-calibration-routine-860003,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,81f3cca7d2401202d7405018fc32807931624b9a72c25f33f4bfb67eb87e554d,False,384.0,0.0,2753.0,17983.0,7.0,887.0,15083.0,12820.0,12466.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
dra2b-calibration-routine-860003|prefix=threshold_1000__wait_24h,dra2b-calibration-routine-860003,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,14ca6d52208e9afca0d49dca810e9b26a093cf3abccf7ba5119b469ace5f07e8,False,116.0,0.0,1146.0,18031.0,7.0,1103.0,14933.0,12936.0,12377.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2b-calibration-routine-860004|prefix=threshold_5000__wait_72h,dra2b-calibration-routine-860004,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,6d36408d1c52569a044b20decfde118da17c6a056dca28777c7ffb23008aba86,False,5384.0,0.0,3407.0,7577.0,3.0,191.0,14764.0,12820.0,9888.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
dra2b-calibration-routine-860004|prefix=threshold_2500__wait_48h,dra2b-calibration-routine-860004,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,b383d7002e04fc47c53aaf02337b0c0d08bd2b94785df47942536eea8aca2b18,False,5128.0,0.0,2039.0,33439.0,13.0,1319.0,14864.0,10372.0,12316.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
dra2b-calibration-routine-860005|prefix=threshold_1000__wait_24h,dra2b-calibration-routine-860005,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,50796efd1dc5128aee3862c7aa802be812bf7f9de7a367f20fbf97972bd13962,False,116.0,0.0,1430.0,18068.0,7.0,1175.0,14967.0,12936.0,12275.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
dra2b-calibration-routine-860005|prefix=threshold_5000__wait_48h,dra2b-calibration-routine-860005,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,8f0b8135fa1e8b5f233e7af1d76aebdaaf4306af692868836bf40e5ba1debfac,False,384.0,0.0,3006.0,17938.0,7.0,599.0,14835.0,12820.0,12330.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
