cfi,split,variant,dispatch_policy,transport_mode,assembly_mode,release_mode,risk_initialization_mode,risk_rng_mode,rp_mode,attribution_source,r24_window_hours,material_lineage_mode,orders_consuming_affected_material,orders_blocked_by_lineage_debt,lineage_terminal_quantities,seed,excel_placed,des_placed,excel_visible,des_visible,excel_ut_final,des_ut_final,excel_bt_final,des_bt_final,des_lost,des_unresolved,excel_warmup,des_warmup,first_contract_completion,first_supplier_delivery,first_ration_production,pre_warmup_risk_counts,excel_ret,des_ret,excel_ct_p50,des_ct_p50,excel_ct_p95,des_ct_p95,excel_rp_p50,des_rp_p50,excel_rp_p95,des_rp_p95,release_wait_p50,release_wait_p95,op10_resource_wait_p95,op12_resource_wait_p95,op10_down_wait_p95,op10_down_wait_positive_orders,op10_down_wait_max,op11_down_wait_p95,op11_down_wait_positive_orders,op11_down_wait_max,op12_down_wait_p95,op12_down_wait_positive_orders,op12_down_wait_max,event_counts,event_hours,event_affected_op_counts
11,calibration,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",21,2844,2845,2165,1903,381.0,870.0,42.0,59.0,882,60,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 0, 'R23': 1, 'R24': 2}",0.17977978797734556,0.11026513537406582,103.275119999998,118.0,3007.3343039999904,2731.5999999999967,147.76008000000002,136.0,3679.3029000000015,3331.5999999999913,70.0,2683.5999999999967,0.0,0.0,0.0,1,11.0,75.0,181,541.0,0.0,3,45.0,"{'R24': 240, 'R23': 60, 'R21': 20, 'R22': 20}","{'R24': 40320.0, 'R23': 7179.0647560195275, 'R21': 6087.092340196556, 'R22': 361.61895355306297}","{'R24': {'13': 240}, 'R23': {'11': 60}, 'R21': {'3': 20, '5': 20, '6': 20, '7': 20, '9': 20}, 'R22': {'4': 8, '8': 5, '10': 4, '12': 3}}"
12,validation,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",47,2848,2845,2186,2059,381.0,725.0,30.0,59.0,725,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 1, 'R23': 0, 'R24': 1}",0.39514151834316324,0.335687328884117,102.7977599999995,94.0,2694.7580399999924,1973.1999999999935,231.40572000000049,142.0,4128.550607999986,6345.549999999999,46.0,1925.1999999999935,0.0,0.0,0.0,5,47.0,0.0,32,206.0,0.0,2,18.0,"{'R24': 120, 'R22': 20, 'R21': 20, 'R23': 10}","{'R24': 20160.0, 'R22': 422.1544791776457, 'R21': 5225.7310805578645, 'R23': 1171.5728871992112}","{'R24': {'13': 120}, 'R22': {'4': 5, '10': 8, '12': 6, '8': 1}, 'R21': {'3': 20, '5': 20, '6': 20, '7': 20, '9': 20}, 'R23': {'11': 10}}"
13,calibration,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",101,2850,2845,1956,1909,607.0,875.0,59.0,59.0,875,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 0, 'R23': 0, 'R24': 3}",0.14184084326010662,0.13093435789005445,126.2523599999985,94.0,3061.3143600000003,2186.7999999999956,173.53284000000002,118.0,2702.519040000007,2741.799999999995,46.0,2138.7999999999956,0.0,0.0,0.0,7,28.0,0.0,33,322.0,0.0,8,37.0,"{'R24': 240, 'R22': 60, 'R21': 20, 'R23': 10}","{'R24': 40320.0, 'R22': 1398.9311620758376, 'R21': 5962.70526248368, 'R23': 1209.4995357805099}","{'R24': {'13': 240}, 'R22': {'8': 13, '12': 14, '4': 15, '10': 18}, 'R21': {'3': 20, '5': 20, '6': 20, '7': 20, '9': 20}, 'R23': {'11': 10}}"
14,validation,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",28,2849,2845,2173,2025,384.0,758.0,36.0,58.0,759,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 1, 'R23': 1, 'R24': 1}",0.17264705043593367,0.2551323349339199,125.748479999995,106.0,3291.8134080000063,1811.9999999999977,191.237280000001,142.0,2948.7659759999992,2854.350000000002,46.0,1759.5999999999967,0.0,0.0,0.0,14,138.0,89.59999999999991,194,508.0,0.0,10,60.0,"{'R23': 60, 'R22': 60, 'R24': 120, 'R21': 20}","{'R23': 7782.625001610974, 'R22': 1514.418968526484, 'R24': 20160.0, 'R21': 6063.798667781987}","{'R23': {'11': 60}, 'R22': {'12': 15, '10': 18, '4': 14, '8': 13}, 'R24': {'13': 120}, 'R21': {'3': 20, '5': 20, '6': 20, '7': 20, '9': 20}}"
15,calibration,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",10,2848,2845,2203,2029,346.0,756.0,56.0,58.0,756,60,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 0, 'R23': 0, 'R24': 3}",0.19050256107632924,0.149318690209858,117.311999999998,107.0,2482.6900800000008,1270.0,167.057280000001,118.0,2720.0340959999994,1596.3999999999978,46.0,1178.7999999999956,0.0,0.0,0.0,1,17.0,106.19999999999982,222,1121.0,0.0,5,76.0,"{'R24': 240, 'R23': 60, 'R22': 20, 'R21': 5}","{'R24': 40320.0, 'R23': 8788.650316921165, 'R22': 401.9459154154462, 'R21': 1088.4858573069096}","{'R24': {'13': 240}, 'R23': {'11': 60}, 'R22': {'4': 7, '12': 7, '8': 3, '10': 3}, 'R21': {'3': 5, '5': 5, '6': 5, '7': 5, '9': 5}}"
16,validation,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",11,2849,2845,2218,2134,330.0,648.0,46.0,58.0,650,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 1, 'R23': 0, 'R24': 1}",0.2349312541069298,0.36312206248235757,103.9069199999995,94.0,2746.1346120000017,1750.0,171.231839999999,118.0,3371.4379919999988,4115.4,46.0,1702.0,0.0,0.0,0.0,7,26.0,0.0,21,186.0,0.0,14,50.0,"{'R22': 60, 'R24': 120, 'R21': 5, 'R23': 10}","{'R22': 1161.2684972762688, 'R24': 20160.0, 'R21': 1710.4758764916078, 'R23': 900.4111863421322}","{'R22': {'10': 14, '8': 15, '12': 17, '4': 14}, 'R24': {'13': 120}, 'R21': {'3': 5, '5': 5, '6': 5, '7': 5, '9': 5}, 'R23': {'11': 10}}"
17,calibration,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",96,2844,2839,2227,2144,380.0,635.0,54.0,58.0,635,60,888.005,1111.0,672.0,696.0,24.0,"{'R21': 1, 'R22': 1, 'R23': 1, 'R24': 2}",0.17857549461992253,0.3128269624626452,118.004639999999,94.0,2123.79897599999,1122.3999999999978,153.1998000000005,118.0,2323.7471399999927,1863.499999999999,46.0,1074.3999999999978,0.0,0.0,0.0,11,48.0,65.24999999999955,167,553.0,0.0,6,21.0,"{'R23': 60, 'R22': 60, 'R24': 120, 'R21': 5}","{'R23': 6573.13200696688, 'R22': 1598.433180139208, 'R24': 20160.0, 'R21': 1268.1085336528856}","{'R23': {'11': 60}, 'R22': {'8': 18, '10': 16, '4': 14, '12': 12}, 'R24': {'13': 120}, 'R21': {'3': 5, '5': 5, '6': 5, '7': 5, '9': 5}}"
18,validation,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",498,2849,2845,2277,2143,273.0,641.0,43.0,59.0,641,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 1, 'R23': 1, 'R24': 1}",0.26044310964142176,0.3278128891118002,101.621520000001,94.0,2586.3034079999993,1294.0,202.703279999994,142.0,3339.116351999995,2218.0,46.0,1243.5999999999967,0.0,0.0,0.0,1,23.0,126.0,226,542.0,0.0,2,21.0,"{'R22': 20, 'R24': 120, 'R23': 60, 'R21': 5}","{'R22': 394.3709225061415, 'R24': 20160.0, 'R23': 8922.19352836778, 'R21': 1449.8245569267792}","{'R22': {'8': 7, '4': 4, '10': 6, '12': 3}, 'R24': {'13': 120}, 'R23': {'11': 60}, 'R21': {'3': 5, '5': 5, '6': 5, '7': 5, '9': 5}}"
19,calibration,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",95,2848,2844,2120,2021,465.0,761.0,53.0,59.0,763,60,823.6519,967.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 1, 'R23': 0, 'R24': 3}",0.1378224994763155,0.14958378000874697,107.5682399999985,94.0,2281.9957679999998,2038.0,126.671999999999,118.0,2690.883624,3079.5999999999913,46.0,1990.0,0.0,0.0,0.0,20,99.0,0.0,37,468.0,0.0,3,28.0,"{'R24': 240, 'R22': 60, 'R21': 5, 'R23': 10}","{'R24': 40320.0, 'R22': 1792.567195967231, 'R21': 1386.5062969177056, 'R23': 1684.9961199721506}","{'R24': {'13': 240}, 'R22': {'4': 17, '10': 19, '8': 16, '12': 8}, 'R21': {'3': 5, '5': 5, '6': 5, '7': 5, '9': 5}, 'R23': {'11': 10}}"
20,validation,clock_parallel,fixed_clock_daily,parallel,aggregate_line,completion_relative,deferred_first_cycle,shared,elapsed,des_events,168.0,off,0,0,"{'raw_material_wdc': 0.0, 'raw_material_al': 0.0, 'rework_op6': 0.0, 'pending_batch': 0.0, 'rations_al': 0.0, 'rations_sb': 0.0}",85,2849,2845,2168,1928,389.0,856.0,58.0,59.0,856,61,823.6519,943.0,672.0,696.0,24.0,"{'R21': 0, 'R22': 0, 'R23': 1, 'R24': 3}",0.11573261410060781,0.127490902078478,120.0185999999995,118.0,2869.6639920000075,2077.5999999999967,146.349839999999,136.0,2515.874399999999,2745.9999999999973,70.0,2029.5999999999967,0.0,0.0,0.0,3,23.0,44.0,154,579.0,0.0,7,70.0,"{'R23': 60, 'R24': 240, 'R22': 60, 'R21': 20}","{'R23': 6851.632169552875, 'R24': 40320.0, 'R22': 1184.254811225646, 'R21': 5519.834426940814}","{'R23': {'11': 60}, 'R24': {'13': 240}, 'R22': {'4': 17, '10': 9, '12': 18, '8': 16}, 'R21': {'3': 20, '5': 20, '6': 20, '7': 20, '9': 20}}"
