cfi,split,variant,rp_mode,risk_id,event_count,event_hours,excel_share,excel_ct_p50,excel_ct_p95,excel_rp_p50,excel_rp_p95,excel_dp_p50,excel_dp_p95,des_share,des_ct_p50,des_ct_p95,des_rp_p50,des_rp_p95,des_dp_p50,des_dp_p95
11,calibration,clock_parallel,elapsed,R22,20,361.61895355306297,0.2905311778290993,618.7428,10160.139600000002,595.823280000001,4359.309551999996,618.7428,10160.139600000002,0.10772464529689964,1990.0,26364.399999999994,1918.0,26364.399999999994,1990.0,26364.399999999994
11,calibration,clock_parallel,elapsed,R23,60,7179.0647560195275,0.34318706697459583,554.327279999998,9755.597904000007,535.785120000001,4293.278184000001,554.327279999998,9755.597904000007,0.2674724119810825,443.0,14714.799999999987,407.0,14714.799999999987,443.0,14714.799999999987
12,validation,clock_parallel,elapsed,R22,20,422.1544791776457,0.28636779505946935,746.4397199999994,9068.34552,723.6449999999966,5694.98358,746.4397199999994,9068.34552,0.09519184069936863,1713.5,47914.0,1662.0,47868.25,1713.5,47914.0
12,validation,clock_parallel,elapsed,R23,10,1171.5728871992112,0.0818847209515096,915.716879999993,15320.271719999997,763.376640000002,6023.256720000001,915.716879999993,15320.271719999997,0.06896551724137931,1366.0,53491.6,1175.0,53440.6,1366.0,53491.6
13,calibration,clock_parallel,elapsed,R22,60,1398.9311620758376,0.5618609406952966,499.667999999998,4742.216231999993,482.698320000001,2903.769959999991,499.667999999998,4742.216231999993,0.1932949188056574,838.0,12453.99999999997,829.0,12382.59999999997,838.0,12453.99999999997
13,calibration,clock_parallel,elapsed,R23,10,1209.4995357805099,0.061860940695296525,1134.70968,10086.648,1134.70968,3501.49488,1134.70968,10086.648,0.07333682556312206,1786.0,26402.799999999934,1740.0,26184.29999999993,1786.0,26402.799999999934
14,validation,clock_parallel,elapsed,R22,60,1514.418968526484,0.5959502991256328,388.16232,7372.166879999981,361.189920000001,3111.0175199999994,388.16232,7372.166879999981,0.20296296296296296,586.0,10306.0,526.0,10306.0,586.0,10306.0
14,validation,clock_parallel,elapsed,R23,60,7782.625001610974,0.2908421537045559,646.4936400000015,9800.419511999993,636.5174399999989,3454.211436000005,646.4936400000015,9800.419511999993,0.26024691358024693,382.0,8121.999999999993,334.0,8081.499999999992,382.0,8121.999999999993
15,calibration,clock_parallel,elapsed,R22,20,401.9459154154462,0.30140717203812983,831.687479999999,6069.609936000006,800.3065200000005,4831.341995999992,831.687479999999,6069.609936000006,0.08033514046328241,1196.0,18833.1,1159.0,18784.3,1196.0,18833.1
15,calibration,clock_parallel,elapsed,R23,60,8788.650316921165,0.3436223331820245,701.344800000001,5426.373887999985,665.617679999999,4723.226351999999,701.344800000001,5426.373887999985,0.24889107934943322,288.0,6377.199999999993,275.0,6306.999999999991,288.0,6377.199999999993
16,validation,clock_parallel,elapsed,R22,60,1161.2684972762688,0.5468890892696122,390.904799999997,4882.851791999999,331.02576,3900.1765919999957,390.904799999997,4882.851791999999,0.1583880037488285,586.0,17609.19999999997,468.0,17570.09999999997,586.0,17609.19999999997
16,validation,clock_parallel,elapsed,R23,10,900.4111863421322,0.08701532912533815,1374.65328,9385.927823999997,1304.1756,4468.240607999997,1374.65328,9385.927823999997,0.06794751640112465,2230.0,27319.59999999996,2230.0,27319.59999999996,2230.0,27319.59999999996
17,calibration,clock_parallel,elapsed,R22,60,1598.433180139208,0.5585990121239336,290.9103600000015,3522.5327279999915,267.2779200000005,3277.665611999983,290.9103600000015,3522.5327279999915,0.16557835820895522,406.0,21224.200000000033,334.0,21139.90000000003,406.0,21224.200000000033
17,calibration,clock_parallel,elapsed,R23,60,6573.13200696688,0.29052537045352494,513.127679999991,6501.364271999987,508.425840000002,3970.2861120000025,513.127679999991,6501.364271999987,0.21222014925373134,298.0,12122.799999999974,270.0,11991.59999999998,298.0,12122.799999999974
18,validation,clock_parallel,elapsed,R22,20,394.3709225061415,0.3346508563899868,722.957039999994,6196.904375999996,642.7995599999995,5697.163835999999,722.957039999994,6196.904375999996,0.06206252916472235,1181.0,14734.799999999985,1102.0,14270.799999999985,1181.0,14734.799999999985
18,validation,clock_parallel,elapsed,R23,60,8922.19352836778,0.3588054457619675,741.414959999998,6051.180719999999,689.585520000008,5496.113375999997,741.414959999998,6051.180719999999,0.23425104993000467,307.5,5489.199999999999,286.0,5345.449999999998,307.5,5489.199999999999
19,calibration,clock_parallel,elapsed,R22,60,1792.567195967231,0.555188679245283,334.691760000002,4302.5055840000105,296.315759999998,3297.8437440000007,334.691760000002,4302.5055840000105,0.17169717961405245,622.0,15590.799999999988,622.0,15542.799999999988,622.0,15590.799999999988
19,calibration,clock_parallel,elapsed,R23,10,1684.9961199721506,0.06132075471698113,661.1701200000025,4886.404223999999,654.103320000002,3473.191176,661.1701200000025,4886.404223999999,0.07422068283028203,1312.0,26858.79999999991,1255.0,26821.39999999991,1312.0,26858.79999999991
20,validation,clock_parallel,elapsed,R22,60,1184.254811225646,0.5378228782287823,347.284080000001,4083.02232,337.3078800000005,2829.71598,347.284080000001,4083.02232,0.19657676348547717,786.0,8786.799999999981,742.0,8759.699999999992,786.0,8786.799999999981
20,validation,clock_parallel,elapsed,R23,60,6851.632169552875,0.2915129151291513,647.5310400000014,6708.908387999989,619.3465199999989,3125.8941479999994,647.5310400000014,6708.908387999989,0.2572614107883817,454.0,7144.0,431.5,7141.25,454.0,7144.0
