state_id,tape_id,family,prefix_policy_id,optimal_first_action_14d,supported_first_action_14d,headroom_14d,normalized_headroom_14d,ret_28d,service_28d,ret_56d,service_56d,lost_56d,departures_56d,unavailable_hours_56d,strong_live,n_patterns_14d,sensitivity_state,optimal_first_action_10d,headroom_10d,normalized_headroom_10d,first_action_agrees_10d_14d,normalized_headroom_relative_change,normalized_headroom_absolute_change,positive_to_negative_reversal,service_direction_28d_ok,service_direction_56d_ok
program-e-calibration-assembly_scarcity-900021|prefix=threshold_1000__wait_24h,program-e-calibration-assembly_scarcity-900021,assembly_scarcity,threshold_1000__wait_24h,HOLD,NONE_TIE_OR_ZERO,0.07283581068704165,0.00520255790621726,0.4095513606296383,9157719.0,0.31083889666936787,30126283.0,0.0,21.0,1008.0,True,987,True,HOLD,0.0967962360392447,0.00967962360392447,True,0.4625247717165412,0.004477065697707209,False,True,True
program-e-calibration-assembly_scarcity-900021|prefix=threshold_5000__wait_48h,program-e-calibration-assembly_scarcity-900021,assembly_scarcity,threshold_5000__wait_48h,HOLD,NONE_TIE_OR_ZERO,0.15505520128312406,0.011075371520223146,0.3944154823865551,8620859.0,0.3182272172036587,31629369.0,0.0,19.0,912.0,True,982,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900022|prefix=threshold_2500__wait_48h,program-e-calibration-assembly_scarcity-900022,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.23426745594133452,0.016733389710095324,0.6053271997149039,6526734.0,0.6959369238658427,22668455.0,0.0,25.0,1200.0,True,987,True,DISPATCH_NOW,0.14878650983156205,0.014878650983156206,True,0.1246577212570432,0.0018547387269391181,False,True,True
program-e-calibration-assembly_scarcity-900022|prefix=threshold_5000__wait_72h,program-e-calibration-assembly_scarcity-900022,assembly_scarcity,threshold_5000__wait_72h,HOLD,HOLD,0.1314499349506763,0.00938928106790545,0.46290783808564573,6163042.0,0.40017944010653084,21829646.0,0.0,22.0,1056.0,True,968,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900023|prefix=threshold_1000__wait_24h,program-e-calibration-assembly_scarcity-900023,assembly_scarcity,threshold_1000__wait_24h,HOLD,NONE_TIE_OR_ZERO,0.17275442548660946,0.012339601820472104,0.5466486864550492,7301111.0,0.48243544095180163,21944328.0,0.0,25.0,1176.0,True,987,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900023|prefix=threshold_5000__wait_48h,program-e-calibration-assembly_scarcity-900023,assembly_scarcity,threshold_5000__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.1243208199582504,0.008880058568446456,0.45885019861870824,5045648.0,0.43462574790600084,18187499.0,0.0,24.0,1152.0,True,987,True,DISPATCH_NOW,0.13653784663437812,0.013653784663437812,True,0.34962658432533134,0.004773726094991356,False,True,True
program-e-calibration-assembly_scarcity-900024|prefix=threshold_2500__wait_48h,program-e-calibration-assembly_scarcity-900024,assembly_scarcity,threshold_2500__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.2529022318249472,0.018064445130353372,0.5817454208904035,7007080.0,0.6896513803789122,27612304.0,0.0,27.0,1296.0,True,987,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900024|prefix=threshold_5000__wait_72h,program-e-calibration-assembly_scarcity-900024,assembly_scarcity,threshold_5000__wait_72h,HOLD,HOLD,0.07207212606930874,0.005148009004950624,0.25136721534042156,5065937.0,0.3878458590822952,20758974.0,0.0,24.0,1128.0,True,987,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900025|prefix=threshold_1000__wait_24h,program-e-calibration-assembly_scarcity-900025,assembly_scarcity,threshold_1000__wait_24h,DISPATCH_NOW,DISPATCH_NOW,0.10379395372633482,0.007413853837595344,0.4580178410798229,4730948.0,0.44666214965530504,19197160.0,0.0,28.0,1320.0,True,987,False,,,,,,,,,
program-e-calibration-assembly_scarcity-900025|prefix=threshold_5000__wait_48h,program-e-calibration-assembly_scarcity-900025,assembly_scarcity,threshold_5000__wait_48h,DISPATCH_NOW,DISPATCH_NOW,0.13015120258641488,0.009296514470458206,0.45767934864366117,4910068.0,0.4460603486762331,19618312.0,0.0,24.0,1152.0,True,987,False,,,,,,,,,
