state_id,tape_id,family,prefix_policy_id,prefix_inventory_threshold,prefix_maximum_wait_hours,relative_time,prefix_hash,recent_route_recovery,op7_staged_inventory,pending_assembly_quantity,sb_inventory,downstream_backlog_qty,downstream_backlog_count,oldest_backlog_age,recent_7d_demand,recent_7d_production,recent_7d_delivery,convoy_available,convoy_return_eta,time_since_departure,staging_age,op8_route_up,previous_action_dispatch,day_phase
program-e-calibration-routine-900001|prefix=threshold_1000__wait_24h,program-e-calibration-routine-900001,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,a8a28ed033b455ec02665f4ecc0af2c8030e1fc182040169e84b2172f404f826,False,116.0,0.0,1167.0,18115.0,7.0,983.0,15096.0,12936.0,12415.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
program-e-calibration-routine-900001|prefix=threshold_5000__wait_48h,program-e-calibration-routine-900001,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,2b357c7959596617ed6098e386c505d273b0b9f5cd9feff4b588859a0c4226d9,False,384.0,0.0,2834.0,18035.0,7.0,767.0,14918.0,12820.0,12381.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
program-e-calibration-routine-900002|prefix=threshold_2500__wait_48h,program-e-calibration-routine-900002,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,55ba795db80a4a25c01b5a6e623a02d399c1f99250c3589c68f9c5b32d279e5f,False,5128.0,0.0,2592.0,33427.0,13.0,1631.0,15010.0,10372.0,12373.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
program-e-calibration-routine-900002|prefix=threshold_5000__wait_72h,program-e-calibration-routine-900002,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,c28f891eccf7d0e53db56023a26c3d74cb950535a9a137b774611044bc163c21,False,5384.0,0.0,3627.0,7716.0,3.0,191.0,14958.0,12820.0,9933.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
program-e-calibration-routine-900003|prefix=threshold_5000__wait_48h,program-e-calibration-routine-900003,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,3f469de07b6de8675ea0966c291e04820ebe9479cdbca4d716c11cca65b9da53,False,384.0,0.0,3521.0,18070.0,7.0,767.0,14868.0,12820.0,9734.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
program-e-calibration-routine-900003|prefix=threshold_1000__wait_24h,program-e-calibration-routine-900003,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,846e611ca4b1f1149d729fccd172c7a72e2a6072e6a20d7bb3da645f57bf53d0,False,116.0,0.0,1529.0,18093.0,7.0,983.0,15244.0,12936.0,12614.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
program-e-calibration-routine-900004|prefix=threshold_5000__wait_72h,program-e-calibration-routine-900004,routine,threshold_5000__wait_72h,5000.0,72.0,528.0,9682e6cd59c613c6e051a11963f12f3a81f5790bb3ff66f960a4f52a4f3dd3ba,False,5384.0,0.0,3638.0,7610.0,3.0,215.0,14901.0,12820.0,9982.0,1.0,0.0,48.0,128.0,1.0,0.0,0.7619047619047619
program-e-calibration-routine-900004|prefix=threshold_2500__wait_48h,program-e-calibration-routine-900004,routine,threshold_2500__wait_48h,2500.0,48.0,1968.0,d82a2ed05908f448a66cc0aaedbcb7dec57e857ac7f4d1ba68415421560782c5,False,5128.0,0.0,707.0,30803.0,12.0,1655.0,14912.0,10372.0,12448.0,1.0,0.0,48.0,32.0,1.0,0.0,0.3333333333333333
program-e-calibration-routine-900005|prefix=threshold_1000__wait_24h,program-e-calibration-routine-900005,routine,threshold_1000__wait_24h,1000.0,24.0,1440.0,3f1742047040590c11ee13fadbfb29d4436a343f328f6abe3877d43baeff8d37,False,116.0,0.0,1067.0,18039.0,7.0,959.0,14952.0,12936.0,12346.0,1.0,0.0,48.0,32.0,1.0,0.0,0.19047619047619047
program-e-calibration-routine-900005|prefix=threshold_5000__wait_48h,program-e-calibration-routine-900005,routine,threshold_5000__wait_48h,5000.0,48.0,1224.0,113639b4699fc1081a980cebb8f161d34b82591430a8a526dde4bb9bf280ba09,False,384.0,0.0,2673.0,18045.0,7.0,743.0,15109.0,12820.0,12636.0,1.0,0.0,48.0,200.0,1.0,0.0,0.9047619047619048
