family,state_id,tape_id,decision_week,prefix,horizon_weeks,action,ret_excel,service_loss,lost_orders,resource,mass_residual
production,production|1100001|w12|pS1,1100001,12,S1,4,S1,0.004884325187158404,123836880.0,0.0,0.0,0.0
production,production|1100001|w12|pS1,1100001,12,S1,4,S2,0.004915464740697361,123836880.0,0.0,672.0,0.0
production,production|1100001|w12|pS1,1100001,12,S1,4,S3,0.005088156086934621,121996530.0,0.0,1344.0,0.0
production,production|1100001|w12|pS1,1100001,12,S1,8,S1,0.004854682586476579,181920678.0,0.0,0.0,0.0
production,production|1100001|w12|pS1,1100001,12,S1,8,S2,0.00500027365473328,182248272.0,0.0,1344.0,0.0
production,production|1100001|w12|pS1,1100001,12,S1,8,S3,0.005041273175959621,170804232.0,0.0,2688.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,4,S1,0.005275289569035397,122185446.0,0.0,0.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,4,S2,0.005226597342497638,122185482.0,0.0,672.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,4,S3,0.005275592091038524,122186496.0,0.0,1344.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,8,S1,0.005295173945593537,130277688.0,0.0,0.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,8,S2,0.005301192353709125,131102442.0,0.0,1344.0,0.0
production,production|1100001|w24|pS2,1100001,24,S2,8,S3,0.005386708728455158,131104494.0,0.0,2688.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,4,S1,0.005027399362203004,204272922.0,0.0,0.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,4,S2,0.005041758486446265,204272922.0,0.0,672.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,4,S3,0.005063770260728658,204272922.0,0.0,1344.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,8,S1,0.005135405282507401,205024362.0,0.0,0.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,8,S2,0.005135976559762163,205023588.0,0.0,1344.0,0.0
production,production|1100001|w36|pS3,1100001,36,S3,8,S3,0.005153488773662769,205023972.0,0.0,2688.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,4,S1,0.005009968385720781,645839502.0,0.0,0.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,4,S2,0.004944498194508058,643944162.0,0.0,672.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,4,S3,0.004974915983595159,643944096.0,0.0,1344.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,8,S1,0.005026970440377262,722673060.0,0.0,0.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,8,S2,0.004897824115290014,712837314.0,0.0,1344.0,0.0
production,production|1100001|w44|pS1,1100001,44,S1,8,S3,0.004866395255722899,712265082.0,0.0,2688.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,4,S1,0.005300617991523843,79603956.0,0.0,0.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,4,S2,0.005209483703071973,79603956.0,0.0,672.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,4,S3,0.005245661675118002,79603956.0,0.0,1344.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,8,S1,0.0052943064821413385,99554706.0,0.0,0.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,8,S2,0.005185383758875229,99340254.0,0.0,1344.0,0.0
production,production|1100002|w12|pS2,1100002,12,S2,8,S3,0.005247250751941114,99525816.0,0.0,2688.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,4,S1,0.0048280847115145095,180930462.0,0.0,0.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,4,S2,0.004803872701545273,180930624.0,0.0,672.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,4,S3,0.004814954878428384,180929718.0,0.0,1344.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,8,S1,0.00496190949731901,196663794.0,0.0,0.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,8,S2,0.004941125047708036,195978780.0,0.0,1344.0,0.0
production,production|1100002|w24|pS3,1100002,24,S3,8,S3,0.004888189923195654,196663788.0,0.0,2688.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,4,S1,0.005501132971350503,318858588.0,0.0,0.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,4,S2,0.005380686772558536,315451920.0,0.0,672.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,4,S3,0.0053875004615097965,315451734.0,0.0,1344.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,8,S1,0.00548239985988792,367480698.0,0.0,0.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,8,S2,0.005391333862231462,352641714.0,0.0,1344.0,0.0
production,production|1100002|w36|pS1,1100002,36,S1,8,S3,0.005363259393860768,353075940.0,0.0,2688.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,4,S1,0.005418500694680173,133152636.0,0.0,0.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,4,S2,0.005444315336449155,133152636.0,0.0,672.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,4,S3,0.005429546308810795,133152636.0,0.0,1344.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,8,S1,0.005391629321702424,133525620.0,0.0,0.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,8,S2,0.005501767792274132,133525260.0,0.0,1344.0,0.0
production,production|1100002|w44|pS2,1100002,44,S2,8,S3,0.005448577410188691,133524612.0,0.0,2688.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,4,S1,0.0049093255598773,97325526.0,0.0,0.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,4,S2,0.004892455337979983,97325586.0,0.0,672.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,4,S3,0.004998278101847843,97326324.0,0.0,1344.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,8,S1,0.004872416419257471,124551606.0,0.0,0.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,8,S2,0.0046339654740434185,124582014.0,0.0,1344.0,0.0
production,production|1100003|w12|pS3,1100003,12,S3,8,S3,0.004971634288402679,123756942.0,0.0,2688.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,4,S1,0.004792444705106048,289195818.0,1.0,0.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,4,S2,0.004794640614666497,289137450.0,1.0,672.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,4,S3,0.004813871311036993,289137450.0,1.0,1344.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,8,S1,0.004597889690087304,394139586.0,4.0,0.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,8,S2,0.004557823547787224,388683882.0,1.0,1344.0,0.0
production,production|1100003|w24|pS1,1100003,24,S1,8,S3,0.004501955548149086,387661746.0,1.0,2688.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,4,S1,0.004245881886386885,363743586.0,0.0,0.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,4,S2,0.004271351495902984,363743586.0,0.0,672.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,4,S3,0.004257064446772836,363743586.0,0.0,1344.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,8,S1,0.004334454297412636,416645304.0,0.0,0.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,8,S2,0.004353044100809457,417388158.0,0.0,1344.0,0.0
production,production|1100003|w36|pS2,1100003,36,S2,8,S3,0.0043609445545598185,417387186.0,0.0,2688.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,4,S1,0.004829425300697292,448004106.0,0.0,0.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,4,S2,0.004868275637521329,448003998.0,0.0,672.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,4,S3,0.004812081833483807,448005000.0,0.0,1344.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,8,S1,0.004889985302642777,484171806.0,0.0,0.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,8,S2,0.004897814083705913,485085594.0,0.0,1344.0,0.0
production,production|1100003|w44|pS3,1100003,44,S3,8,S3,0.004797550213661275,484217970.0,0.0,2688.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,4,S1,0.004998574829368528,87785676.0,0.0,0.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,4,S2,0.004850609050747154,86105814.0,0.0,672.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,4,S3,0.0048483219920204546,86105766.0,0.0,1344.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,8,S1,0.005244595470692957,121893408.0,0.0,0.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,8,S2,0.00495844661208338,110950062.0,0.0,1344.0,0.0
production,production|1100004|w12|pS1,1100004,12,S1,8,S3,0.004960669408087029,111428772.0,0.0,2688.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,4,S1,0.005087644633962228,147785064.0,0.0,0.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,4,S2,0.005070454959551965,147739014.0,0.0,672.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,4,S3,0.005096288301544798,147785256.0,0.0,1344.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,8,S1,0.005168289565511472,163028796.0,0.0,0.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,8,S2,0.005171838406669451,157851876.0,0.0,1344.0,0.0
production,production|1100004|w24|pS2,1100004,24,S2,8,S3,0.005091801634568562,162472830.0,0.0,2688.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,4,S1,0.005460952365754669,102858840.0,0.0,0.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,4,S2,0.005494213882938299,102859170.0,0.0,672.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,4,S3,0.005461613722134093,102859170.0,0.0,1344.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,8,S1,0.0055095347253514846,104418852.0,0.0,0.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,8,S2,0.005538337265387429,105712968.0,0.0,1344.0,0.0
production,production|1100004|w36|pS3,1100004,36,S3,8,S3,0.005496083771307628,104419662.0,0.0,2688.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,4,S1,0.0052772055856195295,514770714.0,0.0,0.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,4,S2,0.005207674083446959,512624706.0,0.0,672.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,4,S3,0.00522484126402452,512624622.0,0.0,1344.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,8,S1,0.005184664407995655,586536006.0,0.0,0.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,8,S2,0.005233182823986548,574925310.0,0.0,1344.0,0.0
production,production|1100004|w44|pS1,1100004,44,S1,8,S3,0.005131341812290389,576094308.0,0.0,2688.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,4,S1,0.005809997270565403,62914614.0,0.0,0.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,4,S2,0.005831801665611046,60430836.0,0.0,672.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,4,S3,0.005811913482367931,62914728.0,0.0,1344.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,8,S1,0.005541424391404796,82267194.0,0.0,0.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,8,S2,0.005697084652519939,72802044.0,0.0,1344.0,0.0
production,production|1100005|w12|pS2,1100005,12,S2,8,S3,0.005847137556064233,82205196.0,0.0,2688.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,4,S1,0.00561766234117374,117947298.0,0.0,0.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,4,S2,0.005622773108940472,117947298.0,0.0,672.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,4,S3,0.005572848962030055,117947136.0,0.0,1344.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,8,S1,0.005606809531247611,123423930.0,0.0,0.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,8,S2,0.005650405683581929,122941404.0,0.0,1344.0,0.0
production,production|1100005|w24|pS3,1100005,24,S3,8,S3,0.005621266263859092,123423990.0,0.0,2688.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,4,S1,0.005304509874553629,421900740.0,0.0,0.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,4,S2,0.005244387558455017,421345860.0,0.0,672.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,4,S3,0.005262736153654852,421345860.0,0.0,1344.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,8,S1,0.005279122867566654,481843176.0,0.0,0.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,8,S2,0.005194412595383976,473288034.0,0.0,1344.0,0.0
production,production|1100005|w36|pS1,1100005,36,S1,8,S3,0.005144077348335302,472334292.0,0.0,2688.0,0.0
production,production|1100005|w44|pS2,1100005,44,S2,4,S1,0.005808296622749278,87086796.0,0.0,0.0,0.0
production,production|1100005|w44|pS2,1100005,44,S2,4,S2,0.005795475567176865,87086910.0,0.0,672.0,0.0
production,production|1100005|w44|pS2,1100005,44,S2,4,S3,0.005790464907887193,87086934.0,0.0,1344.0,0.0
