time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/n_updates,train/learning_rate,train/loss
4,32,0.9973866666666664,8.0,0.6836195,0,55,,,
8,64,0.9947733333333334,8.0,0.7552385,1,56,,,
12,96,0.9921599999999998,8.0,0.77731525,1,56,,,
16,128,0.9895466666666667,8.0,0.74872425,2,56,,,
20,160,0.9869333333333331,8.0,0.7483235,2,56,,,
24,192,0.9843200000000001,8.0,0.7471944583333334,3,56,,,
28,224,0.9817066666666665,8.0,0.7479493928571431,3,56,,,
32,256,0.9790933333333335,8.0,0.7464802187499999,4,55,,,
36,288,0.9764799999999999,8.0,0.745417,5,55,,,
40,320,0.9738666666666669,8.0,0.73850315,5,55,,,
44,352,0.9712533333333332,8.0,0.7387998181818181,6,55,,,
48,384,0.9686400000000002,8.0,0.7314791458333333,6,56,,,
52,416,0.9660266666666666,8.0,0.7355940961538461,7,57,,,
56,448,0.9634133333333336,8.0,0.7358221428571429,7,57,,,
60,480,0.9608,8.0,0.7270308666666666,8,58,,,
64,512,0.958186666666667,8.0,0.72764971875,8,57,,,
68,544,0.9555733333333334,8.0,0.7275325588235293,9,58,,,
72,576,0.9529599999999997,8.0,0.7327616111111112,9,58,,,
76,608,0.9503466666666667,8.0,0.7275346842105264,10,58,,,
80,640,0.9477333333333331,8.0,0.729683025,10,58,,,
84,672,0.9451200000000001,8.0,0.7203002380952381,11,58,,,
88,704,0.9425066666666665,8.0,0.7251458409090911,11,58,,,
92,736,0.9398933333333335,8.0,0.7230539130434783,12,59,,,
96,768,0.9372799999999999,8.0,0.7224356666666667,12,59,,,
100,800,0.9346666666666668,8.0,0.7234972699999999,13,59,,,
104,832,0.9320533333333332,8.0,0.7245282500000002,13,59,,,
108,864,0.9294400000000002,8.0,0.7195955,14,59,,,
112,896,0.9268266666666666,8.0,0.71390905,14,59,,,
116,928,0.9242133333333336,8.0,0.71861812,15,60,,,
120,960,0.9216,8.0,0.7100407799999999,15,60,,,
124,992,0.9189866666666668,8.0,0.71016053,16,60,,,
128,1024,0.9163733333333333,8.0,0.7136074200000002,17,57,5,0.0003,3.371229887008667
132,1056,0.9137600000000002,8.0,0.7135327499999999,19,55,13,0.0003,4.197973728179932
136,1088,0.9111466666666667,8.0,0.7148030299999999,20,53,21,0.0003,2.207990884780884
140,1120,0.9085333333333331,8.0,0.71918786,21,51,29,0.0003,3.8569116592407227
144,1152,0.9059200000000001,8.0,0.7177821599999998,22,50,37,0.0003,2.6776866912841797
148,1184,0.9033066666666665,8.0,0.7187213,24,48,45,0.0003,2.7686662673950195
152,1216,0.9006933333333333,8.0,0.7174533,25,47,53,0.0003,3.102145195007324
156,1248,0.8980799999999998,8.0,0.7177215600000001,26,46,61,0.0003,3.9303808212280273
160,1280,0.8954666666666667,8.0,0.7204163500000001,28,45,69,0.0003,1.9630335569381714
164,1312,0.8928533333333332,8.0,0.7198158100000002,29,44,77,0.0003,2.2567763328552246
168,1344,0.8902400000000001,8.0,0.7209803900000001,30,43,85,0.0003,2.024768114089966
172,1376,0.8876266666666666,8.0,0.7184736599999999,31,43,93,0.0003,1.2719998359680176
176,1408,0.8850133333333334,8.0,0.72353115,33,42,101,0.0003,1.1972577571868896
180,1440,0.8823999999999999,8.0,0.7193519900000002,34,41,109,0.0003,1.4564629793167114
184,1472,0.8797866666666668,8.0,0.7276720100000001,36,40,117,0.0003,0.9518299698829651
188,1504,0.8771733333333332,8.0,0.72270413,38,39,125,0.0003,0.8726547360420227
192,1536,0.8745600000000002,8.0,0.72399603,39,38,133,0.0003,0.5386884808540344
196,1568,0.8719466666666666,8.0,0.7232828699999998,41,37,141,0.0003,0.5152183175086975
200,1600,0.8693333333333336,8.0,0.72580758,42,37,149,0.0003,0.6215396523475647
204,1632,0.8667199999999999,8.0,0.7281247900000001,44,36,157,0.0003,0.5558081865310669
208,1664,0.8641066666666664,8.0,0.72792603,45,36,165,0.0003,0.39712727069854736
212,1696,0.8614933333333333,8.0,0.7301324600000001,47,35,173,0.0003,0.4676414132118225
216,1728,0.8588799999999998,8.0,0.72833687,48,35,181,0.0003,0.3932235836982727
220,1760,0.8562666666666667,8.0,0.7388269699999997,50,35,189,0.0003,0.2929118573665619
224,1792,0.8536533333333332,8.0,0.7393152700000001,51,34,197,0.0003,0.3346683084964752
228,1824,0.8510400000000001,8.0,0.7317796399999998,52,34,205,0.0003,0.3035067617893219
232,1856,0.8484266666666664,8.0,0.73204045,53,34,213,0.0003,0.26327207684516907
236,1888,0.8458133333333334,8.0,0.7298702700000002,55,34,221,0.0003,0.26128196716308594
240,1920,0.8431999999999998,8.0,0.7263149299999999,56,33,229,0.0003,0.2939973771572113
244,1952,0.8405866666666668,8.0,0.72623069,57,33,237,0.0003,0.23560041189193726
248,1984,0.8379733333333332,8.0,0.7256244700000002,59,33,245,0.0003,0.27227532863616943
252,2016,0.8353600000000002,8.0,0.72429925,60,33,253,0.0003,0.2737360894680023
256,2048,0.8327466666666665,8.0,0.72532956,61,33,261,0.0003,0.23862843215465546
260,2080,0.8301333333333336,8.0,0.7297641800000001,63,33,269,0.0003,0.23918811976909637
264,2112,0.82752,8.0,0.73069756,64,32,277,0.0003,0.2381889373064041
268,2144,0.8249066666666669,8.0,0.7277065600000001,65,32,285,0.0003,0.23713478446006775
272,2176,0.8222933333333333,8.0,0.7267942099999999,66,32,293,0.0003,0.22005167603492737
276,2208,0.8196800000000003,8.0,0.72494015,68,32,301,0.0003,0.24318751692771912
280,2240,0.8170666666666667,8.0,0.73070705,69,32,309,0.0003,0.21264544129371643
284,2272,0.814453333333333,8.0,0.7302313699999999,70,32,317,0.0003,0.2226540446281433
288,2304,0.8118400000000001,8.0,0.73078566,71,32,325,0.0003,0.22423800826072693
292,2336,0.8092266666666665,8.0,0.73078999,73,31,333,0.0003,0.22146086394786835
296,2368,0.8066133333333334,8.0,0.73477606,74,31,341,0.0003,0.22236892580986023
300,2400,0.8039999999999998,8.0,0.7326034299999999,75,31,349,0.0003,0.22108840942382812
304,2432,0.8013866666666668,8.0,0.7324760600000001,76,31,357,0.0003,0.20135818421840668
308,2464,0.7987733333333332,8.0,0.7369448800000002,78,31,365,0.0003,0.22695420682430267
312,2496,0.7961600000000002,8.0,0.7340152400000001,79,31,373,0.0003,0.21169321238994598
316,2528,0.7935466666666666,8.0,0.73267727,80,31,381,0.0003,0.21404844522476196
320,2560,0.7909333333333335,8.0,0.72801737,81,31,389,0.0003,0.210514634847641
324,2592,0.7883199999999999,8.0,0.7297958899999999,82,31,397,0.0003,0.2167171686887741
328,2624,0.7857066666666669,8.0,0.7351073499999999,84,31,405,0.0003,0.2178335040807724
332,2656,0.7830933333333333,8.0,0.7364322700000001,85,31,413,0.0003,0.19738557934761047
336,2688,0.7804800000000003,8.0,0.73597831,86,31,421,0.0003,0.21761387586593628
340,2720,0.7778666666666667,8.0,0.73486625,87,30,429,0.0003,0.22017841041088104
344,2752,0.7752533333333331,8.0,0.73421374,89,30,437,0.0003,0.22492730617523193
348,2784,0.77264,8.0,0.73879362,90,30,445,0.0003,0.21199071407318115
352,2816,0.7700266666666664,8.0,0.7378252500000002,91,30,453,0.0003,0.1926775425672531
356,2848,0.7674133333333334,8.0,0.73774128,92,30,461,0.0003,0.21832889318466187
360,2880,0.7647999999999998,8.0,0.73188097,94,30,469,0.0003,0.2157350778579712
364,2912,0.7621866666666668,8.0,0.7282243400000001,95,30,477,0.0003,0.20857544243335724
368,2944,0.7595733333333332,8.0,0.7290659199999997,96,30,485,0.0003,0.20438529551029205
372,2976,0.7569600000000001,8.0,0.72729403,97,30,493,0.0003,0.21555960178375244
376,3008,0.7543466666666665,8.0,0.7264292900000001,99,30,501,0.0003,0.20253513753414154
380,3040,0.7517333333333335,8.0,0.7244604300000002,100,30,509,0.0003,0.2069166898727417
384,3072,0.7491199999999999,8.0,0.72429591,101,30,517,0.0003,0.19352930784225464
388,3104,0.7465066666666669,8.0,0.7271704699999999,103,30,525,0.0003,0.20150436460971832
392,3136,0.7438933333333333,8.0,0.7278462100000002,104,30,533,0.0003,0.21693538129329681
396,3168,0.7412800000000002,8.0,0.7274858000000002,105,29,541,0.0003,0.2024218738079071
400,3200,0.7386666666666666,8.0,0.72769227,107,29,549,0.0003,0.2047266811132431
404,3232,0.7360533333333337,8.0,0.7283534499999997,109,29,557,0.0003,0.21482549607753754
408,3264,0.73344,8.0,0.7257351499999999,110,29,565,0.0003,0.2061038613319397
412,3296,0.730826666666667,8.0,0.7300904699999999,112,29,573,0.0003,0.21102876961231232
416,3328,0.7282133333333334,8.0,0.7315461899999999,114,29,581,0.0003,0.20685447752475739
420,3360,0.7255999999999998,8.0,0.7336816500000001,116,28,589,0.0003,0.20673410594463348
424,3392,0.7229866666666667,8.0,0.7319778399999999,117,28,597,0.0003,0.2092588096857071
428,3424,0.7203733333333331,8.0,0.73017038,119,28,605,0.0003,0.21199023723602295
432,3456,0.7177600000000002,8.0,0.72658124,120,28,613,0.0003,0.2132551521062851
436,3488,0.7151466666666665,8.0,0.72716783,122,28,621,0.0003,0.21986286342144012
440,3520,0.7125333333333335,8.0,0.72980016,124,28,629,0.0003,0.20388789474964142
444,3552,0.7099199999999999,8.0,0.7314008400000002,125,28,637,0.0003,0.20794792473316193
448,3584,0.7073066666666669,8.0,0.73254993,127,28,645,0.0003,0.21566563844680786
452,3616,0.7046933333333332,8.0,0.7350125500000001,128,28,653,0.0003,0.20670640468597412
456,3648,0.7020800000000003,8.0,0.7321086600000001,130,27,661,0.0003,0.2043602168560028
460,3680,0.6994666666666667,8.0,0.7365491100000001,131,27,669,0.0003,0.19549579918384552
464,3712,0.6968533333333335,8.0,0.7433117899999999,133,27,677,0.0003,0.19779019057750702
468,3744,0.69424,8.0,0.7467562999999999,134,27,685,0.0003,0.19971239566802979
472,3776,0.6916266666666668,8.0,0.7478580600000002,136,27,693,0.0003,0.1981596052646637
476,3808,0.6890133333333334,8.0,0.75062218,137,27,701,0.0003,0.20455484092235565
480,3840,0.6863999999999997,8.0,0.7517724099999998,139,27,709,0.0003,0.19606652855873108
484,3872,0.6837866666666667,8.0,0.74755743,141,27,717,0.0003,0.19722479581832886
488,3904,0.6811733333333336,8.0,0.7455537,142,27,725,0.0003,0.2060285061597824
492,3936,0.67856,8.0,0.7445321699999999,144,27,733,0.0003,0.1908377856016159
496,3968,0.6759466666666665,8.0,0.7445416,145,27,741,0.0003,0.20040298998355865
500,4000,0.6733333333333335,8.0,0.7398503399999999,147,27,749,0.0003,0.20616526901721954
504,4032,0.6707199999999998,8.0,0.7398269699999999,148,27,757,0.0003,0.21149466931819916
508,4064,0.6681066666666668,8.0,0.7399574699999999,150,27,765,0.0003,0.1918332278728485
512,4096,0.6654933333333332,8.0,0.7377256700000001,151,27,773,0.0003,0.22468696534633636
516,4128,0.6628800000000001,8.0,0.7382965200000001,153,26,781,0.0003,0.20911039412021637
520,4160,0.6602666666666666,8.0,0.7376170400000001,154,26,789,0.0003,0.20198440551757812
524,4192,0.6576533333333335,8.0,0.7399147799999999,156,26,797,0.0003,0.1936681866645813
528,4224,0.65504,8.0,0.7418903400000001,157,26,805,0.0003,0.20914481580257416
532,4256,0.6524266666666669,8.0,0.7440676900000001,159,26,813,0.0003,0.20363439619541168
536,4288,0.6498133333333334,8.0,0.7460878500000001,160,26,821,0.0003,0.19164937734603882
540,4320,0.6472000000000002,8.0,0.7461781299999997,162,26,829,0.0003,0.20729029178619385
544,4352,0.6445866666666666,8.0,0.7466285599999999,164,26,837,0.0003,0.19324897229671478
548,4384,0.6419733333333336,8.0,0.7447980000000001,165,26,845,0.0003,0.19034186005592346
552,4416,0.63936,8.0,0.74088545,167,26,853,0.0003,0.19486947357654572
556,4448,0.6367466666666665,8.0,0.7372093099999998,168,26,861,0.0003,0.19518114626407623
560,4480,0.6341333333333334,8.0,0.73206631,170,26,869,0.0003,0.2019922286272049
